Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Rafik Guitane,fr FRA,"FW,MF",24-218,13.6,366,362,3,1,6,3,12,2,0,0,0,0,266,1,18,Matches
Tiago Araújo,pt POR,"DF,MF",22-278,13.5,626,496,128,10,0,16,53,118,0,0,0,0,432,2,15,Matches
Bernardo Vital,pt POR,DF,23-001,11.5,562,533,26,21,0,3,0,3,0,0,0,0,506,3,2,Matches
Jordan Holsgrove,sct SCO,MF,24-111,10.9,810,728,82,53,2,11,39,1,27,14,8,1,703,0,9,Matches
Pedro Álvaro,pt POR,DF,23-303,11.0,501,468,32,21,1,4,1,6,0,0,0,0,430,1,3,Matches
João Marques,pt POR,"MF,FW",21-320,10.6,299,281,18,4,3,7,18,6,8,6,0,0,226,0,12,Matches
Volnei Feltes,br BRA,DF,23-259,9.7,456,354,98,22,3,9,18,75,1,1,0,0,326,4,7,Matches
Rodrigo Gomes,pt POR,"DF,MF",20-176,10.6,291,255,34,2,0,1,17,31,1,1,0,0,203,2,17,Matches
Marcelo Carné,br BRA,GK,33-327,9.0,326,195,128,25,0,0,0,0,0,0,0,0,218,3,1,Matches
Cassiano,br BRA,FW,34-197,7.7,98,81,16,0,0,0,1,0,0,0,0,0,60,1,7,Matches
Mateus Fernandes,pt POR,MF,19-173,8.5,434,396,37,17,2,4,21,3,15,1,11,0,361,1,7,Matches
Heriberto Tavares,pt POR,"FW,MF",26-314,5.6,108,107,1,0,3,1,8,1,0,0,0,0,63,0,8,Matches
Alejandro Marqués,ve VEN,FW,23-148,6.3,66,49,16,0,0,0,0,1,0,0,0,0,50,1,1,Matches
Daniel Leite,pt POR,GK,25-163,5.0,138,86,51,7,0,0,0,0,0,0,0,0,101,1,0,Matches
Koba Koindredi,fr FRA,MF,22-064,3.5,125,110,13,3,0,0,10,0,10,3,3,0,98,2,3,Matches
Erick Cabaco,uy URU,DF,28-255,3.7,181,176,5,2,0,1,0,3,0,0,0,0,148,0,1,Matches
Eliaquim Mangala,fr FRA,DF,32-320,3.1,128,124,3,2,0,0,0,1,0,0,0,0,116,1,0,Matches
Raúl Parra,es ESP,DF,24-034,2.4,153,119,34,5,0,1,7,24,5,0,2,1,127,0,4,Matches
Ivan Pavlic,be BEL,MF,22-050,2.0,60,52,8,2,0,0,8,0,6,5,0,0,39,0,3,Matches
Alexandre Miguel Barros Soares,pt POR,MF,32-304,2.8,84,81,2,0,1,1,2,0,0,0,0,0,60,1,6,Matches
Wagner Pina,pt POR,"DF,MF",21-057,1.5,45,36,9,0,0,0,2,9,0,0,0,0,29,0,0,Matches
João Carlos,br BRA,"FW,DF",28-304,0.6,25,22,2,0,0,0,1,0,0,0,0,0,11,1,1,Matches
Mor Ndiaye,sn SEN,"FW,MF",23-038,0.2,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Rodrigo Martins,pt POR,"DF,FW",25-106,0.1,3,2,1,0,0,0,1,1,0,0,0,0,2,0,1,Matches
Squad Total,,,24.8,14.0,5892,5120,747,197,21,62,219,285,73,31,24,2,4578,25,126,
Opponent Total,,,26.8,14.0,6759,5959,771,226,17,56,298,309,78,34,19,2,5395,29,116,
