Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Ronald,br BRA,"MF,FW",22-199,13.6,211.0,312.0,67.6,3516.0,925.0,108.0,135.0,80.0,74.0,99.0,74.7,20.0,46.0,43.5,2,2.5,1.9,-0.5,15.0,20.0,11.0,6.0,30.0,Matches
Gaspar,ao ANG,DF,26-094,13.5,599.0,719.0,83.3,12172.0,5086.0,185.0,218.0,84.9,323.0,362.0,89.2,86.0,126.0,68.3,0,0.1,0.8,-0.1,1.0,35.0,3.0,2.0,39.0,Matches
Léo Jabá,br BRA,"MF,FW",25-150,10.0,147.0,238.0,61.8,2442.0,731.0,71.0,93.0,76.3,51.0,70.0,72.9,16.0,37.0,43.2,2,2.2,1.7,-0.2,12.0,16.0,13.0,6.0,23.0,Matches
Leo Cordeiro,br BRA,MF,28-094,12.3,424.0,498.0,85.1,7483.0,1464.0,193.0,209.0,92.3,176.0,192.0,91.7,43.0,67.0,64.2,0,0.5,0.7,-0.5,8.0,30.0,6.0,0.0,46.0,Matches
João Reis,pt POR,"DF,MF",31-189,11.6,468.0,641.0,73.0,7883.0,3103.0,234.0,275.0,85.1,187.0,246.0,76.0,41.0,79.0,51.9,0,0.1,0.3,-0.1,3.0,46.0,6.0,1.0,58.0,Matches
Hevertton Santos,br BRA,"DF,MF",22-332,10.5,422.0,579.0,72.9,7983.0,3819.0,184.0,219.0,84.0,187.0,231.0,81.0,51.0,105.0,48.6,1,2.1,1.6,-1.1,16.0,34.0,10.0,3.0,51.0,Matches
Aloísio Souza Genézio,br BRA,MF,27-241,7.8,223.0,291.0,76.6,4099.0,1168.0,94.0,106.0,88.7,101.0,129.0,78.3,27.0,49.0,55.1,1,0.4,0.5,0.6,4.0,25.0,4.0,0.0,36.0,Matches
Johnstone Omurwa,ke KEN,DF,25-144,8.6,361.0,430.0,84.0,7060.0,2732.0,122.0,148.0,82.4,191.0,210.0,91.0,44.0,66.0,66.7,0,0.0,0.1,0.0,2.0,20.0,1.0,0.0,29.0,Matches
Miguel Lopes,pt POR,DF,37-011,7.5,294.0,358.0,82.1,6164.0,2109.0,76.0,91.0,83.5,183.0,200.0,91.5,34.0,61.0,55.7,0,0.0,0.1,0.0,1.0,18.0,2.0,0.0,21.0,Matches
Jean Felipe,br BRA,"MF,DF",29-287,8.2,313.0,440.0,71.1,5516.0,2803.0,155.0,177.0,87.6,124.0,165.0,75.2,30.0,80.0,37.5,1,2.0,1.9,-1.0,13.0,27.0,11.0,5.0,38.0,Matches
Bruno Brigido,br BRA,GK,32-296,7.0,176.0,231.0,76.2,5328.0,3776.0,19.0,19.0,100.0,101.0,102.0,99.0,56.0,109.0,51.4,0,0.1,0.0,-0.1,1.0,2.0,1.0,0.0,0.0,Matches
Ronaldo Tavares,pt POR,FW,26-161,6.2,52.0,107.0,48.6,771.0,176.0,28.0,57.0,49.1,15.0,29.0,51.7,4.0,5.0,80.0,0,0.5,0.5,-0.5,9.0,6.0,3.0,0.0,7.0,Matches
Vitó Ferreira,pt POR,MF,26-103,5.8,190.0,267.0,71.2,3092.0,994.0,101.0,121.0,83.5,64.0,83.0,77.1,21.0,44.0,47.7,0,0.2,0.4,-0.2,4.0,21.0,2.0,0.0,23.0,Matches
Mansur,br BRA,DF,30-257,6.0,284.0,358.0,79.3,5709.0,2150.0,100.0,120.0,83.3,141.0,157.0,89.8,41.0,69.0,59.4,0,0.0,0.1,0.0,0.0,20.0,3.0,2.0,29.0,Matches
Kikas,pt POR,"FW,MF",25-104,6.9,79.0,129.0,61.2,1283.0,238.0,45.0,65.0,69.2,20.0,29.0,69.0,10.0,18.0,55.6,0,0.7,0.4,-0.7,4.0,9.0,7.0,2.0,13.0,Matches
Wagner Santos,br BRA,GK,25-246,4.7,148.0,189.0,78.3,3847.0,2428.0,23.0,23.0,100.0,90.0,91.0,98.9,35.0,73.0,47.9,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Matches
Almeida,br BRA,DF,23-349,4.4,168.0,216.0,77.8,3482.0,1229.0,43.0,54.0,79.6,96.0,104.0,92.3,27.0,53.0,50.9,1,0.1,0.0,0.9,1.0,5.0,1.0,0.0,8.0,Matches
Nkanyiso Shinga,za RSA,"DF,MF",23-275,3.7,139.0,181.0,76.8,2537.0,862.0,59.0,64.0,92.2,66.0,83.0,79.5,12.0,29.0,41.4,0,0.1,0.1,-0.1,1.0,6.0,2.0,1.0,12.0,Matches
André Inácio,br BRA,"FW,MF",21-310,3.8,38.0,66.0,57.6,520.0,77.0,25.0,36.0,69.4,7.0,12.0,58.3,3.0,5.0,60.0,0,0.5,0.1,-0.5,3.0,1.0,2.0,1.0,2.0,Matches
António Filipe de Carvalho,pt POR,GK,38-260,3.0,86.0,118.0,72.9,2199.0,1408.0,11.0,11.0,100.0,50.0,52.0,96.2,25.0,55.0,45.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches
Pedro Sá,pt POR,MF,30-029,3.0,102.0,149.0,68.5,1905.0,462.0,47.0,55.0,85.5,41.0,60.0,68.3,13.0,25.0,52.0,0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,9.0,Matches
Regis Ndo,ml MLI,"FW,MF",22-308,2.2,49.0,70.0,70.0,839.0,219.0,19.0,27.0,70.4,22.0,28.0,78.6,5.0,8.0,62.5,1,0.5,0.5,0.5,6.0,1.0,7.0,3.0,12.0,Matches
Alioune Ndour,sn SEN,"FW,MF",22-302,1.9,35.0,55.0,63.6,526.0,74.0,20.0,33.0,60.6,12.0,15.0,80.0,2.0,5.0,40.0,1,0.6,0.3,0.4,2.0,2.0,1.0,0.0,5.0,Matches
Keliano,ao ANG,MF,20-348,1.3,27.0,37.0,73.0,468.0,109.0,15.0,16.0,93.8,10.0,15.0,66.7,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,Matches
Gustavo Henrique,br BRA,FW,24-242,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Matches
Cambila,ao ANG,GK,21-228,0.2,5.0,6.0,83.3,101.0,52.0,0.0,0.0,,5.0,5.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.2,15.0,5040.0,6685.0,75.4,96925.0,38194.0,1977.0,2372.0,83.3,2337.0,2769.0,84.4,648.0,1217.0,53.2,10,13.0,12.0,-3.0,107.0,362.0,96.0,32.0,494.0,
Opponent Total,,,27.1,15.0,5963.0,7621.0,78.2,108887.0,39274.0,2521.0,2869.0,87.9,2646.0,3109.0,85.1,658.0,1282.0,51.3,16,16.3,15.2,-0.3,171.0,412.0,124.0,35.0,563.0,
