Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Ronald,br BRA,"MF,FW",22-199,13.6,312.0,302.0,7.0,1.0,1.0,7.0,21,5.0,0.0,0.0,0.0,0.0,211.0,3.0,12.0,Matches
Gaspar,ao ANG,DF,26-094,13.5,719.0,678.0,39.0,38.0,1.0,4.0,5,1.0,0.0,0.0,0.0,0.0,599.0,2.0,3.0,Matches
Léo Jabá,br BRA,"MF,FW",25-150,10.0,238.0,229.0,5.0,1.0,4.0,1.0,31,3.0,0.0,0.0,0.0,0.0,147.0,4.0,17.0,Matches
Leo Cordeiro,br BRA,MF,28-094,12.3,498.0,478.0,19.0,10.0,3.0,4.0,4,1.0,0.0,0.0,0.0,0.0,424.0,1.0,9.0,Matches
João Reis,pt POR,"DF,MF",31-189,11.6,641.0,486.0,155.0,11.0,1.0,3.0,25,142.0,2.0,0.0,0.0,0.0,468.0,0.0,24.0,Matches
Hevertton Santos,br BRA,"DF,MF",22-332,10.5,579.0,433.0,145.0,24.0,1.0,1.0,57,90.0,31.0,18.0,11.0,0.0,422.0,1.0,15.0,Matches
Aloísio Souza Genézio,br BRA,MF,27-241,7.8,291.0,283.0,8.0,8.0,1.0,5.0,3,0.0,0.0,0.0,0.0,0.0,223.0,0.0,3.0,Matches
Johnstone Omurwa,ke KEN,DF,25-144,8.6,430.0,408.0,22.0,21.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,361.0,0.0,2.0,Matches
Miguel Lopes,pt POR,DF,37-011,7.5,358.0,347.0,10.0,10.0,1.0,5.0,1,0.0,0.0,0.0,0.0,0.0,294.0,1.0,2.0,Matches
Jean Felipe,br BRA,"MF,DF",29-287,8.2,440.0,314.0,124.0,17.0,0.0,1.0,44,92.0,15.0,11.0,4.0,0.0,313.0,2.0,7.0,Matches
Bruno Brigido,br BRA,GK,32-296,7.0,231.0,156.0,74.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,176.0,1.0,0.0,Matches
Ronaldo Tavares,pt POR,FW,26-161,6.2,107.0,98.0,9.0,0.0,2.0,1.0,4,2.0,0.0,0.0,0.0,0.0,52.0,0.0,6.0,Matches
Vitó Ferreira,pt POR,MF,26-103,5.8,267.0,249.0,18.0,4.0,0.0,4.0,14,0.0,12.0,8.0,1.0,0.0,190.0,0.0,9.0,Matches
Mansur,br BRA,DF,30-257,6.0,358.0,327.0,29.0,14.0,0.0,8.0,10,15.0,0.0,0.0,0.0,0.0,284.0,2.0,7.0,Matches
Kikas,pt POR,"FW,MF",25-104,6.9,129.0,116.0,10.0,2.0,0.0,2.0,7,2.0,0.0,0.0,0.0,0.0,79.0,3.0,7.0,Matches
Wagner Santos,br BRA,GK,25-246,4.7,189.0,145.0,42.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,148.0,2.0,0.0,Matches
Almeida,br BRA,DF,23-349,4.4,216.0,206.0,10.0,10.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,Matches
Nkanyiso Shinga,za RSA,"DF,MF",23-275,3.7,181.0,150.0,30.0,6.0,0.0,0.0,9,18.0,6.0,5.0,0.0,0.0,139.0,1.0,3.0,Matches
André Inácio,br BRA,"FW,MF",21-310,3.8,66.0,57.0,6.0,0.0,1.0,0.0,3,0.0,1.0,0.0,0.0,0.0,38.0,3.0,4.0,Matches
António Filipe de Carvalho,pt POR,GK,38-260,3.0,118.0,86.0,32.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,Matches
Pedro Sá,pt POR,MF,30-029,3.0,149.0,137.0,9.0,6.0,3.0,3.0,7,0.0,3.0,3.0,0.0,0.0,102.0,3.0,3.0,Matches
Regis Ndo,ml MLI,"FW,MF",22-308,2.2,70.0,67.0,2.0,0.0,1.0,2.0,7,1.0,1.0,1.0,0.0,0.0,49.0,1.0,1.0,Matches
Alioune Ndour,sn SEN,"FW,MF",22-302,1.9,55.0,48.0,7.0,0.0,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,Matches
Keliano,ao ANG,MF,20-348,1.3,37.0,36.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,27.0,1.0,1.0,Matches
Gustavo Henrique,br BRA,FW,24-242,0.2,,,,,,,0,,,,,,,,,Matches
Cambila,ao ANG,GK,21-228,0.2,6.0,5.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,Matches
Squad Total,,,27.2,15.0,6685.0,5841.0,813.0,198.0,24.0,57.0,254,373.0,71.0,46.0,16.0,0.0,5040.0,31.0,137.0,
Opponent Total,,,27.1,15.0,7621.0,6755.0,844.0,204.0,31.0,37.0,285,387.0,89.0,48.0,21.0,0.0,5963.0,22.0,146.0,
