Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Ronald,br BRA,"MF,FW",22-199,15,15,1223.0,13.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,2.5,4.3,32.0,30.0,92.0,0.07,0.15,0.22,0.07,0.22,0.14,0.18,0.32,0.14,0.32,Matches
Gaspar,ao ANG,DF,26-094,14,14,1215.0,13.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.6,8.0,39.0,3.0,0.07,0.0,0.07,0.07,0.07,0.04,0.0,0.04,0.04,0.04,Matches
Léo Jabá,br BRA,"MF,FW",25-150,14,13,904.0,10.0,3.0,2.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,1.2,2.2,3.4,36.0,23.0,81.0,0.3,0.2,0.5,0.2,0.4,0.2,0.22,0.41,0.12,0.34,Matches
Leo Cordeiro,br BRA,MF,28-094,14,12,1110.0,12.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,0.5,1.8,8.0,46.0,16.0,0.16,0.0,0.16,0.16,0.16,0.11,0.04,0.15,0.11,0.15,Matches
João Reis,pt POR,"DF,MF",31-189,13,12,1046.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,9.0,58.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Hevertton Santos,br BRA,"DF,MF",22-332,13,11,948.0,10.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,2.1,2.9,15.0,51.0,35.0,0.0,0.09,0.09,0.0,0.09,0.08,0.2,0.28,0.08,0.28,Matches
Aloísio Souza Genézio,br BRA,MF,27-241,10,10,706.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.9,2.0,36.0,9.0,0.0,0.13,0.13,0.0,0.13,0.06,0.05,0.11,0.06,0.11,Matches
Johnstone Omurwa,ke KEN,DF,25-144,10,9,771.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.4,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Miguel Lopes,pt POR,DF,37-011,9,9,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,0.1,3.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Jean Felipe,br BRA,"MF,DF",29-287,13,7,734.0,8.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,2.3,5.0,38.0,46.0,0.12,0.12,0.25,0.12,0.25,0.03,0.24,0.28,0.03,0.28,Matches
Bruno Brigido,br BRA,GK,32-296,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Ronaldo Tavares,pt POR,FW,26-161,12,7,555.0,6.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.3,3.3,0.5,3.8,12.0,7.0,37.0,0.32,0.0,0.32,0.32,0.32,0.54,0.08,0.62,0.54,0.62,Matches
Vitó Ferreira,pt POR,MF,26-103,8,7,522.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,2.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches
Mansur,br BRA,DF,30-257,7,6,539.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
