Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Luiz Lúcio Reis Júnior,br BRA,GK,22-350,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,1.2,13.0,18.0,-5.0,-0.33,,13.0,17.8,-4.7,-0.32,,Matches
Moura,pt POR,DF,24-136,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,1.2,13.0,18.0,-5.0,-0.33,,13.0,17.8,-4.7,-0.32,,Matches
Zaydou Youssouf,fr FRA,MF,24-172,14,1177.0,84.0,87.2,13.1,14,84.0,9,0,,0,1.21,10.0,14.0,-4.0,-0.31,0.21,10.5,15.6,-5.1,-0.39,-0.58,Matches
Otavio Ataide,br BRA,DF,21-253,13,1094.0,84.0,81.0,12.2,12,90.0,12,1,14.0,0,1.15,11.0,14.0,-3.0,-0.25,0.46,9.9,15.4,-5.5,-0.45,-0.71,Matches
Jhonder Cádiz,ve VEN,FW,28-154,13,842.0,65.0,62.4,9.4,10,79.0,4,3,17.0,0,1.38,8.0,12.0,-4.0,-0.43,-0.25,7.8,11.0,-3.2,-0.34,-0.06,Matches
Riccieli,br BRA,DF,25-104,10,808.0,81.0,59.9,9.0,10,81.0,8,0,,0,1.2,6.0,9.0,-3.0,-0.33,0.0,7.5,10.2,-2.7,-0.3,0.04,Matches
Mirko Topić,rs SRB,MF,22-328,14,841.0,60.0,62.3,9.3,8,83.0,5,6,30.0,1,1.21,9.0,12.0,-3.0,-0.32,0.03,7.7,11.6,-3.9,-0.42,-0.26,Matches
Nathan,br BRA,DF,22-116,12,724.0,60.0,53.6,8.0,8,79.0,3,4,24.0,3,1.17,8.0,11.0,-3.0,-0.37,-0.09,8.1,9.0,-0.9,-0.11,0.43,Matches
José Luis Rodríguez,pa PAN,FW,25-194,9,684.0,76.0,50.7,7.6,8,83.0,3,1,18.0,0,1.22,7.0,8.0,-1.0,-0.13,0.41,6.6,7.9,-1.3,-0.17,0.3,Matches
Gustavo sá,pt POR,MF,19-049,10,609.0,61.0,45.1,6.8,8,72.0,2,2,18.0,3,0.8,6.0,8.0,-2.0,-0.3,0.07,6.1,8.0,-2.0,-0.29,0.05,Matches
Chiquinho,pt POR,"FW,MF",23-328,10,602.0,60.0,44.6,6.7,8,69.0,0,2,27.0,0,1.1,7.0,7.0,0.0,0.0,0.6,5.9,9.7,-3.8,-0.55,-0.44,Matches
Martin Agirregabiria,es ESP,DF,27-234,13,656.0,50.0,48.6,7.3,7,80.0,3,6,16.0,2,1.38,5.0,7.0,-2.0,-0.27,0.11,5.0,8.9,-3.9,-0.54,-0.44,Matches
Henrique Araújo,pt POR,FW,21-345,13,544.0,42.0,40.3,6.0,6,70.0,0,7,18.0,1,1.31,7.0,5.0,2.0,0.33,1.11,5.2,7.1,-1.9,-0.31,0.01,Matches
Óscar Aranda,es ESP,"FW,MF",21-245,12,539.0,45.0,39.9,6.0,6,63.0,0,6,27.0,0,1.42,6.0,5.0,1.0,0.17,0.83,5.3,6.4,-1.0,-0.17,0.24,Matches
Justin de Haas,nl NED,DF,23-332,9,553.0,61.0,41.0,6.1,5,90.0,5,4,26.0,6,1.44,5.0,8.0,-3.0,-0.49,-0.26,6.5,6.2,0.3,0.05,0.61,Matches
Otso Liimatta,fi FIN,MF,19-173,6,365.0,61.0,27.0,4.1,5,67.0,1,1,32.0,7,1.33,3.0,5.0,-2.0,-0.49,-0.22,3.4,3.7,-0.2,-0.06,0.35,Matches
Gustavo Assuncao,pt POR,MF,23-275,11,446.0,41.0,33.0,5.0,4,80.0,1,7,18.0,3,0.73,4.0,6.0,-2.0,-0.4,-0.1,5.0,5.7,-0.6,-0.13,0.28,Matches
Tom Lacoux,fr FRA,MF,21-339,7,276.0,39.0,20.4,3.1,4,59.0,0,3,13.0,7,1.71,3.0,4.0,-1.0,-0.33,0.01,3.0,3.2,-0.2,-0.05,0.33,Matches
Théo Fonseca,fr FRA,FW,23-202,5,274.0,55.0,20.3,3.0,4,65.0,0,1,15.0,0,0.4,2.0,6.0,-4.0,-1.31,-1.23,3.8,3.4,0.4,0.14,0.58,Matches
Enea Mihaj,al ALB,DF,25-178,3,245.0,82.0,18.1,2.7,3,82.0,1,0,,2,1.33,4.0,5.0,-1.0,-0.37,-0.04,2.3,3.8,-1.5,-0.54,-0.28,Matches
Mihai Dobre,ro ROU,"FW,MF",25-122,9,268.0,30.0,19.9,3.0,2,56.0,0,7,22.0,3,1.11,0.0,4.0,-4.0,-1.34,-1.26,1.9,4.2,-2.2,-0.75,-0.54,Matches
Pablo,br BRA,"FW,MF",19-362,8,197.0,25.0,14.6,2.2,2,54.0,0,6,15.0,3,1.38,1.0,4.0,-3.0,-1.37,-1.21,1.3,2.6,-1.3,-0.59,-0.32,Matches
Afonso Rodrigues,pt POR,"FW,MF",21-133,8,236.0,30.0,17.5,2.6,1,85.0,0,7,22.0,1,1.0,4.0,6.0,-2.0,-0.76,-0.52,3.2,3.3,-0.1,-0.03,0.35,Matches
Rúben Lima,pt POR,"DF,MF",34-088,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Ivan Zlobin,ru RUS,GK,26-298,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
Squad Total,,,23.6,15,1350.0,90.0,100.0,15.0,165,80.0,87,74,21.0,61,1.2,13.0,18.0,-5.0,-0.33,,13.0,17.8,-4.7,-0.32,,
Opponent Total,,,26.6,15,1350.0,90.0,100.0,15.0,165,80.0,89,72,18.0,62,1.4,18.0,13.0,5.0,0.33,,17.8,13.0,4.7,0.32,,
