Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Ricardo Velho,pt POR,GK,25-132,14.0,466,246,219,43,0,0,0,0,0,0,0,0,235,1,1,Matches
Talocha,pt POR,DF,34-122,13.8,668,503,161,23,1,0,48,131,7,4,2,0,462,4,23,Matches
Claudio Falcão,br BRA,MF,29-180,13.6,431,415,14,14,1,7,3,0,0,0,0,0,305,2,7,Matches
Mattheus Oliveira,br BRA,MF,29-176,11.7,470,400,67,25,2,0,50,2,36,27,4,0,360,3,4,Matches
Gonçalo Silva,pt POR,DF,32-209,12.2,517,490,26,25,0,7,1,1,0,0,0,0,406,1,6,Matches
Bachir Belloumi,dz ALG,"FW,MF",21-212,10.6,310,306,4,2,3,3,24,2,0,0,0,0,184,0,13,Matches
David Pastor,br BRA,DF,23-313,11.9,516,378,137,8,0,3,18,129,0,0,0,0,390,1,24,Matches
Marco Matias,pt POR,"FW,MF",34-234,9.9,248,214,33,12,0,3,44,3,18,10,0,0,170,1,9,Matches
Bruno Duarte,br BRA,FW,27-281,10.0,239,222,14,2,2,5,9,3,0,0,0,0,144,3,10,Matches
Zach Muscat,mt MLT,DF,30-130,8.8,359,339,20,18,0,2,0,2,0,0,0,0,300,0,2,Matches
Fabrício Isidoro,br BRA,MF,31-336,8.6,297,277,19,4,1,3,10,1,0,0,0,0,229,1,8,Matches
Rui Costa,pt POR,"FW,MF",27-313,6.0,110,106,3,0,1,4,6,2,0,0,0,0,62,1,6,Matches
Artur Jorge Marques Amorim,pt POR,DF,29-138,5.4,170,163,5,4,0,3,0,1,0,0,0,0,133,2,1,Matches
Vítor Gonçalves,pt POR,MF,31-276,4.3,151,138,13,0,2,0,8,11,0,0,0,0,109,0,5,Matches
Elves Baldé,pt POR,"FW,MF",24-089,2.3,67,58,9,2,0,1,26,0,7,4,3,0,33,0,3,Matches
Fran Delgado,es ESP,DF,22-172,2.1,110,83,27,0,0,0,4,27,0,0,0,0,87,0,0,Matches
Igor Rossi Branco,br BRA,DF,34-295,1.4,48,47,1,1,0,0,0,0,0,0,0,0,34,0,0,Matches
Rafael Barbosa,pt POR,"FW,MF",27-276,2.3,120,108,12,5,0,0,13,3,2,1,1,0,83,0,8,Matches
Zé Luís,cv CPV,"FW,MF",32-340,1.5,43,43,0,0,2,1,1,0,0,0,0,0,25,0,1,Matches
Facundo Cáseres,ar ARG,"MF,DF",22-216,1.1,35,32,3,2,0,0,0,1,0,0,0,0,28,0,1,Matches
Cristian Ponde,pt POR,MF,28-338,0.5,16,16,0,0,0,0,1,0,0,0,0,0,10,0,2,Matches
André Seruca,pt POR,MF,23-062,0.4,24,24,0,0,0,0,1,0,0,0,0,0,14,0,0,Matches
Talys Oliveira,br BRA,DF,24-323,0.1,7,5,1,0,0,0,0,1,0,0,0,0,5,1,0,Matches
Squad Total,,,29.0,14.0,5422,4613,788,190,15,42,267,320,70,46,10,0,3808,21,134,
Opponent Total,,,26.8,14.0,7325,6459,845,209,15,47,418,372,119,72,27,1,5667,21,143,
