Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Ricardo Velho,pt POR,GK,25-132,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Talocha,pt POR,DF,34-122,13.8,0,10,2,20.0,0.72,0.14,0.0,0.0,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Claudio Falcão,br BRA,MF,29-180,13.6,3,14,5,35.7,1.03,0.37,0.21,0.6,15.4,0,0,0,1.3,1.3,0.1,1.7,1.7,Matches
Mattheus Oliveira,br BRA,MF,29-176,11.7,4,20,8,40.0,1.71,0.68,0.15,0.38,23.5,3,1,1,2.0,1.2,0.06,2.0,1.8,Matches
Gonçalo Silva,pt POR,DF,32-209,12.2,0,1,1,100.0,0.08,0.08,0.0,0.0,10.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Bachir Belloumi,dz ALG,"FW,MF",21-212,10.6,3,23,10,43.5,2.17,0.94,0.13,0.3,19.6,0,0,0,2.4,2.4,0.11,0.6,0.6,Matches
David Pastor,br BRA,DF,23-313,11.9,0,3,1,33.3,0.25,0.08,0.0,0.0,29.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Marco Matias,pt POR,"FW,MF",34-234,9.9,0,15,7,46.7,1.52,0.71,0.0,0.0,17.0,0,0,0,1.6,1.6,0.11,-1.6,-1.6,Matches
Bruno Duarte,br BRA,FW,27-281,10.0,4,16,5,31.3,1.59,0.5,0.13,0.4,16.6,0,2,2,3.3,1.7,0.12,0.7,0.3,Matches
Zach Muscat,mt MLT,DF,30-130,8.8,1,5,1,20.0,0.57,0.11,0.2,1.0,10.3,0,0,0,0.9,0.9,0.18,0.1,0.1,Matches
Fabrício Isidoro,br BRA,MF,31-336,8.6,2,9,5,55.6,1.04,0.58,0.22,0.4,23.0,0,0,0,0.9,0.9,0.1,1.1,1.1,Matches
Rui Costa,pt POR,"FW,MF",27-313,6.0,3,17,7,41.2,2.84,1.17,0.18,0.43,23.3,1,0,1,2.4,1.6,0.09,0.6,1.4,Matches
Artur Jorge Marques Amorim,pt POR,DF,29-138,5.4,0,3,1,33.3,0.56,0.19,0.0,0.0,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Vítor Gonçalves,pt POR,MF,31-276,4.3,0,2,0,0.0,0.46,0.0,0.0,,22.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Elves Baldé,pt POR,"FW,MF",24-089,2.3,1,6,1,16.7,2.58,0.43,0.17,1.0,18.8,0,0,0,1.3,1.3,0.22,-0.3,-0.3,Matches
Fran Delgado,es ESP,DF,22-172,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Igor Rossi Branco,br BRA,DF,34-295,1.4,0,1,0,0.0,0.72,0.0,0.0,,22.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Rafael Barbosa,pt POR,"FW,MF",27-276,2.3,1,4,2,50.0,1.72,0.86,0.25,0.5,19.2,0,0,0,0.5,0.5,0.12,0.5,0.5,Matches
Zé Luís,cv CPV,"FW,MF",32-340,1.5,0,3,0,0.0,2.01,0.0,0.0,,10.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Facundo Cáseres,ar ARG,"MF,DF",22-216,1.1,0,1,1,100.0,0.91,0.91,0.0,0.0,10.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Cristian Ponde,pt POR,MF,28-338,0.5,0,1,0,0.0,1.96,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
André Seruca,pt POR,MF,23-062,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Talys Oliveira,br BRA,DF,24-323,0.1,0,2,1,50.0,20.0,10.0,0.0,0.0,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Squad Total,,,29.0,14.0,22,156,58,37.2,11.14,4.14,0.12,0.33,19.7,4,3,4,17.6,14.7,0.1,4.4,4.3,
Opponent Total,,,26.8,14.0,17,279,76,27.2,19.93,5.43,0.05,0.17,17.5,7,4,4,25.9,22.9,0.08,-8.9,-9.9,
