Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Ricardo Velho,pt POR,GK,25-132,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Talocha,pt POR,DF,34-122,14,14,1244.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.8,1.1,17.0,50.0,43.0,0.0,0.07,0.07,0.0,0.07,0.02,0.06,0.08,0.02,0.08,Matches
Claudio Falcão,br BRA,MF,29-180,14,14,1220.0,13.6,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.3,1.3,0.1,1.5,4.0,37.0,5.0,0.22,0.0,0.22,0.22,0.22,0.1,0.01,0.11,0.1,0.11,Matches
Mattheus Oliveira,br BRA,MF,29-176,14,14,1053.0,11.7,4.0,1.0,5.0,3.0,1.0,1.0,4.0,0.0,2.0,1.2,2.2,3.5,14.0,54.0,23.0,0.34,0.09,0.43,0.26,0.34,0.17,0.19,0.36,0.11,0.3,Matches
Gonçalo Silva,pt POR,DF,32-209,13,13,1097.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bachir Belloumi,dz ALG,"FW,MF",21-212,14,13,956.0,10.6,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.4,2.4,1.3,3.7,23.0,30.0,67.0,0.28,0.19,0.47,0.28,0.47,0.22,0.12,0.35,0.22,0.35,Matches
David Pastor,br BRA,DF,23-313,13,12,1072.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.9,1.0,17.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,Matches
Marco Matias,pt POR,"FW,MF",34-234,13,11,891.0,9.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,1.2,2.8,18.0,26.0,61.0,0.0,0.2,0.2,0.0,0.2,0.17,0.12,0.28,0.17,0.28,Matches
Bruno Duarte,br BRA,FW,27-281,14,10,904.0,10.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,3.3,1.7,0.8,2.5,18.0,24.0,48.0,0.4,0.1,0.5,0.2,0.3,0.33,0.08,0.41,0.17,0.25,Matches
Zach Muscat,mt MLT,DF,30-130,10,9,791.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9,0.9,0.1,1.0,1.0,13.0,1.0,0.11,0.0,0.11,0.11,0.11,0.11,0.01,0.11,0.11,0.11,Matches
Fabrício Isidoro,br BRA,MF,31-336,13,9,778.0,8.6,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,0.9,0.9,0.8,1.6,9.0,40.0,20.0,0.23,0.12,0.35,0.23,0.35,0.1,0.09,0.19,0.1,0.19,Matches
Rui Costa,pt POR,"FW,MF",27-313,14,6,539.0,6.0,3.0,2.0,5.0,3.0,0.0,1.0,2.0,0.0,2.4,1.6,0.6,2.2,12.0,18.0,33.0,0.5,0.33,0.83,0.5,0.83,0.4,0.11,0.5,0.27,0.37,Matches
Artur Jorge Marques Amorim,pt POR,DF,29-138,7,5,484.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Vítor Gonçalves,pt POR,MF,31-276,9,5,391.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,5.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.17,0.01,0.17,Matches
Elves Baldé,pt POR,"FW,MF",24-089,9,2,209.0,2.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.2,1.5,7.0,6.0,19.0,0.43,0.43,0.86,0.43,0.86,0.58,0.08,0.67,0.58,0.67,Matches
Fran Delgado,es ESP,DF,22-172,4,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Igor Rossi Branco,br BRA,DF,34-295,3,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Rafael Barbosa,pt POR,"FW,MF",27-276,11,0,209.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3,0.8,7.0,9.0,28.0,0.43,0.0,0.43,0.43,0.43,0.21,0.12,0.33,0.21,0.33,Matches
Zé Luís,cv CPV,"FW,MF",32-340,5,0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,6.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21,0.41,0.2,0.41,Matches
Facundo Cáseres,ar ARG,"MF,DF",22-216,5,0,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Cristian Ponde,pt POR,MF,28-338,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
André Seruca,pt POR,MF,23-062,5,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Talys Oliveira,br BRA,DF,24-323,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches
Luiz Felipe,br BRA,GK,26-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maxuel Silva,br BRA,FW,23-333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.0,14,154,1260.0,14.0,22.0,11.0,33.0,19.0,3.0,4.0,35.0,3.0,17.6,14.7,10.4,25.1,165.0,414.0,410.0,1.57,0.79,2.36,1.36,2.14,1.26,0.74,2.0,1.05,1.79,
Opponent Total,,,26.8,14,154,1260.0,14.0,17.0,11.0,28.0,13.0,4.0,4.0,34.0,0.0,25.9,22.9,18.2,41.0,292.0,702.0,697.0,1.21,0.79,2.0,0.93,1.71,1.85,1.3,3.15,1.63,2.93,
