Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Rúben Fernandes,pt POR,DF,37-238,14.0,8,4,6,2,0,5,14,35.7,9,12,8,4,24,32,55,1,Matches
José Carlos,pt POR,DF,25-152,12.7,36,24,24,7,5,14,28,50.0,14,12,5,7,22,58,30,1,Matches
Maxime Dominguez,ch SUI,"MF,FW",27-332,12.0,23,13,11,12,0,14,37,37.8,23,29,3,26,17,40,5,0,Matches
Pedro Tiba,pt POR,MF,35-121,11.6,29,23,14,11,4,13,29,44.8,16,14,3,11,11,40,13,0,Matches
Leonardo Buta,pt POR,DF,21-208,12.0,20,9,13,6,1,13,17,76.5,4,8,2,6,15,35,33,1,Matches
Andrew,br BRA,GK,22-182,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches
Gabriel Pereira,br BRA,DF,23-237,11.9,11,10,9,1,1,11,16,68.8,5,18,14,4,10,21,58,0,Matches
Kanya Fujimoto,jp JPN,MF,24-182,9.2,13,8,4,5,4,3,6,50.0,3,13,1,12,6,19,2,0,Matches
Martim Carvalho,pt POR,MF,20-350,8.4,17,12,10,6,1,8,23,34.8,15,8,0,8,8,25,13,0,Matches
Félix Correia,pt POR,FW,22-342,7.9,8,3,2,5,1,5,7,71.4,2,13,2,11,7,15,8,1,Matches
Murilo Costa,br BRA,FW,29-060,7.1,10,7,5,5,0,4,8,50.0,4,3,0,3,1,11,3,0,Matches
Roko Baturina,hr CRO,FW,23-193,6.2,1,1,0,0,1,0,3,0.0,3,2,0,2,0,1,4,0,Matches
Marlon,br BRA,"FW,MF",26-106,4.3,3,3,1,1,1,2,11,18.2,9,7,0,7,3,6,5,0,Matches
Depú,ao ANG,FW,23-356,4.1,2,2,0,1,1,0,2,0.0,2,1,0,1,2,4,2,0,Matches
Mory Gbane,ci CIV,MF,23-005,4.0,11,6,6,3,2,4,6,66.7,2,6,3,3,8,19,9,0,Matches
Né lopes,pt POR,DF,23-215,2.8,4,3,2,1,1,3,3,100.0,0,3,1,2,4,8,10,0,Matches
Tidjany Chabrol,fr FRA,"FW,MF",21-168,4.0,3,1,0,3,0,1,2,50.0,1,7,2,5,1,4,3,0,Matches
Vinicius Dias,br BRA,GK,26-194,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
Kiko Vilas Boas,pt POR,DF,24-113,2.0,7,4,6,1,0,3,5,60.0,2,0,0,0,5,12,10,0,Matches
Ali Alipour,ir IRN,FW,28-049,1.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Miguel Monteiro,pt POR,FW,20-159,2.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,Matches
Roan Wilson,cr CRC,"MF,DF",21-243,1.0,3,2,1,2,0,1,3,33.3,2,3,0,3,1,4,1,0,Matches
Jesús Castillo,pe PER,MF,22-202,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
Thomas Luciano,br BRA,DF,21-350,0.2,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
André Simões,pt POR,FW,20-135,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Felipe Silva Lipe,br BRA,DF,21-314,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,26.2,14.0,211,136,114,73,24,105,226,46.5,121,162,44,118,146,357,275,6,
Opponent Total,,,26.6,14.0,245,161,109,114,22,108,235,46.0,127,144,34,110,139,384,216,3,
