Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Rúben Fernandes,pt POR,DF,37-238,14.0,952,96,555,383,19,12,952,1,1,100.0,0,0.0,547,2256,1294,4,1,0,6,0,663,1,Matches
José Carlos,pt POR,DF,25-152,12.7,842,41,337,379,132,5,842,12,3,25.0,4,33.3,336,1305,690,12,6,2,16,3,443,37,Matches
Maxime Dominguez,ch SUI,"MF,FW",27-332,12.0,664,17,98,371,205,20,663,35,21,60.0,12,34.3,388,2213,1071,21,16,4,20,25,442,55,Matches
Pedro Tiba,pt POR,MF,35-121,11.6,712,31,177,427,119,10,710,25,11,44.0,11,44.0,368,1827,843,12,10,0,13,17,445,14,Matches
Leonardo Buta,pt POR,DF,21-208,12.0,717,32,245,328,149,9,717,25,5,20.0,13,52.0,348,1783,1055,30,19,2,15,7,407,39,Matches
Andrew,br BRA,GK,22-182,12.0,477,424,476,1,0,0,477,0,0,,0,,216,913,527,0,0,0,0,0,189,0,Matches
Gabriel Pereira,br BRA,DF,23-237,11.9,888,143,565,312,15,12,888,3,1,33.3,2,66.7,523,2438,1312,2,0,1,8,3,622,2,Matches
Kanya Fujimoto,jp JPN,MF,24-182,9.2,427,4,45,210,174,24,426,8,5,62.5,3,37.5,238,1098,532,16,14,2,16,10,323,43,Matches
Martim Carvalho,pt POR,MF,20-350,8.4,477,18,109,290,91,8,477,12,9,75.0,2,16.7,271,1660,978,22,15,4,12,5,309,11,Matches
Félix Correia,pt POR,FW,22-342,7.9,360,14,55,146,167,28,360,33,13,39.4,18,54.5,242,1459,775,25,24,10,17,11,254,68,Matches
Murilo Costa,br BRA,FW,29-060,7.1,274,6,32,122,123,21,273,29,18,62.1,10,34.5,168,1111,387,16,16,6,14,13,194,53,Matches
Roko Baturina,hr CRO,FW,23-193,6.2,164,4,5,79,81,20,164,6,2,33.3,4,66.7,100,324,136,5,5,3,19,8,137,20,Matches
Marlon,br BRA,"FW,MF",26-106,4.3,175,5,35,76,66,9,175,17,9,52.9,7,41.2,106,646,296,12,11,5,9,9,118,34,Matches
Depú,ao ANG,FW,23-356,4.1,112,2,9,51,56,20,112,9,3,33.3,4,44.4,54,247,117,4,5,1,12,4,76,19,Matches
Mory Gbane,ci CIV,MF,23-005,4.0,224,14,72,137,17,5,224,5,3,60.0,1,20.0,105,539,249,7,2,3,9,3,122,3,Matches
Né lopes,pt POR,DF,23-215,2.8,193,24,112,71,12,3,193,4,3,75.0,0,0.0,93,464,275,3,0,0,1,0,137,3,Matches
Tidjany Chabrol,fr FRA,"FW,MF",21-168,4.0,217,3,24,85,113,18,217,27,14,51.9,9,33.3,157,933,519,18,10,4,10,8,169,50,Matches
Vinicius Dias,br BRA,GK,26-194,2.0,54,54,54,0,0,0,54,0,0,,0,,21,101,57,0,0,0,0,0,19,0,Matches
Kiko Vilas Boas,pt POR,DF,24-113,2.0,135,12,49,58,29,0,135,3,0,0.0,1,33.3,52,400,156,5,1,0,4,0,69,8,Matches
Ali Alipour,ir IRN,FW,28-049,1.7,50,0,1,23,26,9,50,4,3,75.0,1,25.0,24,81,34,1,1,0,4,1,32,5,Matches
Miguel Monteiro,pt POR,FW,20-159,2.2,51,3,4,30,18,10,51,5,1,20.0,4,80.0,26,134,74,4,1,2,1,5,34,9,Matches
Roan Wilson,cr CRC,"MF,DF",21-243,1.0,57,4,20,31,8,3,57,3,2,66.7,1,33.3,30,122,33,0,1,0,2,2,33,0,Matches
Jesús Castillo,pe PER,MF,22-202,0.3,42,0,6,29,7,0,42,0,0,,0,,19,47,34,0,0,0,0,0,33,2,Matches
Thomas Luciano,br BRA,DF,21-350,0.2,23,0,6,6,11,0,23,1,0,0.0,1,100.0,4,41,30,1,1,0,0,1,10,2,Matches
André Simões,pt POR,FW,20-135,0.2,14,0,0,11,4,0,14,0,0,,0,,12,68,48,1,1,0,0,2,14,0,Matches
Felipe Silva Lipe,br BRA,DF,21-314,0.1,16,2,7,9,1,1,16,0,0,,0,,10,48,25,0,0,0,0,0,14,0,Matches
Squad Total,,,26.2,14.0,8317,953,3098,3665,1643,247,8312,267,127,47.6,108,40.4,4458,22258,11547,221,160,49,208,137,5308,478,
Opponent Total,,,26.6,14.0,8171,749,2561,3731,1969,329,8167,246,121,49.2,105,42.7,4173,21759,11265,248,159,66,248,106,5100,536,
