Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Marcelo dos Santos Ferreira,br BRA,DF,34-156,15.0,3,0,0,18,13,1,0,18,12,0,0,1,83,44,29,60.3,Matches
Kewin,br BRA,GK,28-066,15.0,0,0,0,0,5,0,0,0,0,0,0,0,17,3,0,100.0,Matches
André Luis,br BRA,FW,29-296,14.8,4,0,0,23,21,10,1,6,6,0,0,0,30,74,61,54.8,Matches
Alan,br BRA,MF,23-297,13.3,3,0,0,33,24,2,76,2,17,0,0,0,65,3,13,18.8,Matches
Lawrence Ofori,gh GHA,MF,25-185,13.7,5,0,0,14,14,0,5,7,7,0,0,0,92,2,6,25.0,Matches
Gonçalo Franco,pt POR,MF,23-043,13.0,5,0,0,28,24,0,8,30,22,0,0,0,112,11,11,50.0,Matches
Maracás,br BRA,DF,29-247,12.0,5,1,1,16,7,0,0,10,16,1,0,0,56,28,19,59.6,Matches
Fabiano,br BRA,DF,23-291,11.9,3,0,0,27,10,1,34,12,9,0,1,0,77,13,15,46.4,Matches
Pedro Amador,pt POR,DF,25-012,10.0,0,0,0,7,7,0,41,14,15,0,0,0,51,16,24,40.0,Matches
Kobamelo Kodisang,za RSA,FW,24-124,9.1,0,0,0,6,12,4,24,8,4,0,0,0,30,6,5,54.5,Matches
João Pedro Gomes Camacho,pt POR,FW,29-190,8.9,1,0,0,15,24,3,18,6,12,0,0,0,36,13,13,50.0,Matches
Madson,br BRA,FW,24-126,8.8,2,0,0,6,28,2,32,6,2,0,0,0,47,9,13,40.9,Matches
Godfried Frimpong,nl NED,DF,24-162,5.8,1,0,0,4,1,1,25,8,4,0,0,0,26,8,11,42.1,Matches
Dinis Pinto,pt POR,DF,23-128,3.1,1,0,0,7,2,0,5,2,4,0,0,0,9,4,3,57.1,Matches
Carlos Ponck,cv CPV,DF,28-351,3.3,1,0,0,2,0,0,0,5,6,0,0,0,18,9,3,75.0,Matches
Wallisson Luiz,br BRA,"MF,FW",26-098,2.2,3,1,0,12,1,0,1,6,7,0,0,0,18,9,4,69.2,Matches
Rúben Ramos,pt POR,MF,24-280,1.0,1,0,0,1,1,0,0,0,0,0,0,0,6,0,2,0.0,Matches
Jeremy Antonisse,cw CUW,"FW,MF",21-276,2.1,2,1,1,6,5,1,2,2,5,0,0,0,17,2,4,33.3,Matches
Pedro Aparício,pt POR,"MF,FW",28-130,1.3,1,0,0,3,2,0,8,1,0,0,0,0,10,0,6,0.0,Matches
Matheus Aiás,br BRA,"MF,FW",26-364,0.7,0,0,0,1,2,0,0,0,0,0,0,0,4,0,2,0.0,Matches
Rodrigo Macedo,pt POR,MF,20-174,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Gilberto Batista,pt POR,MF,20-001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,26.8,15.0,41,3,2,229,203,25,280,143,148,1,1,1,806,255,244,51.1,
Opponent Total,,,26.8,15.0,45,3,2,209,216,18,332,118,133,1,1,0,781,244,255,48.9,
