Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Marcelo dos Santos Ferreira,br BRA,DF,34-156,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,1.73,20.0,13.0,7.0,0.47,,15.4,13.9,1.5,0.1,,Matches
Kewin,br BRA,GK,28-066,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,1.73,20.0,13.0,7.0,0.47,,15.4,13.9,1.5,0.1,,Matches
André Luis,br BRA,FW,29-296,15,1330.0,89.0,98.5,14.8,15,89.0,10,0,,0,1.73,19.0,13.0,6.0,0.41,-4.09,15.1,13.7,1.3,0.09,-0.7,Matches
Alan,br BRA,MF,23-297,15,1198.0,80.0,88.7,13.3,15,80.0,0,0,,0,1.73,16.0,11.0,5.0,0.38,-0.81,12.9,11.8,1.1,0.08,-0.15,Matches
Lawrence Ofori,gh GHA,MF,25-185,14,1233.0,88.0,91.3,13.7,14,88.0,9,0,,0,1.79,20.0,12.0,8.0,0.58,1.35,14.7,11.5,3.3,0.24,1.57,Matches
Gonçalo Franco,pt POR,MF,23-043,14,1166.0,83.0,86.4,13.0,14,83.0,5,0,,0,1.64,13.0,9.0,4.0,0.31,-1.16,11.3,11.2,0.1,0.0,-0.71,Matches
Maracás,br BRA,DF,29-247,12,1077.0,90.0,79.8,12.0,12,90.0,11,0,,2,1.58,14.0,11.0,3.0,0.25,-1.07,10.9,11.3,-0.4,-0.03,-0.65,Matches
Fabiano,br BRA,DF,23-291,13,1074.0,83.0,79.6,11.9,11,90.0,11,2,42.0,0,1.69,14.0,9.0,5.0,0.42,-0.23,12.2,11.6,0.6,0.05,-0.24,Matches
Pedro Amador,pt POR,DF,25-012,15,897.0,60.0,66.4,10.0,11,80.0,4,4,4.0,0,1.73,11.0,6.0,5.0,0.5,0.1,9.7,9.1,0.7,0.07,-0.11,Matches
Kobamelo Kodisang,za RSA,FW,24-124,13,816.0,63.0,60.4,9.1,11,69.0,0,2,29.0,1,2.0,12.0,6.0,6.0,0.66,0.49,9.7,7.6,2.1,0.23,0.33,Matches
João Pedro Gomes Camacho,pt POR,FW,29-190,12,803.0,67.0,59.5,8.9,10,77.0,2,2,19.0,0,1.42,13.0,10.0,3.0,0.34,-0.32,9.6,8.1,1.5,0.17,0.16,Matches
Madson,br BRA,FW,24-126,15,791.0,53.0,58.6,8.8,8,80.0,1,7,22.0,0,1.73,8.0,5.0,3.0,0.34,-0.3,7.9,8.4,-0.5,-0.05,-0.37,Matches
Godfried Frimpong,nl NED,DF,24-162,12,524.0,44.0,38.8,5.8,5,88.0,3,7,12.0,0,1.58,9.0,9.0,0.0,0.0,-0.76,5.8,5.9,0.0,0.0,-0.17,Matches
Dinis Pinto,pt POR,DF,23-128,4,276.0,69.0,20.4,3.1,4,69.0,2,0,,0,1.25,6.0,4.0,2.0,0.65,0.23,3.1,2.2,0.9,0.29,0.24,Matches
Carlos Ponck,cv CPV,DF,28-351,5,294.0,59.0,21.8,3.3,3,90.0,3,2,12.0,5,2.2,6.0,1.0,5.0,1.53,1.36,4.5,2.4,2.1,0.64,0.69,Matches
Wallisson Luiz,br BRA,"MF,FW",26-098,11,200.0,18.0,14.8,2.2,1,77.0,0,10,12.0,0,2.18,5.0,3.0,2.0,0.9,0.51,3.1,2.7,0.4,0.18,0.1,Matches
Rúben Ramos,pt POR,MF,24-280,5,90.0,18.0,6.7,1.0,1,67.0,0,4,6.0,10,1.4,3.0,2.0,1.0,1.0,0.57,1.4,1.9,-0.5,-0.53,-0.68,Matches
Jeremy Antonisse,cw CUW,"FW,MF",21-276,11,185.0,17.0,13.7,2.1,0,,0,11,17.0,0,1.73,6.0,3.0,3.0,1.46,1.15,3.1,2.2,0.9,0.45,0.41,Matches
Pedro Aparício,pt POR,"MF,FW",28-130,10,114.0,11.0,8.4,1.3,0,,0,10,11.0,5,1.5,1.0,2.0,-1.0,-0.79,-1.37,1.6,1.9,-0.3,-0.25,-0.39,Matches
Matheus Aiás,br BRA,"MF,FW",26-364,9,63.0,7.0,4.7,0.7,0,,0,9,7.0,4,2.33,4.0,0.0,4.0,5.71,5.5,1.5,0.4,1.1,1.56,1.53,Matches
Rodrigo Macedo,pt POR,MF,20-174,2,12.0,6.0,0.9,0.1,0,,0,2,6.0,4,0.5,0.0,0.0,0.0,0.0,-0.47,0.1,0.1,0.0,0.18,0.08,Matches
Gilberto Batista,pt POR,MF,20-001,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,11,3.0,0.0,0.0,0.0,0.0,-0.47,0.0,0.1,-0.1,-10.43,-10.54,Matches
Matar Manga,gm GAM,MF,19-234,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Rafael Santos,br BRA,DF,25-331,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Caio Secco,br BRA,GK,33-008,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
Squad Total,,,26.8,15,1350.0,90.0,100.0,15.0,165,84.0,91,73,13.0,62,1.73,20.0,13.0,7.0,0.47,,15.4,13.9,1.5,0.1,,
Opponent Total,,,26.8,15,1350.0,90.0,100.0,15.0,165,84.0,95,70,22.0,64,0.93,13.0,20.0,-7.0,-0.47,,13.9,15.4,-1.5,-0.1,,
