Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Filipe Relvas,pt POR,DF,24-101,13.8,10,0.72,9,0,0,1,0,0,4,0.29,3,0,0,1,0,0,Matches
Carlinhos,br BRA,MF,29-191,12.9,54,4.18,33,12,3,5,1,0,4,0.31,3,0,1,0,0,0,Matches
Vinicius Silvestre,br BRA,GK,29-277,12.0,4,0.33,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hélio Varela,cv CPV,"FW,MF",21-241,11.9,31,2.6,19,0,6,1,5,0,3,0.25,2,0,0,1,0,0,Matches
Pedrão,br BRA,DF,26-241,11.5,9,0.78,8,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Alemão,br BRA,DF,21-054,10.9,5,0.46,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Dener,br BRA,MF,31-292,9.8,13,1.33,9,1,0,2,0,1,4,0.41,2,1,0,1,0,0,Matches
Sylvester Jasper,bg BUL,"FW,MF",22-108,9.4,22,2.35,12,1,3,2,2,2,4,0.43,2,0,0,1,0,1,Matches
Gonçalo Costa,pt POR,"DF,MF",23-315,9.9,22,2.2,14,4,0,1,1,2,4,0.4,3,0,0,0,1,0,Matches
Ronie Carrillo,ec ECU,FW,27-113,8.4,18,2.14,17,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guga,pt POR,"DF,MF",20-068,7.2,5,0.7,2,1,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Igor Marques,br BRA,"DF,MF",24-356,6.4,13,2.03,12,0,0,0,0,1,1,0.16,1,0,0,0,0,0,Matches
Maurício,br BRA,MF,35-070,5.0,9,1.8,9,0,0,0,0,0,1,0.2,1,0,0,0,0,0,Matches
Rildo,br BRA,"FW,MF",23-343,5.7,5,0.88,1,0,1,3,0,0,1,0.18,0,0,0,1,0,0,Matches
Moustapha Seck,sn SEN,"DF,MF",27-310,3.3,5,1.5,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulo Estrela Moreira,pt POR,"MF,FW",24-313,4.2,7,1.67,7,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Nonoca,br BRA,"MF,FW",25-225,3.6,4,1.13,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kosuke Nakamura,jp JPN,GK,28-306,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulinho,pt POR,"FW,MF",24-100,1.9,1,0.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rafael Alcobia,pt POR,DF,20-191,1.3,4,3.19,4,0,0,0,0,0,1,0.8,1,0,0,0,0,0,Matches
Luan Campos,br BRA,"FW,MF",21-286,1.1,2,1.84,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Zinho,br BRA,"FW,MF",20-235,1.3,4,3.08,2,0,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Midana Cassama,gw GNB,MF,21-134,0.2,1,5.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jose Souza,pt POR,MF,22-204,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dennis Adeniran,eng ENG,MF,24-362,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,14.0,248,17.71,175,23,15,15,13,7,28,2.0,19,1,1,5,1,1,
Opponent Total,,,26.5,14.0,392,28.0,292,37,25,15,18,5,54,3.86,42,3,2,3,2,2,
