Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Filipe Relvas,pt POR,DF,24-101,13.8,4,0,0,13,5,2,8,22,14,0,0,3,59,41,26,61.2,Matches
Carlinhos,br BRA,MF,29-191,12.9,5,0,0,20,16,1,39,5,13,0,0,0,70,6,5,54.5,Matches
Vinicius Silvestre,br BRA,GK,29-277,12.0,1,0,0,0,2,0,0,0,0,0,0,0,6,8,0,100.0,Matches
Hélio Varela,cv CPV,"FW,MF",21-241,11.9,3,0,0,12,31,0,22,5,7,0,0,0,53,10,22,31.3,Matches
Pedrão,br BRA,DF,26-241,11.5,2,0,0,17,14,1,3,24,12,0,1,0,75,11,8,57.9,Matches
Alemão,br BRA,DF,21-054,10.9,5,0,0,15,8,2,0,11,19,0,1,0,53,20,13,60.6,Matches
Dener,br BRA,MF,31-292,9.8,6,0,0,16,10,0,2,10,14,0,0,0,52,11,14,44.0,Matches
Sylvester Jasper,bg BUL,"FW,MF",22-108,9.4,1,0,0,17,24,2,25,6,9,0,0,0,40,2,13,13.3,Matches
Gonçalo Costa,pt POR,"DF,MF",23-315,9.9,3,1,0,15,3,2,50,11,15,1,0,0,64,10,6,62.5,Matches
Ronie Carrillo,ec ECU,FW,27-113,8.4,0,1,0,14,13,5,3,2,2,0,0,0,19,17,22,43.6,Matches
Guga,pt POR,"DF,MF",20-068,7.2,3,0,0,5,12,2,10,5,10,0,0,0,36,1,4,20.0,Matches
Igor Marques,br BRA,"DF,MF",24-356,6.4,2,0,0,8,6,0,21,15,16,0,0,0,51,4,9,30.8,Matches
Maurício,br BRA,MF,35-070,5.0,1,0,0,11,4,0,0,9,8,0,1,0,23,8,4,66.7,Matches
Rildo,br BRA,"FW,MF",23-343,5.7,3,0,0,17,9,6,3,1,3,0,0,0,16,5,26,16.1,Matches
Moustapha Seck,sn SEN,"DF,MF",27-310,3.3,2,0,0,5,2,1,14,2,1,0,0,0,15,12,6,66.7,Matches
Paulo Estrela Moreira,pt POR,"MF,FW",24-313,4.2,0,0,0,11,1,0,12,6,4,0,0,0,37,5,4,55.6,Matches
Nonoca,br BRA,"MF,FW",25-225,3.6,0,0,0,5,6,0,1,3,8,0,0,0,18,0,2,0.0,Matches
Kosuke Nakamura,jp JPN,GK,28-306,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Paulinho,pt POR,"FW,MF",24-100,1.9,0,0,0,1,2,1,1,0,0,0,0,0,6,5,2,71.4,Matches
Rafael Alcobia,pt POR,DF,20-191,1.3,0,0,0,1,2,0,0,0,3,0,0,0,5,0,2,0.0,Matches
Luan Campos,br BRA,"FW,MF",21-286,1.1,1,0,0,1,1,1,3,3,1,0,0,0,3,2,1,66.7,Matches
Zinho,br BRA,"FW,MF",20-235,1.3,1,0,0,2,2,0,1,1,0,0,0,0,10,0,4,0.0,Matches
Midana Cassama,gw GNB,MF,21-134,0.2,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Jose Souza,pt POR,MF,22-204,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Dennis Adeniran,eng ENG,MF,24-362,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.7,14.0,43,3,0,209,173,26,218,143,159,1,3,3,714,180,193,48.3,
Opponent Total,,,26.5,14.0,29,1,1,186,200,25,327,117,162,2,3,0,743,193,180,51.7,
