Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Filipe Relvas,pt POR,DF,24-101,13.8,742,657,83,29,0,1,8,54,0,0,0,0,599,2,6,Matches
Carlinhos,br BRA,MF,29-191,12.9,582,502,76,32,1,13,39,7,35,12,14,0,441,4,12,Matches
Vinicius Silvestre,br BRA,GK,29-277,12.0,403,237,165,45,0,1,0,0,0,0,0,0,283,1,0,Matches
Hélio Varela,cv CPV,"FW,MF",21-241,11.9,307,303,4,0,0,2,22,3,0,0,0,0,233,0,14,Matches
Pedrão,br BRA,DF,26-241,11.5,560,510,47,31,0,6,3,16,0,0,0,0,441,3,3,Matches
Alemão,br BRA,DF,21-054,10.9,391,376,13,12,1,4,0,0,0,0,0,0,325,2,2,Matches
Dener,br BRA,MF,31-292,9.8,376,358,17,12,1,2,2,3,0,0,0,0,308,1,9,Matches
Sylvester Jasper,bg BUL,"FW,MF",22-108,9.4,240,229,9,1,0,0,25,2,5,2,2,0,174,2,15,Matches
Gonçalo Costa,pt POR,"DF,MF",23-315,9.9,477,387,88,8,0,0,50,76,4,3,1,0,337,2,22,Matches
Ronie Carrillo,ec ECU,FW,27-113,8.4,186,162,23,1,1,0,3,0,0,0,0,0,128,1,5,Matches
Guga,pt POR,"DF,MF",20-068,7.2,206,149,57,2,0,0,10,55,0,0,0,0,157,0,7,Matches
Igor Marques,br BRA,"DF,MF",24-356,6.4,290,216,71,1,0,2,21,70,0,0,0,0,218,3,16,Matches
Maurício,br BRA,MF,35-070,5.0,204,199,4,1,1,0,0,0,1,0,0,0,169,1,5,Matches
Rildo,br BRA,"FW,MF",23-343,5.7,100,86,14,0,4,0,3,0,2,1,1,0,71,0,3,Matches
Moustapha Seck,sn SEN,"DF,MF",27-310,3.3,159,134,25,2,0,0,14,23,0,0,0,0,104,0,4,Matches
Paulo Estrela Moreira,pt POR,"MF,FW",24-313,4.2,240,221,18,5,0,1,12,4,9,4,3,0,191,1,2,Matches
Nonoca,br BRA,"MF,FW",25-225,3.6,131,130,1,1,0,0,1,0,0,0,0,0,115,0,1,Matches
Kosuke Nakamura,jp JPN,GK,28-306,2.0,74,41,33,5,0,0,0,0,0,0,0,0,55,0,0,Matches
Paulinho,pt POR,"FW,MF",24-100,1.9,34,30,4,0,0,0,1,0,0,0,0,0,21,0,2,Matches
Rafael Alcobia,pt POR,DF,20-191,1.3,75,70,4,4,0,0,0,0,0,0,0,0,59,1,0,Matches
Luan Campos,br BRA,"FW,MF",21-286,1.1,25,20,3,0,0,0,3,1,2,2,0,0,13,2,0,Matches
Zinho,br BRA,"FW,MF",20-235,1.3,26,26,0,0,0,0,1,0,0,0,0,0,18,0,1,Matches
Midana Cassama,gw GNB,MF,21-134,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Jose Souza,pt POR,MF,22-204,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Dennis Adeniran,eng ENG,MF,24-362,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,25.7,14.0,5843,5058,759,192,9,32,218,314,58,24,21,0,4473,26,129,
Opponent Total,,,26.5,14.0,7315,6472,818,223,30,65,327,367,97,46,27,1,5846,25,128,
