Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Filipe Relvas,pt POR,DF,24-101,13.8,911,120,493,364,59,9,911,2,0,0.0,1,50.0,406,1840,993,5,4,0,5,0,534,6,Matches
Carlinhos,br BRA,MF,29-191,12.9,704,20,113,414,192,13,702,33,17,51.5,14,42.4,397,2539,1199,29,24,5,25,11,469,28,Matches
Vinicius Silvestre,br BRA,GK,29-277,12.0,439,403,437,2,0,0,439,0,0,,0,,198,1113,738,0,0,0,0,0,140,0,Matches
Hélio Varela,cv CPV,"FW,MF",21-241,11.9,480,7,61,219,218,37,480,65,30,46.2,24,36.9,331,2887,1459,57,39,14,40,20,370,97,Matches
Pedrão,br BRA,DF,26-241,11.5,688,77,398,274,26,7,688,13,9,69.2,4,30.8,359,1916,1226,11,6,0,11,3,410,7,Matches
Alemão,br BRA,DF,21-054,10.9,537,124,358,172,8,5,537,2,1,50.0,1,50.0,263,1844,1053,4,2,0,3,1,301,1,Matches
Dener,br BRA,MF,31-292,9.8,477,33,152,272,56,9,477,5,1,20.0,3,60.0,206,990,474,8,5,0,5,7,295,7,Matches
Sylvester Jasper,bg BUL,"FW,MF",22-108,9.4,355,9,55,148,159,22,355,37,15,40.5,17,45.9,214,1310,616,24,18,6,29,14,258,48,Matches
Gonçalo Costa,pt POR,"DF,MF",23-315,9.9,604,34,177,254,179,18,604,30,12,40.0,14,46.7,287,1673,743,23,15,4,26,9,333,48,Matches
Ronie Carrillo,ec ECU,FW,27-113,8.4,275,15,28,135,113,19,275,13,4,30.8,7,53.8,123,593,210,6,4,2,22,11,180,28,Matches
Guga,pt POR,"DF,MF",20-068,7.2,299,16,114,122,64,6,299,18,8,44.4,8,44.4,118,554,224,8,4,2,13,7,128,23,Matches
Igor Marques,br BRA,"DF,MF",24-356,6.4,393,35,137,175,92,4,393,23,11,47.8,11,47.8,164,1134,601,18,12,0,13,7,169,26,Matches
Maurício,br BRA,MF,35-070,5.0,259,19,58,162,41,3,259,1,1,100.0,0,0.0,117,628,207,2,5,0,5,3,170,4,Matches
Rildo,br BRA,"FW,MF",23-343,5.7,166,1,19,79,74,17,165,13,5,38.5,8,61.5,88,430,186,6,5,2,20,5,110,35,Matches
Moustapha Seck,sn SEN,"DF,MF",27-310,3.3,185,7,58,81,47,1,185,2,2,100.0,0,0.0,86,488,259,5,2,0,0,1,109,15,Matches
Paulo Estrela Moreira,pt POR,"MF,FW",24-313,4.2,289,11,69,190,33,1,289,2,1,50.0,1,50.0,143,661,347,1,1,0,1,1,166,1,Matches
Nonoca,br BRA,"MF,FW",25-225,3.6,171,7,51,98,24,1,171,1,1,100.0,0,0.0,78,310,104,0,0,0,7,5,99,1,Matches
Kosuke Nakamura,jp JPN,GK,28-306,2.0,78,70,78,0,0,0,78,0,0,,0,,28,139,73,0,0,0,0,0,27,0,Matches
Paulinho,pt POR,"FW,MF",24-100,1.9,49,2,4,28,18,6,49,0,0,,0,,22,92,38,1,2,1,5,1,36,5,Matches
Rafael Alcobia,pt POR,DF,20-191,1.3,83,5,48,35,0,0,83,0,0,,0,,47,260,180,2,0,0,1,1,64,0,Matches
Luan Campos,br BRA,"FW,MF",21-286,1.1,47,2,12,23,12,1,47,4,1,25.0,3,75.0,21,102,43,0,0,0,6,0,24,5,Matches
Zinho,br BRA,"FW,MF",20-235,1.3,52,1,8,16,29,2,52,10,4,40.0,6,60.0,33,351,145,6,2,2,9,6,33,12,Matches
Midana Cassama,gw GNB,MF,21-134,0.2,7,0,0,3,4,1,7,0,0,,0,,2,6,0,0,0,0,1,1,6,2,Matches
Jose Souza,pt POR,MF,22-204,0.1,9,0,1,8,0,0,9,0,0,,0,,4,18,1,0,0,0,0,0,5,0,Matches
Dennis Adeniran,eng ENG,MF,24-362,0.1,4,0,1,2,1,0,4,0,0,,0,,2,10,0,0,0,0,0,0,2,0,Matches
Squad Total,,,25.7,14.0,7561,1018,2930,3276,1449,182,7558,274,123,44.9,122,44.5,3737,21888,11119,216,150,38,247,114,4438,399,
Opponent Total,,,26.5,14.0,8859,758,2602,3959,2367,361,8856,276,127,46.0,122,44.2,4945,26204,13782,278,192,66,227,145,5806,649,
