Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Diogo Costa,pt POR,GK,24-102,15.0,580,442,136,36,0,1,0,0,0,0,0,0,453,2,0,Matches
Pepê,br BRA,"MF,DF",26-309,13.2,558,506,45,4,15,5,18,37,4,0,2,0,423,7,11,Matches
Stephen Eustáquio,ca CAN,MF,27-009,13.1,784,697,86,58,1,4,40,3,25,13,4,0,641,1,10,Matches
Mehdi Taremi,ir IRN,FW,31-165,12.9,318,296,22,1,6,0,0,5,1,0,0,0,239,0,20,Matches
João Mário Lopes,pt POR,DF,23-361,10.6,556,459,95,5,1,2,38,88,2,0,0,0,450,2,11,Matches
Alan Varela,ar ARG,MF,22-179,9.2,545,527,16,14,4,10,4,1,1,1,0,0,473,2,5,Matches
Galeno,br BRA,"MF,DF",26-069,10.1,324,266,57,8,4,0,26,41,8,2,2,0,221,1,15,Matches
Pepe,pt POR,DF,40-307,7.2,511,482,27,26,0,8,4,1,0,0,0,0,426,2,5,Matches
Evanilson,br BRA,FW,24-085,7.0,162,151,11,0,3,0,3,3,0,0,0,0,123,0,5,Matches
Fábio Cardoso,pt POR,DF,29-255,6.9,516,499,16,15,1,4,2,1,0,0,0,0,468,1,2,Matches
David Carmo,pt POR,DF,24-164,6.8,424,395,27,18,2,3,0,0,0,0,0,0,360,2,2,Matches
Wendell,br BRA,DF,30-163,6.9,449,361,88,15,1,1,36,63,10,9,0,0,359,0,11,Matches
Iván Marcano,es ESP,DF,36-190,4.1,319,306,12,7,0,2,3,3,0,0,0,0,286,1,2,Matches
Zé Pedro Figueiredo,pt POR,DF,26-207,4.7,340,329,11,10,1,5,4,1,0,0,0,0,296,0,2,Matches
André Franco,pt POR,"MF,FW",25-262,4.1,242,213,27,12,4,0,20,2,13,8,2,0,191,2,4,Matches
Nicolás González,es ESP,MF,21-361,4.1,265,256,8,6,0,2,3,2,0,0,0,0,235,1,2,Matches
Toni Martínez,es ESP,FW,26-183,4.0,70,69,1,0,0,0,4,0,0,0,0,0,48,0,2,Matches
Jorge Eduardo Sánchez,mx MEX,DF,26-020,3.9,246,201,43,5,0,1,8,38,0,0,0,0,203,2,9,Matches
Zaidu Sanusi,ng NGA,DF,26-200,2.8,172,131,40,3,0,0,14,30,7,1,3,0,117,1,6,Matches
Francisco Conceição,pt POR,"MF,FW",21-016,3.7,158,144,13,0,3,1,17,5,8,6,0,0,120,1,5,Matches
Ivan Jaime Pajuelo,es ESP,MF,23-095,2.9,154,131,22,8,2,0,20,2,12,8,3,0,124,1,2,Matches
João Miguel,pt POR,DF,23-261,2.1,142,106,36,4,1,3,9,31,1,1,0,0,108,0,3,Matches
Romário Baró,pt POR,"MF,FW",23-339,1.4,56,47,8,0,0,0,2,3,5,1,0,0,42,1,5,Matches
Gonçalo Borges,pt POR,"MF,DF",22-276,2.3,89,81,8,0,0,0,25,8,0,0,0,0,57,0,5,Matches
Fran Navarro,es ESP,"FW,MF",25-330,1.9,24,24,0,0,0,0,3,0,0,0,0,0,19,0,1,Matches
Marko Grujić,rs SRB,MF,27-261,1.3,91,90,1,1,2,2,0,0,0,0,0,0,75,0,1,Matches
Otávio,pt POR,"MF,FW",28-324,1.0,54,43,11,5,1,0,3,0,4,1,1,0,38,0,1,Matches
Danny Loader,eng ENG,"FW,DF",23-124,0.5,20,18,1,0,0,0,0,1,0,0,0,0,15,1,1,Matches
Squad Total,,,26.9,15.0,8169,7270,868,261,52,54,306,369,101,51,17,0,6610,31,148,
Opponent Total,,,26.5,15.0,5256,4419,808,247,14,34,239,295,71,31,27,2,3781,29,115,
