Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Diogo Costa,pt POR,GK,24-102,15.0,615,483,607,10,0,0,615,1,1,100.0,0,0.0,366,1606,852,0,0,0,0,0,340,0,Matches
Pepê,br BRA,"MF,DF",26-309,13.2,714,10,91,311,325,39,714,60,32,53.3,20,33.3,421,2829,1173,34,23,9,26,18,493,93,Matches
Stephen Eustáquio,ca CAN,MF,27-009,13.1,920,30,158,514,254,30,920,9,5,55.6,4,44.4,419,1844,893,9,9,2,9,3,581,33,Matches
Mehdi Taremi,ir IRN,FW,31-165,12.9,456,19,53,207,203,67,454,22,8,36.4,12,54.5,234,1312,615,20,14,9,24,9,298,78,Matches
João Mário Lopes,pt POR,DF,23-361,10.6,666,13,137,299,244,31,666,45,20,44.4,20,44.4,356,2346,1489,51,31,11,14,7,432,93,Matches
Alan Varela,ar ARG,MF,22-179,9.2,634,31,147,382,105,7,634,4,3,75.0,0,0.0,344,1406,671,10,5,1,13,4,448,4,Matches
Galeno,br BRA,"MF,DF",26-069,10.1,456,20,56,148,260,48,454,28,14,50.0,10,35.7,239,1831,977,39,24,15,24,12,288,101,Matches
Pepe,pt POR,DF,40-307,7.2,590,54,252,307,34,12,590,1,0,0.0,1,100.0,356,1688,880,2,5,1,6,2,401,1,Matches
Evanilson,br BRA,FW,24-085,7.0,224,6,16,95,113,34,224,13,4,30.8,6,46.2,136,730,285,12,6,4,8,8,187,44,Matches
Fábio Cardoso,pt POR,DF,29-255,6.9,566,47,209,321,37,8,566,1,1,100.0,0,0.0,381,2285,1383,15,6,0,1,0,452,1,Matches
David Carmo,pt POR,DF,24-164,6.8,487,71,237,231,20,13,487,1,1,100.0,0,0.0,272,1435,823,4,1,0,1,1,337,4,Matches
Wendell,br BRA,DF,30-163,6.9,518,18,125,227,168,9,518,12,4,33.3,7,58.3,253,1574,865,21,17,2,9,2,289,47,Matches
Iván Marcano,es ESP,DF,36-190,4.1,361,27,131,193,37,14,361,1,0,0.0,1,100.0,226,1293,829,6,8,0,1,1,264,0,Matches
Zé Pedro Figueiredo,pt POR,DF,26-207,4.7,378,21,145,198,37,5,378,0,0,,0,,241,1432,849,5,5,0,0,0,281,5,Matches
André Franco,pt POR,"MF,FW",25-262,4.1,268,3,35,136,99,13,268,1,1,100.0,0,0.0,150,699,331,7,5,0,6,2,194,26,Matches
Nicolás González,es ESP,MF,21-361,4.1,299,5,43,186,71,5,299,10,8,80.0,2,20.0,173,667,344,2,3,0,7,3,207,9,Matches
Toni Martínez,es ESP,FW,26-183,4.0,104,0,0,42,63,23,104,6,3,50.0,2,33.3,57,201,64,4,2,1,8,4,85,25,Matches
Jorge Eduardo Sánchez,mx MEX,DF,26-020,3.9,286,5,82,140,65,9,286,10,5,50.0,5,50.0,135,547,317,6,6,2,5,4,183,21,Matches
Zaidu Sanusi,ng NGA,DF,26-200,2.8,202,7,54,92,59,4,202,6,4,66.7,2,33.3,85,518,232,6,2,1,8,3,117,16,Matches
Francisco Conceição,pt POR,"MF,FW",21-016,3.7,213,1,9,76,130,23,213,15,6,40.0,9,60.0,138,1017,551,22,17,11,11,3,159,47,Matches
Ivan Jaime Pajuelo,es ESP,MF,23-095,2.9,194,2,20,80,95,7,194,13,7,53.8,3,23.1,116,599,271,7,8,1,5,1,129,15,Matches
João Miguel,pt POR,DF,23-261,2.1,158,3,29,80,49,1,158,0,0,,0,,72,357,247,8,4,0,4,2,96,15,Matches
Romário Baró,pt POR,"MF,FW",23-339,1.4,68,1,5,31,33,9,68,6,2,33.3,4,66.7,43,207,67,2,1,0,0,2,51,12,Matches
Gonçalo Borges,pt POR,"MF,DF",22-276,2.3,132,3,17,21,94,26,132,15,8,53.3,7,46.7,88,659,385,23,1,11,12,2,92,42,Matches
Fran Navarro,es ESP,"FW,MF",25-330,1.9,50,3,7,22,21,11,50,4,1,25.0,2,50.0,29,158,56,1,0,0,5,2,29,6,Matches
Marko Grujić,rs SRB,MF,27-261,1.3,107,5,27,62,19,3,107,3,2,66.7,1,33.3,50,261,136,1,1,0,2,1,68,2,Matches
Otávio,pt POR,"MF,FW",28-324,1.0,57,0,5,30,23,3,57,0,0,,0,,28,183,44,1,1,1,2,2,43,3,Matches
Danny Loader,eng ENG,"FW,DF",23-124,0.5,28,2,4,11,14,4,28,1,1,100.0,0,0.0,13,66,35,1,2,0,2,0,19,4,Matches
Squad Total,,,26.9,15.0,9751,890,2701,4452,2672,458,9747,288,141,49.0,118,41.0,5421,29750,15664,319,207,82,213,98,6563,747,
Opponent Total,,,26.5,15.0,6921,1053,2769,2737,1487,254,6918,268,122,45.5,120,44.8,3165,17789,8759,195,113,56,219,98,3741,344,
