Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Diogo Costa,pt POR,GK,24-102,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pepê,br BRA,"MF,DF",26-309,15,13,1185.0,13.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.8,1.8,1.8,3.6,34.0,77.0,93.0,0.0,0.15,0.15,0.0,0.15,0.14,0.14,0.27,0.14,0.27,Matches
Stephen Eustáquio,ca CAN,MF,27-009,15,13,1178.0,13.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,2.6,4.1,9.0,87.0,33.0,0.15,0.15,0.31,0.15,0.31,0.11,0.2,0.31,0.11,0.31,Matches
Mehdi Taremi,ir IRN,FW,31-165,15,13,1162.0,12.9,3.0,1.0,4.0,2.0,1.0,2.0,3.0,0.0,3.5,2.0,1.6,3.6,20.0,35.0,78.0,0.23,0.08,0.31,0.15,0.23,0.27,0.12,0.4,0.15,0.28,Matches
João Mário Lopes,pt POR,DF,23-361,12,12,951.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.8,1.5,51.0,53.0,93.0,0.09,0.0,0.09,0.09,0.09,0.06,0.07,0.14,0.06,0.14,Matches
Alan Varela,ar ARG,MF,22-179,12,11,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.2,0.7,10.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches
Galeno,br BRA,"MF,DF",26-069,13,9,908.0,10.1,1.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,3.2,1.6,1.5,3.1,39.0,20.0,101.0,0.1,0.2,0.3,0.0,0.2,0.32,0.15,0.46,0.16,0.31,Matches
Pepe,pt POR,DF,40-307,8,8,649.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.1,1.2,2.0,27.0,1.0,0.14,0.14,0.28,0.14,0.28,0.14,0.02,0.16,0.14,0.16,Matches
Evanilson,br BRA,FW,24-085,10,8,628.0,7.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,2.7,2.6,0.6,3.2,12.0,16.0,44.0,0.57,0.14,0.72,0.57,0.72,0.39,0.08,0.47,0.37,0.45,Matches
Fábio Cardoso,pt POR,DF,29-255,11,7,621.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.3,0.6,15.0,64.0,1.0,0.0,0.14,0.14,0.0,0.14,0.04,0.04,0.09,0.04,0.09,Matches
David Carmo,pt POR,DF,24-164,7,7,608.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.7,0.7,0.1,0.8,4.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,Matches
Wendell,br BRA,DF,30-163,8,6,620.0,6.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.2,0.2,0.7,0.9,21.0,41.0,47.0,0.15,0.15,0.29,0.15,0.29,0.03,0.1,0.12,0.03,0.12,Matches
Iván Marcano,es ESP,DF,36-190,5,5,367.0,4.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,0.1,1.4,6.0,45.0,0.0,0.49,0.0,0.49,0.49,0.49,0.32,0.03,0.35,0.32,0.35,Matches
Zé Pedro Figueiredo,pt POR,DF,26-207,5,4,426.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,5.0,37.0,5.0,0.21,0.0,0.21,0.21,0.21,0.14,0.0,0.14,0.14,0.14,Matches
André Franco,pt POR,"MF,FW",25-262,12,4,370.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.6,2.1,7.0,27.0,26.0,0.0,0.24,0.24,0.0,0.24,0.14,0.38,0.52,0.14,0.52,Matches
Nicolás González,es ESP,MF,21-361,7,4,367.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.6,2.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.14,0.03,0.14,Matches
Toni Martínez,es ESP,FW,26-183,10,4,363.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.5,1.4,4.0,3.0,25.0,0.5,0.0,0.5,0.5,0.5,0.24,0.12,0.36,0.24,0.36,Matches
Jorge Eduardo Sánchez,mx MEX,DF,26-020,6,4,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.2,0.7,6.0,23.0,21.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches
Zaidu Sanusi,ng NGA,DF,26-200,4,4,254.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6.0,5.0,16.0,0.35,0.0,0.35,0.35,0.35,0.08,0.06,0.13,0.08,0.13,Matches
Francisco Conceição,pt POR,"MF,FW",21-016,8,3,335.0,3.7,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,0.7,2.2,22.0,14.0,47.0,0.54,0.27,0.81,0.54,0.81,0.4,0.18,0.58,0.4,0.58,Matches
Ivan Jaime Pajuelo,es ESP,MF,23-095,7,3,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,7.0,17.0,15.0,0.35,0.0,0.35,0.35,0.35,0.18,0.09,0.27,0.18,0.27,Matches
João Miguel,pt POR,DF,23-261,3,2,191.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,8.0,11.0,15.0,0.0,0.47,0.47,0.0,0.47,0.02,0.21,0.23,0.02,0.23,Matches
Romário Baró,pt POR,"MF,FW",23-339,4,2,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,2.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches
Gonçalo Borges,pt POR,"MF,DF",22-276,9,1,210.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.8,2.0,23.0,8.0,42.0,0.0,0.86,0.86,0.0,0.86,0.08,0.79,0.87,0.08,0.87,Matches
