Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Costinha,pt POR,"MF,DF",23-279,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,0.8,16.0,24.0,-8.0,-0.53,,19.8,18.7,1.1,0.07,,Matches
Aderlan Santos,br BRA,DF,34-265,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,0.8,16.0,24.0,-8.0,-0.53,,19.8,18.7,1.1,0.07,,Matches
Fábio Conceição,pt POR,"MF,DF",22-246,15,1333.0,89.0,98.7,14.8,15,89.0,9,0,,0,0.8,16.0,22.0,-6.0,-0.41,10.18,19.3,17.6,1.7,0.11,2.99,Matches
Amine Oudrhiri,ma MAR,MF,31-056,15,1160.0,77.0,85.9,12.9,15,77.0,3,0,,0,0.8,14.0,18.0,-4.0,-0.31,1.58,16.4,14.0,2.3,0.18,0.79,Matches
Josué Sá,pt POR,DF,31-196,13,1051.0,81.0,77.9,11.7,12,87.0,8,1,13.0,0,0.92,14.0,13.0,1.0,0.09,2.79,16.9,11.3,5.5,0.47,1.82,Matches
Gonçalo Rodrigues,pt POR,MF,26-165,12,972.0,81.0,72.0,10.8,12,81.0,5,0,,0,0.92,14.0,16.0,-2.0,-0.19,1.24,14.9,12.2,2.7,0.25,0.64,Matches
Emmanuel Boateng,gh GHA,FW,27-221,11,866.0,79.0,64.1,9.6,9,88.0,7,2,39.0,0,1.0,14.0,12.0,2.0,0.21,2.07,14.9,8.8,6.1,0.64,1.57,Matches
Joca,pt POR,"FW,MF",27-334,9,623.0,69.0,46.1,6.9,9,69.0,0,0,,0,0.89,6.0,7.0,-1.0,-0.14,0.72,7.4,5.9,1.6,0.23,0.29,Matches
Jhonatan,br BRA,GK,32-236,8,720.0,90.0,53.3,8.0,8,90.0,8,0,,2,0.88,11.0,12.0,-1.0,-0.12,0.88,12.5,8.2,4.4,0.55,1.02,Matches
Miguel Nóbrega,pt POR,DF,23-257,9,711.0,79.0,52.7,7.9,8,86.0,5,1,20.0,1,0.78,10.0,12.0,-2.0,-0.25,0.59,12.2,8.1,4.1,0.52,0.95,Matches
Magrão,br BRA,GK,23-229,7,630.0,90.0,46.7,7.0,7,90.0,7,0,,8,0.71,5.0,12.0,-7.0,-1.0,-0.88,7.3,10.5,-3.3,-0.47,-1.02,Matches
André Pereira,pt POR,FW,28-239,11,584.0,53.0,43.3,6.5,7,66.0,0,4,31.0,2,0.82,9.0,10.0,-1.0,-0.15,0.67,8.2,4.5,3.7,0.57,0.88,Matches
Renato Pantalon,hr CRO,DF,26-064,9,569.0,63.0,42.1,6.3,7,81.0,5,2,1.0,5,1.0,3.0,11.0,-8.0,-1.27,-1.27,4.2,9.7,-5.5,-0.87,-1.62,Matches
Leonardo Ruíz,co COL,FW,27-256,10,579.0,58.0,42.9,6.4,6,80.0,3,4,25.0,5,0.5,4.0,12.0,-8.0,-1.24,-1.24,8.4,11.3,-2.9,-0.45,-0.92,Matches
Bruno Ventura,pt POR,"FW,MF",22-306,11,481.0,44.0,35.6,5.3,5,77.0,1,6,16.0,2,0.64,7.0,9.0,-2.0,-0.37,0.25,9.5,8.2,1.4,0.26,0.29,Matches
João Graça,pt POR,"MF,FW",28-195,12,469.0,39.0,34.7,5.2,5,74.0,0,7,14.0,3,0.42,4.0,7.0,-3.0,-0.58,-0.06,6.3,6.7,-0.3,-0.06,-0.2,Matches
Zé Manuel,pt POR,"MF,FW",33-068,13,405.0,31.0,30.0,4.5,3,73.0,1,10,19.0,2,0.85,4.0,10.0,-6.0,-1.33,-1.14,6.4,8.3,-1.9,-0.42,-0.7,Matches
Hernâni Fortes,pt POR,FW,32-132,12,339.0,28.0,25.1,3.8,3,56.0,0,9,19.0,3,0.92,3.0,7.0,-4.0,-1.06,-0.71,3.9,5.1,-1.1,-0.3,-0.5,Matches
Savio,br BRA,"DF,MF",28-218,7,253.0,36.0,18.7,2.8,2,61.0,0,5,26.0,1,0.71,3.0,8.0,-5.0,-1.78,-1.53,3.5,4.9,-1.4,-0.51,-0.72,Matches
Patrick,br BRA,DF,26-210,6,142.0,24.0,10.5,1.6,2,50.0,0,4,11.0,5,1.0,1.0,8.0,-7.0,-4.44,-4.36,2.3,5.7,-3.5,-2.21,-2.55,Matches
Vítor Gomes,pt POR,MF,36-005,10,169.0,17.0,12.5,1.9,0,,0,10,17.0,2,0.8,1.0,8.0,-7.0,-3.73,-3.65,2.6,5.3,-2.7,-1.46,-1.75,Matches
Ukra,pt POR,"MF,FW",35-289,4,59.0,15.0,4.4,0.7,0,,0,4,15.0,8,0.5,0.0,2.0,-2.0,-3.05,-2.63,0.3,1.8,-1.5,-2.25,-2.43,Matches
Nuno Namora,pt POR,"DF,MF",25-321,3,29.0,10.0,2.1,0.3,0,,0,3,10.0,2,0.67,1.0,0.0,1.0,3.1,3.72,0.6,0.1,0.5,1.51,1.47,Matches
Julien Lomboto,cd COD,MF,21-231,1,6.0,6.0,0.4,0.1,0,,0,1,6.0,5,1.0,0.0,0.0,0.0,0.0,0.54,0.0,0.1,-0.1,-1.49,-1.57,Matches
Lucas Flores,br BRA,GK,21-179,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Squad Total,,,28.1,15,1350.0,90.0,100.0,15.0,165,82.0,92,73,18.0,61,0.8,16.0,24.0,-8.0,-0.53,,19.8,18.7,1.1,0.07,,
Opponent Total,,,26.9,15,1350.0,90.0,100.0,15.0,165,82.0,90,73,18.0,62,1.8,24.0,16.0,8.0,0.53,,18.7,19.8,-1.1,-0.07,,
