Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Costinha,pt POR,"MF,DF",23-279,15.0,2,12,3,25.0,0.8,0.2,0.0,0.0,17.4,0,2,2,2.3,0.7,0.06,-0.3,-0.7,Matches
Aderlan Santos,br BRA,DF,34-265,15.0,2,12,5,41.7,0.8,0.33,0.17,0.4,17.1,1,0,0,1.0,1.0,0.08,1.0,1.0,Matches
Fábio Conceição,pt POR,"MF,DF",22-246,14.8,1,17,4,23.5,1.15,0.27,0.06,0.25,15.8,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
Amine Oudrhiri,ma MAR,MF,31-056,12.9,0,3,0,0.0,0.23,0.0,0.0,,28.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Josué Sá,pt POR,DF,31-196,11.7,0,4,0,0.0,0.34,0.0,0.0,,15.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Gonçalo Rodrigues,pt POR,MF,26-165,10.8,0,11,3,27.3,1.02,0.28,0.0,0.0,21.6,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
Emmanuel Boateng,gh GHA,FW,27-221,9.6,3,37,12,32.4,3.85,1.25,0.08,0.25,15.2,0,0,0,5.1,5.1,0.14,-2.1,-2.1,Matches
Joca,pt POR,"FW,MF",27-334,6.9,1,10,7,70.0,1.44,1.01,0.1,0.14,21.6,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Jhonatan,br BRA,GK,32-236,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Nóbrega,pt POR,DF,23-257,7.9,1,6,1,16.7,0.76,0.13,0.17,1.0,18.3,0,0,0,0.8,0.8,0.13,0.2,0.2,Matches
Magrão,br BRA,GK,23-229,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Pereira,pt POR,FW,28-239,6.5,1,11,3,27.3,1.7,0.46,0.09,0.33,15.0,0,0,0,1.0,1.0,0.1,0.0,0.0,Matches
Renato Pantalon,hr CRO,DF,26-064,6.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonardo Ruíz,co COL,FW,27-256,6.4,2,14,4,28.6,2.18,0.62,0.07,0.25,15.3,1,1,1,3.9,3.1,0.22,-1.9,-2.1,Matches
Bruno Ventura,pt POR,"FW,MF",22-306,5.3,0,5,1,20.0,0.94,0.19,0.0,0.0,22.5,0,0,0,0.9,0.9,0.18,-0.9,-0.9,Matches
João Graça,pt POR,"MF,FW",28-195,5.2,0,6,0,0.0,1.15,0.0,0.0,,25.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Zé Manuel,pt POR,"MF,FW",33-068,4.5,1,8,4,50.0,1.78,0.89,0.13,0.25,14.5,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
Hernâni Fortes,pt POR,FW,32-132,3.8,0,11,1,9.1,2.92,0.27,0.0,0.0,19.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Savio,br BRA,"DF,MF",28-218,2.8,0,1,0,0.0,0.36,0.0,0.0,,27.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Patrick,br BRA,DF,26-210,1.6,0,2,0,0.0,1.27,0.0,0.0,,24.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Vítor Gomes,pt POR,MF,36-005,1.9,0,3,1,33.3,1.6,0.53,0.0,0.0,28.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ukra,pt POR,"MF,FW",35-289,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nuno Namora,pt POR,"DF,MF",25-321,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Julien Lomboto,cd COD,MF,21-231,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.1,15.0,14,173,49,28.3,11.53,3.27,0.06,0.22,17.9,2,3,3,19.8,17.7,0.11,-5.8,-6.7,
Opponent Total,,,26.9,15.0,23,173,61,35.3,11.53,4.07,0.12,0.34,17.9,6,2,2,18.7,17.1,0.1,4.3,3.9,
