Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Antonio Adán,es ESP,GK,36-231,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Ousmane Diomande,ci CIV,DF,20-026,13.4,21,14,10,9,2,9,11,81.8,2,6,2,4,6,27,29,1,Matches
Pedro Gonçalves,pt POR,"FW,MF",25-185,13.3,22,14,4,10,8,10,27,37.0,17,11,0,11,5,27,2,0,Matches
Viktor Gyökeres,se SWE,FW,25-209,12.9,8,5,2,4,2,2,3,66.7,1,9,0,9,1,9,10,0,Matches
Hidemasa Morita,jp JPN,MF,28-234,12.9,26,18,10,15,1,11,27,40.7,16,6,0,6,3,29,10,0,Matches
Gonçalo Inácio,pt POR,DF,22-127,12.4,14,11,3,10,1,10,16,62.5,6,14,8,6,13,27,29,0,Matches
Sebastián Coates,uy URU,DF,33-084,10.5,20,10,10,9,1,13,18,72.2,5,15,11,4,11,31,33,0,Matches
Morten Hjulmand,dk DEN,MF,24-188,10.5,28,17,11,15,2,13,24,54.2,11,16,4,12,10,38,14,0,Matches
Marcus Edwards,eng ENG,"FW,MF",25-027,9.8,7,5,1,5,1,1,8,12.5,7,5,0,5,5,12,2,0,Matches
Ricardo Esgaio,pt POR,"MF,DF",30-228,8.7,20,12,11,7,2,11,20,55.0,9,8,1,7,3,23,20,0,Matches
Nuno Santos,pt POR,"MF,DF",28-320,7.9,9,7,3,5,1,2,5,40.0,3,0,0,0,10,19,2,1,Matches
Matheus Reis,br BRA,"DF,MF",28-315,7.8,11,8,3,7,1,10,13,76.9,3,7,2,5,5,16,9,0,Matches
Geny Catamo,mz MOZ,"MF,DF",22-338,5.9,9,5,4,5,0,5,11,45.5,6,5,0,5,5,14,6,0,Matches
Paulinho,pt POR,FW,31-051,5.4,6,6,1,4,1,2,4,50.0,2,6,0,6,1,7,1,0,Matches
Daniel Bragança,pt POR,MF,24-217,2.3,6,3,1,3,2,1,5,20.0,4,3,1,2,5,11,2,0,Matches
Francisco Trincão,pt POR,"FW,MF",24-001,2.4,4,3,0,4,0,0,2,0.0,2,2,0,2,0,4,4,0,Matches
Eduardo Quaresma,pt POR,DF,21-303,1.3,7,3,6,1,0,3,6,50.0,3,1,1,0,1,8,5,0,Matches
Jerry St. Juste,nl NED,DF,27-072,1.2,4,2,4,0,0,2,4,50.0,2,1,0,1,0,4,5,0,Matches
Afonso Bastardo,pt POR,MF,18-286,0.3,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,Matches
Iván Fresneda,es ESP,MF,19-093,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Luís Neto,pt POR,DF,35-218,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
Mateus Fernandes,pt POR,FW,19-173,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,14.0,223,144,85,113,25,106,207,51.2,101,118,31,87,84,307,185,2,
Opponent Total,,,27.0,14.0,251,164,160,64,27,129,261,49.4,132,170,44,126,160,411,338,4,
