Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Antonio Adán,es ESP,GK,36-231,14.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ousmane Diomande,ci CIV,DF,20-026,13.4,21,1.56,19,1,0,1,0,0,2,0.15,2,0,0,0,0,0,Matches
Pedro Gonçalves,pt POR,"FW,MF",25-185,13.3,60,4.51,27,19,5,4,3,2,6,0.45,5,0,0,1,0,0,Matches
Viktor Gyökeres,se SWE,FW,25-209,12.9,50,3.86,35,0,7,5,2,1,8,0.62,6,0,2,0,0,0,Matches
Hidemasa Morita,jp JPN,MF,28-234,12.9,25,1.94,20,0,1,2,2,0,5,0.39,4,0,0,1,0,0,Matches
Gonçalo Inácio,pt POR,DF,22-127,12.4,16,1.29,14,0,1,0,0,1,4,0.32,4,0,0,0,0,0,Matches
Sebastián Coates,uy URU,DF,33-084,10.5,7,0.67,6,0,0,1,0,0,1,0.1,0,0,0,1,0,0,Matches
Morten Hjulmand,dk DEN,MF,24-188,10.5,27,2.58,24,0,0,1,1,1,1,0.1,1,0,0,0,0,0,Matches
Marcus Edwards,eng ENG,"FW,MF",25-027,9.8,60,6.12,43,6,8,1,2,0,10,1.02,6,0,3,0,1,0,Matches
Ricardo Esgaio,pt POR,"MF,DF",30-228,8.7,22,2.53,21,1,0,0,0,0,3,0.34,3,0,0,0,0,0,Matches
Nuno Santos,pt POR,"MF,DF",28-320,7.9,29,3.65,15,4,2,2,5,1,4,0.5,3,1,0,0,0,0,Matches
Matheus Reis,br BRA,"DF,MF",28-315,7.8,18,2.33,17,1,0,0,0,0,4,0.52,4,0,0,0,0,0,Matches
Geny Catamo,mz MOZ,"MF,DF",22-338,5.9,17,2.88,8,5,2,2,0,0,3,0.51,2,1,0,0,0,0,Matches
Paulinho,pt POR,FW,31-051,5.4,12,2.23,11,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Daniel Bragança,pt POR,MF,24-217,2.3,7,3.12,4,0,0,0,1,2,0,0.0,0,0,0,0,0,0,Matches
Francisco Trincão,pt POR,"FW,MF",24-001,2.4,12,5.0,10,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo Quaresma,pt POR,DF,21-303,1.3,1,0.78,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jerry St. Juste,nl NED,DF,27-072,1.2,1,0.83,1,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
Afonso Bastardo,pt POR,MF,18-286,0.3,1,3.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Iván Fresneda,es ESP,MF,19-093,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luís Neto,pt POR,DF,35-218,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Fernandes,pt POR,FW,19-173,0.0,1,30.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,14.0,387,27.64,277,40,27,19,16,8,52,3.71,41,2,5,3,1,0,
Opponent Total,,,27.0,14.0,205,14.64,154,13,10,11,13,4,28,2.0,16,4,1,1,6,0,
