Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Antonio Adán,es ESP,GK,36-231,14.0,412,313,99,31,0,1,1,0,0,0,0,0,327,0,0,Matches
Ousmane Diomande,ci CIV,DF,20-026,13.4,967,937,29,24,0,4,1,2,0,0,0,0,874,1,11,Matches
Pedro Gonçalves,pt POR,"FW,MF",25-185,13.3,551,463,82,27,4,10,82,11,44,23,15,0,395,6,17,Matches
Viktor Gyökeres,se SWE,FW,25-209,12.9,343,310,31,2,4,1,7,1,0,0,0,0,254,2,10,Matches
Hidemasa Morita,jp JPN,MF,28-234,12.9,660,649,9,9,2,2,7,0,0,0,0,0,568,2,9,Matches
Gonçalo Inácio,pt POR,DF,22-127,12.4,1119,1066,51,31,3,9,3,3,0,0,0,0,981,2,12,Matches
Sebastián Coates,uy URU,DF,33-084,10.5,720,706,12,12,0,2,0,0,0,0,0,0,641,2,3,Matches
Morten Hjulmand,dk DEN,MF,24-188,10.5,659,627,28,26,1,2,7,2,0,0,0,0,567,4,9,Matches
Marcus Edwards,eng ENG,"FW,MF",25-027,9.8,328,298,25,4,12,1,36,2,19,14,1,0,246,5,14,Matches
Ricardo Esgaio,pt POR,"MF,DF",30-228,8.7,537,435,100,6,0,0,33,94,0,0,0,0,408,2,15,Matches
Nuno Santos,pt POR,"MF,DF",28-320,7.9,505,379,124,5,3,2,49,106,13,1,10,0,383,2,18,Matches
Matheus Reis,br BRA,"DF,MF",28-315,7.8,510,461,48,3,0,1,26,45,0,0,0,0,427,1,6,Matches
Geny Catamo,mz MOZ,"MF,DF",22-338,5.9,276,197,78,5,2,1,12,68,5,3,1,0,218,1,12,Matches
Paulinho,pt POR,FW,31-051,5.4,144,140,3,0,2,1,2,2,0,0,0,0,102,1,4,Matches
Daniel Bragança,pt POR,MF,24-217,2.3,130,127,3,3,0,1,2,0,0,0,0,0,119,0,3,Matches
Francisco Trincão,pt POR,"FW,MF",24-001,2.4,104,97,7,1,0,0,6,5,1,0,1,0,95,0,0,Matches
Eduardo Quaresma,pt POR,DF,21-303,1.3,51,49,2,2,0,1,0,0,0,0,0,0,44,0,0,Matches
Jerry St. Juste,nl NED,DF,27-072,1.2,57,53,4,1,0,0,0,3,0,0,0,0,52,0,0,Matches
Afonso Bastardo,pt POR,MF,18-286,0.3,13,12,1,0,0,0,5,1,0,0,0,0,6,0,0,Matches
Iván Fresneda,es ESP,MF,19-093,0.1,8,6,2,0,0,0,3,2,0,0,0,0,5,0,1,Matches
Luís Neto,pt POR,DF,35-218,0.1,7,6,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
Mateus Fernandes,pt POR,FW,19-173,0.0,7,5,2,1,0,0,2,0,1,0,1,0,4,0,0,Matches
Squad Total,,,27.2,14.0,8108,7336,741,194,33,39,284,347,83,41,29,0,6723,31,144,
Opponent Total,,,27.0,14.0,5794,5120,652,196,26,48,186,231,34,27,4,0,4493,22,103,
