Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,26-272,15.0,25,19,14,11,0,19,36,52.8,17,23,8,15,10,35,64,0,Matches
Bruno Varela,cv CPV,GK,29-056,15.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
Jota Silva,pt POR,"FW,MF",24-151,14.1,20,10,9,8,3,8,27,29.6,19,14,1,13,11,31,10,0,Matches
André Silva,br BRA,FW,26-210,12.4,9,3,1,6,2,2,5,40.0,3,9,1,8,2,11,10,0,Matches
Tomás Händel,pt POR,MF,23-033,12.1,25,19,5,16,4,14,23,60.9,9,12,1,11,12,37,3,0,Matches
Tomás Ribeiro,pt POR,DF,24-244,10.4,16,7,6,9,1,11,17,64.7,6,13,7,6,7,23,42,0,Matches
Tiago Silva,pt POR,MF,30-211,9.5,17,12,4,8,5,9,21,42.9,12,6,0,6,10,27,4,0,Matches
João Mendes,pt POR,"MF,FW",29-070,8.8,11,6,2,4,5,7,17,41.2,10,9,1,8,6,17,5,1,Matches
Manuel Manu,pt POR,DF,22-201,10.0,22,15,17,4,1,15,24,62.5,9,12,8,4,12,34,28,0,Matches
Bruno Gaspar,ao ANG,"MF,DF",30-253,8.5,12,5,8,2,2,5,8,62.5,3,11,2,9,7,19,7,0,Matches
Daniel Bandeira,pt POR,MF,23-263,7.2,8,6,3,3,2,3,7,42.9,4,5,0,5,10,18,10,0,Matches
Afonso freitas,pt POR,"DF,MF",23-267,6.0,12,7,6,3,3,6,10,60.0,4,3,0,3,2,14,8,0,Matches
Ricardo Mangas,pt POR,"DF,MF",25-286,6.9,9,7,5,3,1,4,8,50.0,4,6,3,3,1,10,11,0,Matches
Miguel Magalhães,pt POR,"DF,MF",21-044,5.4,20,11,12,6,2,12,18,66.7,6,6,1,5,7,27,13,1,Matches
Toni Borevkovic,hr CRO,DF,26-195,5.0,7,4,6,1,0,7,7,100.0,0,8,3,5,12,19,21,0,Matches
Mikel Villanueva,ve VEN,DF,30-260,3.9,3,2,1,0,2,3,4,75.0,1,7,4,3,8,11,15,0,Matches
Nelson,ao ANG,"DF,FW",25-329,4.5,10,8,3,4,3,5,11,45.5,6,11,0,11,6,16,4,0,Matches
Adrián Butzke,es ESP,FW,24-275,1.8,3,3,0,3,0,1,1,100.0,0,2,0,2,0,3,1,0,Matches
Zé Carlos,pt POR,"MF,DF",22-061,3.1,7,4,4,3,0,3,12,25.0,9,4,1,3,3,10,6,0,Matches
Nuno Santos,pt POR,"FW,MF",24-303,2.0,0,0,0,0,0,0,5,0.0,5,3,0,3,0,0,1,0,Matches
Safira,br BRA,FW,28-288,1.6,4,2,2,2,0,1,1,100.0,0,2,0,2,0,4,3,0,Matches
André André,pt POR,MF,34-126,0.9,5,3,2,2,1,3,3,100.0,0,3,1,2,3,8,1,0,Matches
Squad Total,,,26.2,15.0,245,153,110,98,37,138,266,51.9,128,169,42,127,129,374,272,3,
Opponent Total,,,26.7,15.0,192,130,92,77,23,106,198,53.5,92,177,55,122,141,333,350,3,
