Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,26-272,15.0,559,710,78.7,11805,4636,173,207,83.6,271,320,84.7,107,156,68.6,1,0.6,0.3,0.4,7,61,6,4,66,Matches
Bruno Varela,cv CPV,GK,29-056,15.0,321,462,69.5,10822,8944,37,38,97.4,137,140,97.9,147,281,52.3,0,0.0,0.3,0.0,1,13,1,0,0,Matches
Jota Silva,pt POR,"FW,MF",24-151,14.1,216,361,59.8,3151,800,120,156,76.9,75,118,63.6,10,36,27.8,2,2.0,1.6,0.0,15,7,16,3,26,Matches
André Silva,br BRA,FW,26-210,12.4,223,320,69.7,2907,615,136,174,78.2,60,90,66.7,8,19,42.1,2,1.9,1.6,0.1,13,26,7,1,33,Matches
Tomás Händel,pt POR,MF,23-033,12.1,438,527,83.1,7347,2066,215,246,87.4,180,206,87.4,33,50,66.0,1,0.8,0.8,0.2,17,50,13,1,54,Matches
Tomás Ribeiro,pt POR,DF,24-244,10.4,366,492,74.4,7605,2724,102,121,84.3,209,247,84.6,53,110,48.2,0,0.2,0.1,-0.2,2,30,0,0,37,Matches
Tiago Silva,pt POR,MF,30-211,9.5,408,529,77.1,7737,2741,170,191,89.0,165,196,84.2,65,119,54.6,4,1.7,2.4,2.3,22,66,16,2,76,Matches
João Mendes,pt POR,"MF,FW",29-070,8.8,242,340,71.2,3814,1132,129,155,83.2,84,114,73.7,17,43,39.5,2,2.0,1.7,0.0,17,25,18,1,43,Matches
Manuel Manu,pt POR,DF,22-201,10.0,416,498,83.5,8732,4041,124,138,89.9,242,274,88.3,48,76,63.2,0,0.1,0.2,-0.1,2,32,1,0,27,Matches
Bruno Gaspar,ao ANG,"MF,DF",30-253,8.5,332,462,71.9,5767,2639,164,186,88.2,128,186,68.8,34,64,53.1,1,0.8,1.9,0.2,9,22,16,7,29,Matches
Daniel Bandeira,pt POR,MF,23-263,7.2,285,351,81.2,4870,1254,133,146,91.1,109,126,86.5,34,58,58.6,2,0.7,0.8,1.3,12,23,7,0,35,Matches
Afonso freitas,pt POR,"DF,MF",23-267,6.0,144,211,68.2,2576,1091,60,76,78.9,64,90,71.1,15,29,51.7,0,0.3,0.3,-0.3,8,10,6,4,14,Matches
Ricardo Mangas,pt POR,"DF,MF",25-286,6.9,137,209,65.6,2180,920,72,94,76.6,52,80,65.0,11,20,55.0,1,0.9,0.8,0.1,5,7,5,2,15,Matches
Miguel Magalhães,pt POR,"DF,MF",21-044,5.4,155,227,68.3,2626,1390,76,92,82.6,64,100,64.0,13,23,56.5,0,0.1,0.2,-0.1,4,10,5,2,24,Matches
Toni Borevkovic,hr CRO,DF,26-195,5.0,124,158,78.5,2386,867,43,50,86.0,68,76,89.5,13,27,48.1,0,0.0,0.0,0.0,0,1,0,0,6,Matches
Mikel Villanueva,ve VEN,DF,30-260,3.9,166,208,79.8,3211,1307,57,65,87.7,87,97,89.7,19,38,50.0,0,0.0,0.1,0.0,0,16,1,0,18,Matches
Nelson,ao ANG,"DF,FW",25-329,4.5,124,167,74.3,1856,651,67,77,87.0,50,70,71.4,1,7,14.3,0,0.1,0.2,-0.1,2,8,9,1,19,Matches
Adrián Butzke,es ESP,FW,24-275,1.8,20,41,48.8,225,32,12,18,66.7,5,14,35.7,1,1,100.0,0,0.0,0.0,0.0,2,1,0,0,0,Matches
Zé Carlos,pt POR,"MF,DF",22-061,3.1,134,172,77.9,2152,829,66,72,91.7,50,62,80.6,10,24,41.7,0,0.7,0.5,-0.7,7,19,6,3,22,Matches
Nuno Santos,pt POR,"FW,MF",24-303,2.0,66,96,68.8,1138,307,33,42,78.6,24,32,75.0,8,20,40.0,0,0.2,0.1,-0.2,2,7,1,0,8,Matches
Safira,br BRA,FW,28-288,1.6,31,48,64.6,425,83,20,28,71.4,6,12,50.0,2,3,66.7,0,0.7,0.7,-0.7,2,2,1,0,4,Matches
André André,pt POR,MF,34-126,0.9,43,60,71.7,626,108,26,33,78.8,11,14,78.6,3,6,50.0,0,0.0,0.0,0.0,0,4,1,0,4,Matches
Squad Total,,,26.2,15.0,4950,6649,74.4,93958,39177,2035,2405,84.6,2141,2664,80.4,652,1210,53.9,16,13.8,14.6,2.2,149,440,136,31,560,
Opponent Total,,,26.7,15.0,5364,7024,76.4,99396,37081,2235,2639,84.7,2389,2791,85.6,622,1234,50.4,10,11.9,11.8,-1.9,113,393,94,30,525,
