Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,26-272,15.0,868,82,384,432,61,20,868,1,1,100.0,0,0.0,391,2172,1238,16,13,0,11,2,482,4,Matches
Bruno Varela,cv CPV,GK,29-056,15.0,499,398,495,5,0,0,499,1,1,100.0,0,0.0,244,1454,857,0,0,0,0,0,170,0,Matches
Jota Silva,pt POR,"FW,MF",24-151,14.1,560,12,50,207,310,66,560,38,12,31.6,26,68.4,308,1979,851,36,21,15,44,12,392,117,Matches
André Silva,br BRA,FW,26-210,12.4,461,10,30,219,213,54,460,19,9,47.4,10,52.6,237,940,319,6,9,2,38,12,332,73,Matches
Tomás Händel,pt POR,MF,23-033,12.1,627,8,89,401,148,12,627,13,9,69.2,3,23.1,292,1657,884,20,12,1,8,11,381,20,Matches
Tomás Ribeiro,pt POR,DF,24-244,10.4,598,51,245,311,47,12,598,1,0,0.0,1,100.0,238,1153,594,7,3,0,6,0,325,6,Matches
Tiago Silva,pt POR,MF,30-211,9.5,610,4,63,368,189,11,607,13,8,61.5,4,30.8,311,1715,698,16,10,1,16,8,388,14,Matches
João Mendes,pt POR,"MF,FW",29-070,8.8,455,4,45,199,218,31,455,32,17,53.1,13,40.6,263,1600,703,20,18,5,28,9,333,64,Matches
Manuel Manu,pt POR,DF,22-201,10.0,601,52,295,293,19,8,601,5,3,60.0,1,20.0,322,1625,831,4,1,0,6,1,369,2,Matches
Bruno Gaspar,ao ANG,"MF,DF",30-253,8.5,545,11,106,252,189,14,545,10,2,20.0,6,60.0,225,1063,514,15,9,3,18,4,291,63,Matches
Daniel Bandeira,pt POR,MF,23-263,7.2,423,12,74,249,104,5,423,19,10,52.6,9,47.4,242,1092,414,9,11,2,11,6,262,5,Matches
Afonso freitas,pt POR,"DF,MF",23-267,6.0,267,10,56,114,97,10,267,7,1,14.3,4,57.1,116,582,295,8,3,1,11,3,142,34,Matches
Ricardo Mangas,pt POR,"DF,MF",25-286,6.9,275,15,63,111,104,19,275,9,3,33.3,4,44.4,129,678,351,9,4,0,10,2,160,46,Matches
Miguel Magalhães,pt POR,"DF,MF",21-044,5.4,288,12,85,125,80,4,288,5,3,60.0,2,40.0,105,463,257,6,5,0,7,0,115,20,Matches
Toni Borevkovic,hr CRO,DF,26-195,5.0,213,28,112,91,10,7,213,0,0,,0,,96,444,164,0,1,0,1,1,106,0,Matches
Mikel Villanueva,ve VEN,DF,30-260,3.9,250,24,109,132,10,1,250,2,2,100.0,0,0.0,116,625,382,4,0,0,2,0,140,0,Matches
Nelson,ao ANG,"DF,FW",25-329,4.5,236,6,43,97,100,7,236,14,2,14.3,11,78.6,122,824,440,9,5,1,9,3,137,38,Matches
Adrián Butzke,es ESP,FW,24-275,1.8,61,1,2,38,21,2,61,3,1,33.3,2,66.7,31,91,46,1,0,1,6,2,47,10,Matches
Zé Carlos,pt POR,"MF,DF",22-061,3.1,224,6,47,111,68,6,224,12,5,41.7,6,50.0,121,536,302,8,4,1,7,4,140,13,Matches
Nuno Santos,pt POR,"FW,MF",24-303,2.0,119,2,10,64,45,7,119,3,2,66.7,1,33.3,69,364,209,6,8,2,4,1,87,14,Matches
Safira,br BRA,FW,28-288,1.6,71,4,5,30,37,9,70,3,1,33.3,1,33.3,35,162,86,4,1,1,2,1,53,13,Matches
André André,pt POR,MF,34-126,0.9,80,2,18,42,22,0,80,3,0,0.0,2,66.7,40,253,51,1,2,0,2,4,55,2,Matches
Squad Total,,,26.2,15.0,8331,754,2426,3891,2092,305,8326,213,92,43.2,106,49.8,4053,21472,10486,205,140,36,247,86,4907,558,
Opponent Total,,,26.7,15.0,8710,1015,3048,3991,1764,252,8706,294,128,43.5,138,46.9,4302,23506,11947,209,151,44,247,107,5329,521,
