Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Fabijan Buntić,hr CRO,GK,26-309,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anderson Jesus,br BRA,DF,28-303,15,15,1340.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Samuel Essende,fr FRA,FW,25-341,15,15,1318.0,14.6,7.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,4.5,4.5,0.2,4.7,21.0,15.0,69.0,0.48,0.0,0.48,0.48,0.48,0.31,0.01,0.32,0.31,0.32,Matches
Samu,pt POR,"MF,FW",27-253,15,15,1312.0,14.6,2.0,1.0,3.0,0.0,2.0,3.0,3.0,0.0,4.1,1.7,2.4,4.1,8.0,114.0,56.0,0.14,0.07,0.21,0.0,0.07,0.28,0.16,0.44,0.12,0.28,Matches
Bruno Wilson,pt POR,DF,27-003,14,14,1259.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,1.2,0.0,1.3,4.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Tomás Costa Silva,pt POR,DF,24-076,14,14,1216.0,13.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,2.1,2.4,21.0,43.0,100.0,0.0,0.15,0.15,0.0,0.15,0.03,0.15,0.18,0.03,0.18,Matches
Nuno Gonçalo Moreira,pt POR,"FW,MF",24-197,13,13,894.0,9.9,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,2.4,4.0,16.0,51.0,65.0,0.1,0.2,0.3,0.1,0.3,0.16,0.24,0.4,0.16,0.4,Matches
Matías Lacava,ve VEN,"FW,MF",21-067,12,12,809.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.6,0.6,0.8,1.4,17.0,19.0,56.0,0.0,0.22,0.22,0.0,0.22,0.07,0.09,0.16,0.07,0.16,Matches
Matheus Pereira,br BRA,"DF,MF",23-009,13,11,955.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.3,0.3,0.2,0.5,24.0,39.0,47.0,0.09,0.0,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Matches
Diogo Nascimento,pt POR,MF,21-058,15,9,920.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,0.9,9.0,52.0,33.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches
João Escoval,pt POR,DF,26-236,9,7,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.3,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
