Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Ramón Ábila,ARG,FW,Colón,33,1989,17.5,12.2,18.2,66.8,185.6,32.3,6.46,8.91,72.4,4.57,5.77,79.2,0.69,1.09,63.2,0.17,0.14,0.10,0.03,1.03,0.57,0.63,0.00,1.49,https://fbref.com/en/players/db5ee72d/Ramon-Abila,db5ee72d,Argentina Liga Profesional
2,Gonzalo Abrego,ARG,MF,Godoy Cruz,23,2000,23.7,27.8,35.9,77.6,514.7,155.6,12.7,15.4,82.2,10.8,13.0,83.4,3.84,5.44,70.5,0.04,0.03,0.05,0.01,0.72,3.67,0.59,0.13,4.77,https://fbref.com/en/players/de8bad41/Gonzalo-Abrego,de8bad41,Argentina Liga Profesional
3,Jonás Acevedo,ARG,"MF,FW",CA Huracán,25,1997,9.4,33.7,47.7,70.8,539.6,179.7,18.8,21.3,88.5,10.5,14.6,72.3,3.19,8.09,39.5,0.11,0.14,0.16,-0.03,2.02,3.51,0.85,0.43,4.68,https://fbref.com/en/players/0b419c37/Jonas-Acevedo,0b419c37,Argentina Liga Profesional
4,Lucas Acevedo,ARG,DF,Colón,31,1991,2.1,27.1,33.3,81.4,511.4,246.2,11.9,13.8,86.2,12.9,14.3,90.0,2.38,4.76,50.0,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,1.43,https://fbref.com/en/players/6494b66c/Lucas-Acevedo,6494b66c,Argentina Liga Profesional
5,Guillermo Acosta,ARG,MF,Tucumán,34,1988,20.8,36.3,44.5,81.5,656.6,229.6,15.2,17.9,85.0,16.2,18.6,86.8,4.04,5.43,74.3,0.10,0.06,0.06,0.03,0.87,3.89,0.72,0.14,4.95,https://fbref.com/en/players/1bae6597/Guillermo-Acosta,1bae6597,Argentina Liga Profesional
6,Lautaro Acosta,ARG,MF,Lanús,34,1988,10.4,21.3,28.5,75.0,301.5,101.3,11.5,14.5,79.5,7.98,9.62,83.0,0.77,1.44,53.3,0.00,0.13,0.05,-0.13,1.15,2.02,0.29,0.10,3.17,https://fbref.com/en/players/2a3af4d5/Lautaro-Acosta,2a3af4d5,Argentina Liga Profesional
7,Lucas Acosta,ARG,GK,Lanús,27,1995,18.0,21.1,31.4,67.1,597.7,417.0,4.11,4.11,100.0,10.7,10.7,100.0,6.28,16.4,38.2,0.00,0.00,0.01,0.00,0.00,0.67,0.00,0.00,0.00,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
8,Tomás Adoryán,ARG,MF,Banfield,21,2001,0.4,40.0,50.0,80.0,680.0,225.0,27.5,30.0,91.7,7.50,10.0,75.0,5.00,7.50,66.7,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,2.50,https://fbref.com/en/players/59684e00/Tomas-Adoryan,59684e00,Argentina Liga Profesional
9,Luis Advíncula,PER,"DF,FW",Boca Juniors,32,1990,16.0,41.8,51.2,81.7,698.5,229.4,21.4,23.8,90.0,15.8,18.6,84.6,3.81,6.13,62.2,0.19,0.17,0.15,0.02,1.38,3.31,1.06,0.50,4.56,https://fbref.com/en/players/cacadf4f/Luis-Advincula,cacadf4f,Argentina Liga Profesional
10,Facundo Aguero,ARG,DF,Rosario Cent,28,1995,1.4,32.9,42.9,76.7,572.1,232.1,14.3,16.4,87.0,13.6,17.9,76.0,4.29,5.71,75.0,0.00,0.00,0.00,0.00,0.71,2.86,0.71,0.71,4.29,https://fbref.com/en/players/40c836e8/Facundo-Aguero,40c836e8,Argentina Liga Profesional
11,Brian Aguilar,ARG,DF,Lanús,19,2003,0.6,16.7,25.0,66.7,395.0,245.0,3.33,3.33,100.0,10.0,10.0,100.0,3.33,10.0,33.3,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.67,https://fbref.com/en/players/c263af80/Brian-Aguilar,c263af80,Argentina Liga Profesional
12,Felipe Aguilar,COL,DF,Lanús,30,1993,13.1,31.9,40.7,78.4,697.3,251.5,8.40,9.62,87.3,17.8,20.5,86.9,5.73,9.69,59.1,0.00,0.02,0.01,-0.02,0.23,1.60,0.00,0.00,2.60,https://fbref.com/en/players/c285529f/Felipe-Aguilar,c285529f,Argentina Liga Profesional
13,Emanuel Aguilera,ARG,DF,Tigre,33,1989,14.0,41.1,49.8,82.5,817.0,299.5,13.1,14.1,93.4,22.5,25.2,89.2,5.14,9.36,55.0,0.00,0.00,0.01,0.00,0.00,2.50,0.00,0.00,3.14,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Argentina Liga Profesional
14,Braian Aguirre,ARG,DF,Lanús,22,2000,14.2,31.1,43.6,71.4,598.8,261.1,12.0,14.4,83.8,14.5,19.2,75.5,3.87,7.25,53.4,0.07,0.11,0.05,-0.04,0.63,3.24,0.92,0.70,4.44,https://fbref.com/en/players/74b396d8/Braian-Aguirre,74b396d8,Argentina Liga Profesional
15,Brian Aguirre,ARG,FW,Newell's OB,19,2003,14.8,15.7,26.2,60.1,273.5,88.0,7.97,10.5,76.1,5.41,8.51,63.5,2.03,4.80,42.3,0.27,0.13,0.13,0.14,1.28,1.35,1.35,0.47,2.43,https://fbref.com/en/players/edfebd8d/Brian-Aguirre,edfebd8d,Argentina Liga Profesional
16,Jorge Agustín Rodríguez,ARG,"MF,DF",Estudiantes,27,1995,25.8,48.6,61.6,78.9,929.4,416.6,18.3,21.6,84.7,23.6,27.8,85.2,6.01,9.84,61.0,0.04,0.04,0.06,0.00,0.62,6.63,0.58,0.08,7.79,https://fbref.com/en/players/ac30468d/Jorge-Agustin-Rodriguez,ac30468d,Argentina Liga Profesional
17,Gabriel Alanís,ARG,"FW,MF",Defensa y Just,28,1994,13.1,12.7,18.7,68.2,204.7,63.1,7.25,8.85,81.9,3.51,5.42,64.8,1.53,2.37,64.5,0.00,0.09,0.09,-0.09,1.22,1.15,0.92,0.23,2.52,https://fbref.com/en/players/d9ebfcfa/Gabriel-Alanis,d9ebfcfa,Argentina Liga Profesional
18,Maximiliano Alanís,ARG,DF,Tucumán,19,2003,0.0,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/8dde0ea0/Maximiliano-Alanis,8dde0ea0,Argentina Liga Profesional
19,Fernando Alarcón,ARG,DF,Instituto Atlético Central Córdoba,28,1994,26.0,26.2,37.5,69.9,569.6,284.8,8.00,10.8,74.0,13.2,15.9,83.1,4.69,9.35,50.2,0.04,0.02,0.02,0.02,0.27,2.77,0.15,0.04,2.96,https://fbref.com/en/players/b4c8e4c5/Fernando-Alarcon,b4c8e4c5,Argentina Liga Profesional
20,Lucas Albertengo,ARG,"FW,MF",Instituto Atlético Central Córdoba,32,1991,2.4,25.0,34.6,72.3,304.6,62.5,20.0,25.0,80.0,2.92,3.75,77.8,0.83,2.50,33.3,0.00,0.08,0.08,-0.08,0.42,1.25,0.42,0.00,2.50,https://fbref.com/en/players/383659ff/Lucas-Albertengo,383659ff,Argentina Liga Profesional
21,Brahian Alemán,URU,MF,Banfield,33,1989,20.7,25.3,44.1,57.3,498.5,210.0,11.0,13.7,79.9,8.50,13.7,62.2,4.88,13.7,35.7,0.14,0.24,0.22,-0.09,2.27,3.77,1.21,0.53,4.49,https://fbref.com/en/players/32a7d080/Brahian-Aleman,32a7d080,Argentina Liga Profesional
22,Brian Alexis Leizza,ARG,DF,Tigre,22,2000,8.8,37.3,46.8,79.6,731.2,264.4,12.7,15.5,82.4,20.9,23.3,89.8,3.18,6.82,46.7,0.00,0.00,0.01,0.00,0.11,3.18,0.11,0.11,3.30,https://fbref.com/en/players/0b35bd75/Brian-Alexis-Leizza,0b35bd75,Argentina Liga Profesional
23,Franco Alfonso,ARG,"FW,MF",River Plate,20,2002,0.9,42.2,51.1,82.6,498.9,142.2,26.7,31.1,85.7,8.89,10.0,88.9,2.22,4.44,50.0,0.00,0.67,0.56,-0.67,3.33,1.11,0.00,0.00,3.33,https://fbref.com/en/players/4a0383c0/Franco-Alfonso,4a0383c0,Argentina Liga Profesional
24,Rodrigo Aliendro,ARG,MF,River Plate,31,1991,18.0,53.4,62.2,85.9,901.7,296.6,25.0,27.8,90.0,21.6,24.4,88.4,5.44,6.83,79.7,0.06,0.12,0.11,-0.06,1.17,6.61,1.11,0.00,6.83,https://fbref.com/en/players/8b259046/Rodrigo-Aliendro,8b259046,Argentina Liga Profesional
25,Tadeo Allende,ARG,"FW,MF",Godoy Cruz,23,1999,18.2,15.9,27.0,59.1,238.6,75.3,8.90,13.0,68.4,5.16,8.19,63.1,1.04,2.42,43.2,0.11,0.16,0.12,-0.05,1.15,1.54,0.49,0.33,2.25,https://fbref.com/en/players/75a66bed/Tadeo-Allende,75a66bed,Argentina Liga Profesional
26,Agustín Alonso,,MF,Platense,,,2.6,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/ead5824a/Agustin-Alonso,ead5824a,Argentina Liga Profesional
27,Facundo Altamira,,GK,Godoy Cruz,,,0.2,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/5bf873f8/Facundo-Altamira,5bf873f8,Argentina Liga Profesional
28,Facundo Altamirano,ARG,GK,San Lorenzo,26,1996,5.0,11.8,26.8,44.0,478.2,429.0,1.20,1.20,100.0,2.80,2.80,100.0,7.80,22.6,34.5,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,https://fbref.com/en/players/84d5fd29/Facundo-Altamirano,84d5fd29,Argentina Liga Profesional
29,Fabio Álvarez,ARG,"MF,FW",Talleres,30,1993,0.7,71.4,87.1,82.0,1225.7,424.3,25.7,31.4,81.8,38.6,44.3,87.1,4.29,5.71,75.0,0.00,0.00,0.14,0.00,1.43,17.1,1.43,0.00,20.0,https://fbref.com/en/players/2aae3ff2/Fabio-Alvarez,2aae3ff2,Argentina Liga Profesional
30,Francisco Álvarez,ARG,DF,Barracas Central,22,2000,25.0,29.5,38.5,76.5,567.2,211.0,9.52,11.6,82.4,17.0,19.1,89.1,2.60,6.72,38.7,0.00,0.02,0.02,-0.02,0.20,1.64,0.04,0.00,2.32,https://fbref.com/en/players/1990d38d/Francisco-Alvarez,1990d38d,Argentina Liga Profesional
31,Juan Álvarez,ARG,"MF,FW",Colón,26,1996,15.2,26.1,37.8,68.9,444.9,180.9,13.0,16.3,80.2,10.3,14.3,72.4,2.50,5.00,50.0,0.07,0.08,0.09,-0.01,0.53,2.63,0.99,0.53,3.75,https://fbref.com/en/players/4c50934e/Juan-Alvarez,4c50934e,Argentina Liga Profesional
32,Maximiliano Álvez,ARG,FW,Talleres,19,2003,2.0,25.0,37.0,67.6,367.5,137.0,12.0,13.5,88.9,11.5,15.5,74.2,0.50,4.00,12.5,0.00,0.05,0.05,-0.05,1.50,1.00,3.00,1.50,4.00,https://fbref.com/en/players/4d09da09/Maximiliano-Alvez,4d09da09,Argentina Liga Profesional
33,Juan Andrada,ARG,MF,Godoy Cruz,28,1995,6.8,27.5,36.8,74.8,589.7,174.3,6.76,9.26,73.0,14.4,17.2,83.8,5.29,8.53,62.1,0.00,0.03,0.04,-0.03,0.29,2.94,0.29,0.15,2.79,https://fbref.com/en/players/af9d0aea/Juan-Andrada,af9d0aea,Argentina Liga Profesional
34,Mariano Andújar,ARG,GK,Estudiantes,39,1983,25.0,19.4,27.4,70.7,569.7,462.0,2.56,2.60,98.5,10.7,10.9,97.8,6.08,13.8,44.1,0.00,0.00,0.00,0.00,0.00,0.32,0.04,0.00,0.04,https://fbref.com/en/players/609cd867/Mariano-Andujar,609cd867,Argentina Liga Profesional
35,Miguel Ángel Torrén,ARG,DF,Argentinos Jun,34,1988,13.8,58.4,70.3,83.1,1334.3,541.8,14.1,15.0,93.7,31.2,35.4,88.3,12.8,19.1,67.0,0.07,0.04,0.04,0.03,0.51,3.26,0.51,0.07,5.51,https://fbref.com/en/players/c6549bd1/Miguel-Angel-Torren,c6549bd1,Argentina Liga Profesional
36,Aaron Anselmino,ARG,DF,Boca Juniors,17,2005,0.5,78.0,80.0,97.5,1310.0,426.0,34.0,34.0,100.0,34.0,34.0,100.0,6.00,8.00,75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1d87670e/Aaron-Anselmino,1d87670e,Argentina Liga Profesional
37,Dylan Aquino,ARG,"FW,MF",Lanús,17,2005,0.1,50.0,80.0,62.5,790.0,360.0,30.0,30.0,100.0,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/dababecf/Dylan-Aquino,dababecf,Argentina Liga Profesional
38,Pablo Aranda,ARG,DF,Lanús,21,2001,1.0,33.0,46.0,71.7,604.0,276.0,16.0,19.0,84.2,14.0,19.0,73.7,3.00,6.00,50.0,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,https://fbref.com/en/players/eb6e8325/Pablo-Aranda,eb6e8325,Argentina Liga Profesional
39,Carlos Arce,ARG,MF,Barracas Central,32,1990,16.5,29.5,41.5,70.9,524.5,211.0,12.7,14.7,86.0,13.2,17.3,76.1,2.85,7.03,40.5,0.00,0.01,0.02,-0.01,0.42,4.42,0.30,0.00,4.18,https://fbref.com/en/players/4c49e1f1/Carlos-Arce,4c49e1f1,Argentina Liga Profesional
40,Ignacio Arce,ARG,GK,Platense,30,1992,5.0,,,,,,,,,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/707fcc63/Ignacio-Arce,707fcc63,Argentina Liga Profesional
41,Lucas Arce,ARG,DF,Godoy Cruz,25,1997,23.3,36.5,50.7,71.9,626.0,290.6,16.5,19.6,84.2,16.2,21.8,74.1,3.09,6.61,46.8,0.04,0.12,0.10,-0.08,1.12,2.96,1.12,0.56,4.85,https://fbref.com/en/players/00345a70/Lucas-Arce,00345a70,Argentina Liga Profesional
42,Gabriel Arias,CHI,GK,Racing Club,35,1987,23.7,23.9,31.1,76.7,650.6,481.7,5.53,5.53,100.0,11.8,11.9,99.3,6.54,13.7,47.7,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,https://fbref.com/en/players/9f9cbfca/Gabriel-Arias,9f9cbfca,Argentina Liga Profesional
43,Joaquín Ariel Novillo,ARG,DF,CA Huracán,24,1998,16.7,35.6,45.7,77.9,707.9,269.7,12.9,14.8,87.4,17.8,20.8,85.9,4.61,8.98,51.3,0.00,0.00,0.01,0.00,0.06,2.04,0.06,0.00,2.63,https://fbref.com/en/players/af36c6d0/Joaquin-Ariel-Novillo,af36c6d0,Argentina Liga Profesional
44,Franco Armani,ARG,GK,River Plate,36,1986,26.0,20.8,24.9,83.5,554.6,389.4,3.08,3.08,100.0,12.1,12.2,99.4,5.54,9.50,58.3,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,https://fbref.com/en/players/b3e42951/Franco-Armani,b3e42951,Argentina Liga Profesional
45,Blas Armoa,PAR,"FW,MF",Tigre,22,2000,15.9,14.0,21.9,63.8,196.4,46.4,8.49,11.6,73.4,4.09,6.23,65.7,0.88,1.70,51.9,0.00,0.09,0.08,-0.09,1.26,0.75,0.69,0.50,2.08,https://fbref.com/en/players/c0d97f5c/Blas-Armoa,c0d97f5c,Argentina Liga Profesional
46,Carlos Arrua,PAR,MF,Colón,25,1997,11.2,23.3,34.2,68.1,379.4,148.0,12.9,15.5,83.3,6.96,9.55,72.9,2.77,6.61,41.9,0.09,0.10,0.13,-0.01,1.70,3.93,1.07,0.45,4.29,https://fbref.com/en/players/1c86f480/Carlos-Arrua,1c86f480,Argentina Liga Profesional
47,Santiago Ascacíbar,ARG,MF,Estudiantes,25,1997,24.3,41.5,50.7,82.0,673.5,199.0,20.7,23.7,87.2,16.3,19.2,84.8,3.00,4.36,68.9,0.04,0.07,0.09,-0.03,0.58,6.09,0.53,0.04,5.93,https://fbref.com/en/players/e26fcca3/Santiago-Ascacibar,e26fcca3,Argentina Liga Profesional
48,Gonzalo Asis,ARG,DF,Platense,26,1996,4.8,24.2,41.3,58.6,440.4,215.4,9.58,12.7,75.4,12.3,20.4,60.2,2.08,6.88,30.3,0.00,0.08,0.08,-0.08,1.25,1.88,0.83,0.63,2.08,https://fbref.com/en/players/3ac051f5/Gonzalo-Asis,3ac051f5,Argentina Liga Profesional
49,Rodrigo Atencio,ARG,"MF,FW",Independiente,20,2002,1.0,41.0,56.0,73.2,824.0,185.0,15.0,19.0,78.9,16.0,18.0,88.9,8.00,15.0,53.3,0.00,0.10,0.20,-0.10,2.00,0.00,0.00,0.00,2.00,https://fbref.com/en/players/5540acb4/Rodrigo-Atencio,5540acb4,Argentina Liga Profesional
50,Axel Atum,ARG,"FW,MF",Estudiantes,17,2006,0.4,37.5,50.0,75.0,582.5,132.5,20.0,22.5,88.9,15.0,17.5,85.7,2.50,10.0,25.0,2.50,0.00,0.00,2.50,2.50,5.00,2.50,0.00,2.50,https://fbref.com/en/players/bfd8b7c6/Axel-Atum,bfd8b7c6,Argentina Liga Profesional
51,Julián Aude,ARG,DF,Lanús,19,2003,1.6,25.0,31.3,80.0,410.6,193.8,11.3,13.1,85.7,10.6,13.1,81.0,1.88,3.13,60.0,0.00,0.06,0.06,-0.06,0.63,0.63,1.25,1.25,2.50,https://fbref.com/en/players/4223d7bb/Julian-Aude,4223d7bb,Argentina Liga Profesional
52,Luciano Aued,ARG,MF,CA Unión,35,1987,11.3,31.9,43.1,74.1,576.8,196.0,13.4,15.9,83.9,15.0,18.6,80.5,2.83,6.46,43.8,0.09,0.04,0.03,0.04,0.35,3.63,0.62,0.18,5.22,https://fbref.com/en/players/c877f303/Luciano-Aued,c877f303,Argentina Liga Profesional
53,Gabriel Ávalos,PAR,FW,Argentinos Jun,32,1990,19.7,15.4,24.9,61.8,207.4,47.4,8.78,12.9,68.1,5.03,7.31,68.8,0.56,1.17,47.8,0.10,0.16,0.11,-0.06,1.68,1.32,0.61,0.00,2.18,https://fbref.com/en/players/b6781b67/Gabriel-Avalos,b6781b67,Argentina Liga Profesional
54,Tomás Avilés,ARG,"DF,MF",Racing Club,18,2004,7.6,61.2,81.4,75.1,1164.3,465.8,23.6,27.1,86.9,30.8,36.4,84.5,5.92,13.7,43.3,0.13,0.12,0.11,0.01,0.66,4.08,0.39,0.00,4.87,https://fbref.com/en/players/f51b9ae1/Tomas-Aviles,f51b9ae1,Argentina Liga Profesional
55,Tomás Badaloni,ARG,FW,Tigre,22,2000,7.5,11.9,18.4,64.5,139.5,15.5,8.27,11.6,71.3,2.67,4.40,60.6,0.13,0.13,100.0,0.13,0.07,0.05,0.07,1.07,0.53,0.27,0.00,0.93,https://fbref.com/en/players/d3a444aa/Tomas-Badaloni,d3a444aa,Argentina Liga Profesional
56,Cristian Báez,PAR,DF,Independiente,32,1990,22.5,27.4,40.7,67.4,650.0,325.4,7.20,9.11,79.0,13.5,16.7,80.6,6.53,13.7,47.7,0.00,0.00,0.01,0.00,0.04,2.53,0.18,0.09,2.93,https://fbref.com/en/players/56d59ae0/Cristian-Baez,56d59ae0,Argentina Liga Profesional
57,Franco Baldassarra,ARG,"MF,FW",Platense,24,1998,11.5,15.7,25.0,62.8,270.6,83.2,7.22,9.57,75.5,6.70,10.0,67.0,1.39,3.48,40.0,0.09,0.05,0.03,0.03,0.96,1.65,0.26,0.09,2.78,https://fbref.com/en/players/f559d2d7/Franco-Baldassarra,f559d2d7,Argentina Liga Profesional
58,Guillermo Balzi,ARG,"MF,FW",Newell's OB,21,2001,2.1,21.9,31.4,69.7,366.2,79.0,10.5,12.9,81.5,9.52,11.9,80.0,1.43,4.29,33.3,0.00,0.10,0.05,-0.10,0.95,3.33,0.00,0.00,5.24,https://fbref.com/en/players/60194b77/Guillermo-Balzi,60194b77,Argentina Liga Profesional
59,Tiago Banega,ARG,MF,Arsenal,23,1999,10.9,33.7,45.6,73.8,607.2,197.0,14.4,17.9,80.5,13.9,17.0,82.2,4.13,7.25,57.0,0.18,0.11,0.10,0.07,1.28,5.87,0.83,0.09,6.33,https://fbref.com/en/players/b8131112/Tiago-Banega,b8131112,Argentina Liga Profesional
60,David Barbona,ARG,"MF,FW",Defensa y Just,27,1995,16.9,29.9,39.5,75.7,523.0,173.6,14.7,17.5,84.1,11.0,13.3,82.7,3.49,6.39,54.6,0.30,0.22,0.15,0.08,2.19,3.79,1.89,0.53,7.10,https://fbref.com/en/players/62eef061/David-Barbona,62eef061,Argentina Liga Profesional
61,Mateo Barcia,URU,"DF,MF",Independiente,21,2001,18.0,17.2,27.8,61.7,281.4,118.8,9.50,12.4,76.7,5.61,8.83,63.5,1.67,4.33,38.5,0.11,0.13,0.15,-0.02,0.56,1.56,0.67,0.39,2.06,https://fbref.com/en/players/a35ee3a5/Mateo-Barcia,a35ee3a5,Argentina Liga Profesional
62,Ezequiel Barco,ARG,"FW,MF",River Plate,23,1999,16.7,53.4,62.7,85.1,766.1,168.0,32.0,35.3,90.7,15.3,17.6,86.7,3.05,5.15,59.3,0.18,0.21,0.21,-0.03,1.92,4.43,1.98,0.12,6.53,https://fbref.com/en/players/7fa737c4/Ezequiel-Barco,7fa737c4,Argentina Liga Profesional
63,Valentín Barco,ARG,"DF,FW",Boca Juniors,18,2004,9.2,37.8,50.3,75.2,566.4,188.9,23.5,27.1,86.7,10.7,15.0,71.0,2.61,5.22,50.0,0.11,0.10,0.08,0.01,0.65,4.02,1.20,0.22,5.33,https://fbref.com/en/players/b9f282ec/Valentin-Barco,b9f282ec,Argentina Liga Profesional
64,Adam Bareiro,PAR,FW,San Lorenzo,26,1996,19.5,15.5,23.1,67.0,209.7,29.5,9.69,13.6,71.3,4.67,6.21,75.2,0.51,0.77,66.7,0.05,0.05,0.04,0.01,0.67,1.18,0.51,0.05,1.03,https://fbref.com/en/players/afb7f0ea/Adam-Bareiro,afb7f0ea,Argentina Liga Profesional
65,Juan Barinaga,ARG,DF,Club Atlético Belgrano,22,2000,13.7,29.6,43.7,67.6,585.0,287.4,11.7,14.0,83.3,12.7,18.7,68.0,4.74,8.83,53.7,0.00,0.09,0.07,-0.09,0.95,3.07,1.02,0.80,3.14,https://fbref.com/en/players/6bdb7078/Juan-Barinaga,6bdb7078,Argentina Liga Profesional
66,Daniel Barrea,ARG,FW,Club Atlético Belgrano,21,2001,2.1,15.2,25.2,60.4,224.8,14.8,9.52,12.9,74.1,3.33,6.19,53.8,1.43,2.38,60.0,0.00,0.10,0.05,-0.10,1.43,0.48,0.00,0.00,0.48,https://fbref.com/en/players/5bf6b9f3/Daniel-Barrea,5bf6b9f3,Argentina Liga Profesional
