Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Ramón Ábila,ARG,FW,Colón,33,1989,17.5,26.2,0.69,0.91,10.7,14.9,4.80,26.2,1.89,0.69,36.4,0.91,48.5,16.5,61.5,25.1,1.09,0.74,0.63,2.23,1.03,20.2,6.11,https://fbref.com/en/players/db5ee72d/Ramon-Abila,db5ee72d,Argentina Liga Profesional
2,Gonzalo Abrego,ARG,MF,Godoy Cruz,23,2000,23.7,48.4,1.18,7.89,29.2,12.1,1.27,48.4,2.91,1.56,53.6,1.35,46.4,26.2,130.2,52.2,1.01,0.93,0.17,2.28,1.01,29.5,3.29,https://fbref.com/en/players/de8bad41/Gonzalo-Abrego,de8bad41,Argentina Liga Profesional
3,Jonás Acevedo,ARG,"MF,FW",CA Huracán,25,1997,9.4,60.7,0.11,4.04,29.0,28.9,2.13,60.7,4.47,1.60,35.7,2.45,54.8,33.2,211.4,79.9,2.34,2.13,0.21,2.77,1.81,36.4,5.11,https://fbref.com/en/players/0b419c37/Jonas-Acevedo,0b419c37,Argentina Liga Profesional
4,Lucas Acevedo,ARG,DF,Colón,31,1991,2.1,49.5,13.8,34.3,13.8,2.86,1.43,49.5,0.00,0.00,,0.00,,17.1,71.4,24.3,0.00,0.00,0.00,0.48,0.00,18.6,0.48,https://fbref.com/en/players/6494b66c/Lucas-Acevedo,6494b66c,Argentina Liga Profesional
5,Guillermo Acosta,ARG,MF,Tucumán,34,1988,20.8,54.4,2.55,14.0,33.5,7.40,0.82,54.4,0.91,0.48,52.6,0.29,31.6,24.2,110.3,52.0,0.87,0.38,0.05,1.01,0.38,28.6,1.25,https://fbref.com/en/players/1bae6597/Guillermo-Acosta,1bae6597,Argentina Liga Profesional
6,Lautaro Acosta,ARG,MF,Lanús,34,1988,10.4,40.7,1.15,7.60,22.3,12.0,2.50,40.7,2.31,0.87,37.5,0.48,20.8,22.8,118.8,63.2,1.83,1.15,0.19,2.02,1.44,23.9,2.50,https://fbref.com/en/players/2a3af4d5/Lautaro-Acosta,2a3af4d5,Argentina Liga Profesional
7,Lucas Acosta,ARG,GK,Lanús,27,1995,18.0,32.8,24.9,32.7,0.11,0.00,0.00,32.8,0.00,0.00,,0.00,,18.2,119.3,85.9,0.00,0.00,0.00,0.00,0.00,12.8,0.00,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
8,Tomás Adoryán,ARG,MF,Banfield,21,2001,0.4,67.5,0.00,7.50,40.0,20.0,7.50,67.5,0.00,0.00,,0.00,,30.0,135.0,52.5,2.50,0.00,2.50,5.00,0.00,45.0,5.00,https://fbref.com/en/players/59684e00/Tomas-Adoryan,59684e00,Argentina Liga Profesional
9,Luis Advíncula,PER,"DF,FW",Boca Juniors,32,1990,16.0,61.3,2.00,14.1,31.8,15.9,1.31,61.3,2.13,0.94,44.1,0.94,44.1,34.9,180.3,90.6,2.06,1.50,0.25,1.50,1.06,39.5,5.06,https://fbref.com/en/players/cacadf4f/Luis-Advincula,cacadf4f,Argentina Liga Profesional
10,Facundo Aguero,ARG,DF,Rosario Cent,28,1995,1.4,60.0,6.43,25.0,32.1,2.86,1.43,60.0,0.00,0.00,,0.00,,25.7,146.4,67.1,0.71,0.00,0.00,2.14,0.71,30.7,0.00,https://fbref.com/en/players/40c836e8/Facundo-Aguero,40c836e8,Argentina Liga Profesional
11,Brian Aguilar,ARG,DF,Lanús,19,2003,0.6,36.7,8.33,25.0,6.67,5.00,1.67,36.7,0.00,0.00,,0.00,,11.7,51.7,28.3,0.00,0.00,0.00,0.00,0.00,13.3,0.00,https://fbref.com/en/players/c263af80/Brian-Aguilar,c263af80,Argentina Liga Profesional
12,Felipe Aguilar,COL,DF,Lanús,30,1993,13.1,50.8,8.63,29.2,20.3,1.37,0.99,50.8,0.15,0.15,100.0,0.00,0.0,25.8,128.6,76.3,0.61,0.31,0.08,0.38,0.08,30.0,0.08,https://fbref.com/en/players/c285529f/Felipe-Aguilar,c285529f,Argentina Liga Profesional
13,Emanuel Aguilera,ARG,DF,Tigre,33,1989,14.0,59.9,6.93,30.3,29.1,1.07,0.43,59.9,0.36,0.36,100.0,0.00,0.0,31.1,162.4,91.4,0.43,0.21,0.07,0.57,0.07,33.1,0.14,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Argentina Liga Profesional
14,Braian Aguirre,ARG,DF,Lanús,22,2000,14.2,56.8,2.96,18.5,26.1,13.2,0.92,56.8,3.31,1.97,59.6,1.06,31.9,23.7,154.2,82.3,2.46,1.48,0.21,1.48,0.63,24.4,3.52,https://fbref.com/en/players/74b396d8/Braian-Aguirre,74b396d8,Argentina Liga Profesional
15,Brian Aguirre,ARG,FW,Newell's OB,19,2003,14.8,41.0,0.14,3.85,15.4,23.1,2.43,41.0,8.51,4.19,49.2,3.78,44.4,28.3,274.7,135.1,4.73,3.11,1.28,3.51,1.15,30.7,10.1,https://fbref.com/en/players/edfebd8d/Brian-Aguirre,edfebd8d,Argentina Liga Profesional
16,Jorge Agustín Rodríguez,ARG,"MF,DF",Estudiantes,27,1995,25.8,72.0,3.76,20.2,46.0,6.43,0.54,72.0,0.93,0.74,79.2,0.16,16.7,36.7,154.1,84.7,0.97,0.81,0.04,1.05,0.70,42.3,0.93,https://fbref.com/en/players/ac30468d/Jorge-Agustin-Rodriguez,ac30468d,Argentina Liga Profesional
17,Gabriel Alanís,ARG,"FW,MF",Defensa y Just,28,1994,13.1,34.4,1.83,6.79,11.1,17.3,4.50,34.4,5.11,2.29,44.8,2.37,46.3,21.5,179.8,101.8,3.51,2.06,1.76,2.90,1.37,21.8,7.40,https://fbref.com/en/players/d9ebfcfa/Gabriel-Alanis,d9ebfcfa,Argentina Liga Profesional
18,Maximiliano Alanís,ARG,DF,Tucumán,19,2003,0.0,2,0,0,0,2,0,2,0,0,,0,,1,0,0,0,0,0,1,0,2,0,https://fbref.com/en/players/8dde0ea0/Maximiliano-Alanis,8dde0ea0,Argentina Liga Profesional
19,Fernando Alarcón,ARG,DF,Instituto Atlético Central Córdoba,28,1994,26.0,49.7,6.38,26.4,21.0,2.81,1.31,49.7,0.23,0.19,83.3,0.04,16.7,20.1,99.9,61.3,0.62,0.27,0.00,0.46,0.04,21.4,0.23,https://fbref.com/en/players/b4c8e4c5/Fernando-Alarcon,b4c8e4c5,Argentina Liga Profesional
20,Lucas Albertengo,ARG,"FW,MF",Instituto Atlético Central Córdoba,32,1991,2.4,52.1,1.67,4.17,28.8,20.0,5.83,52.1,3.33,1.67,50.0,1.67,50.0,26.3,109.6,40.4,1.67,1.67,0.00,5.00,0.83,38.8,7.50,https://fbref.com/en/players/383659ff/Lucas-Albertengo,383659ff,Argentina Liga Profesional
21,Brahian Alemán,URU,MF,Banfield,33,1989,20.7,56.6,1.64,8.45,28.3,20.4,1.01,56.6,2.13,1.16,54.5,0.72,34.1,27.8,120.7,47.9,0.72,1.16,0.05,2.66,2.61,32.1,3.72,https://fbref.com/en/players/32a7d080/Brahian-Aleman,32a7d080,Argentina Liga Profesional
22,Brian Alexis Leizza,ARG,DF,Tigre,22,2000,8.8,57.3,7.05,28.9,26.9,1.82,0.91,57.3,0.80,0.45,57.1,0.34,42.9,28.2,142.7,94.5,0.45,0.34,0.00,0.34,0.23,31.8,0.00,https://fbref.com/en/players/0b35bd75/Brian-Alexis-Leizza,0b35bd75,Argentina Liga Profesional
23,Franco Alfonso,ARG,"FW,MF",River Plate,20,2002,0.9,72.2,0.00,6.67,23.3,44.4,6.67,72.2,5.56,1.11,20.0,4.44,80.0,51.1,262.2,80.0,3.33,5.56,1.11,4.44,8.89,53.3,17.8,https://fbref.com/en/players/4a0383c0/Franco-Alfonso,4a0383c0,Argentina Liga Profesional
24,Rodrigo Aliendro,ARG,MF,River Plate,31,1991,18.0,76.7,1.39,12.4,50.1,14.8,1.72,76.7,3.39,1.78,52.5,1.22,36.1,46.0,179.9,78.8,1.22,1.28,0.17,2.39,1.83,53.6,2.83,https://fbref.com/en/players/8b259046/Rodrigo-Aliendro,8b259046,Argentina Liga Profesional
25,Tadeo Allende,ARG,"FW,MF",Godoy Cruz,23,1999,18.2,40.9,0.60,3.85,17.8,19.8,3.41,40.9,3.52,1.81,51.6,1.54,43.8,24.0,139.1,59.3,2.36,1.76,0.77,3.19,1.76,28.6,7.69,https://fbref.com/en/players/75a66bed/Tadeo-Allende,75a66bed,Argentina Liga Profesional
26,Agustín Alonso,,MF,Platense,,,2.6,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/ead5824a/Agustin-Alonso,ead5824a,Argentina Liga Profesional
27,Facundo Altamira,,GK,Godoy Cruz,,,0.2,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/5bf873f8/Facundo-Altamira,5bf873f8,Argentina Liga Profesional
28,Facundo Altamirano,ARG,GK,San Lorenzo,26,1996,5.0,28.6,25.8,28.4,0.20,0.00,0.00,28.6,0.00,0.00,,0.00,,15.8,113.6,73.0,0.00,0.00,0.00,0.00,0.00,5.80,0.00,https://fbref.com/en/players/84d5fd29/Facundo-Altamirano,84d5fd29,Argentina Liga Profesional
29,Fabio Álvarez,ARG,"MF,FW",Talleres,30,1993,0.7,100.0,0.00,7.14,72.9,20.0,2.86,100.0,1.43,1.43,100.0,0.00,0.0,70.0,298.6,200.0,2.86,2.86,0.00,2.86,2.86,80.0,5.71,https://fbref.com/en/players/2aae3ff2/Fabio-Alvarez,2aae3ff2,Argentina Liga Profesional
30,Francisco Álvarez,ARG,DF,Barracas Central,22,2000,25.0,51.3,6.52,29.2,20.4,2.20,1.20,51.3,0.52,0.24,46.2,0.12,23.1,23.4,142.3,89.9,0.72,0.48,0.08,0.60,0.16,21.7,0.12,https://fbref.com/en/players/1990d38d/Francisco-Alvarez,1990d38d,Argentina Liga Profesional
31,Juan Álvarez,ARG,"MF,FW",Colón,26,1996,15.2,50.2,1.38,8.82,24.5,17.8,1.91,50.2,4.08,2.04,50.0,1.78,43.5,29.0,198.3,83.0,2.70,1.84,0.53,1.58,2.04,28.2,5.99,https://fbref.com/en/players/4c50934e/Juan-Alvarez,4c50934e,Argentina Liga Profesional
32,Maximiliano Álvez,ARG,FW,Talleres,19,2003,2.0,48.0,0.00,8.00,15.5,24.5,1.00,48.0,2.00,0.00,0.0,2.00,100.0,32.0,151.0,68.0,2.50,0.50,0.00,3.00,0.50,35.0,11.5,https://fbref.com/en/players/4d09da09/Maximiliano-Alvez,4d09da09,Argentina Liga Profesional
33,Juan Andrada,ARG,MF,Godoy Cruz,28,1995,6.8,49.0,2.21,13.1,32.9,3.97,0.44,49.0,2.06,1.32,64.3,0.74,35.7,20.1,131.5,49.3,0.59,0.88,0.00,1.18,0.88,23.7,0.00,https://fbref.com/en/players/af9d0aea/Juan-Andrada,af9d0aea,Argentina Liga Profesional
34,Mariano Andújar,ARG,GK,Estudiantes,39,1983,25.0,28.6,24.4,28.6,0.04,0.00,0.00,28.6,0.00,0.00,,0.00,,13.0,74.3,47.8,0.00,0.00,0.00,0.00,0.00,8.40,0.00,https://fbref.com/en/players/609cd867/Mariano-Andujar,609cd867,Argentina Liga Profesional
35,Miguel Ángel Torrén,ARG,DF,Argentinos Jun,34,1988,13.8,78.1,7.97,38.2,39.1,1.81,0.07,78.1,0.36,0.22,60.0,0.14,40.0,42.8,258.2,174.6,0.29,0.07,0.00,0.14,0.14,46.7,0.00,https://fbref.com/en/players/c6549bd1/Miguel-Angel-Torren,c6549bd1,Argentina Liga Profesional
36,Aaron Anselmino,ARG,DF,Boca Juniors,17,2005,0.5,92.0,12.0,52.0,38.0,2.00,0.00,92.0,4.00,4.00,100.0,0.00,0.0,66.0,204.0,100.0,0.00,0.00,0.00,0.00,0.00,62.0,0.00,https://fbref.com/en/players/1d87670e/Aaron-Anselmino,1d87670e,Argentina Liga Profesional
37,Dylan Aquino,ARG,"FW,MF",Lanús,17,2005,0.1,150.0,0.00,10.0,100.0,50.0,0.00,150.0,10.0,0.00,0.0,10.0,100.0,70.0,600.0,50.0,0.00,0.00,0.00,10.0,0.00,60.0,10.0,https://fbref.com/en/players/dababecf/Dylan-Aquino,dababecf,Argentina Liga Profesional
38,Pablo Aranda,ARG,DF,Lanús,21,2001,1.0,52.0,0.00,13.0,24.0,15.0,0.00,52.0,2.00,0.00,0.0,1.00,50.0,20.0,88.0,53.0,1.00,0.00,0.00,0.00,2.00,33.0,3.00,https://fbref.com/en/players/eb6e8325/Pablo-Aranda,eb6e8325,Argentina Liga Profesional
39,Carlos Arce,ARG,MF,Barracas Central,32,1990,16.5,53.4,3.82,14.1,34.5,5.33,0.73,53.4,0.55,0.18,33.3,0.36,66.7,21.0,69.4,34.1,0.12,0.30,0.00,0.61,0.61,24.0,0.48,https://fbref.com/en/players/4c49e1f1/Carlos-Arce,4c49e1f1,Argentina Liga Profesional
40,Ignacio Arce,ARG,GK,Platense,30,1992,5.0,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/707fcc63/Ignacio-Arce,707fcc63,Argentina Liga Profesional
41,Lucas Arce,ARG,DF,Godoy Cruz,25,1997,23.3,61.9,2.75,17.0,28.3,17.2,0.77,61.9,1.29,0.69,53.3,0.43,33.3,24.6,126.4,77.6,1.85,1.50,0.17,0.94,0.60,27.9,4.51,https://fbref.com/en/players/00345a70/Lucas-Arce,00345a70,Argentina Liga Profesional
42,Gabriel Arias,CHI,GK,Racing Club,35,1987,23.7,32.9,26.8,32.7,0.17,0.00,0.00,32.9,0.00,0.00,,0.00,,15.7,83.6,60.7,0.00,0.00,0.00,0.00,0.00,11.5,0.00,https://fbref.com/en/players/9f9cbfca/Gabriel-Arias,9f9cbfca,Argentina Liga Profesional
43,Joaquín Ariel Novillo,ARG,DF,CA Huracán,24,1998,16.7,53.7,6.11,27.9,24.7,1.38,0.66,53.7,0.48,0.30,62.5,0.18,37.5,27.8,140.7,85.9,0.36,0.12,0.00,0.24,0.18,31.1,0.12,https://fbref.com/en/players/af36c6d0/Joaquin-Ariel-Novillo,af36c6d0,Argentina Liga Profesional
44,Franco Armani,ARG,GK,River Plate,36,1986,26.0,26.3,24.3,26.2,0.12,0.00,0.00,26.3,0.00,0.00,,0.00,,12.4,50.3,29.4,0.00,0.00,0.00,0.04,0.00,10.0,0.00,https://fbref.com/en/players/b3e42951/Franco-Armani,b3e42951,Argentina Liga Profesional
45,Blas Armoa,PAR,"FW,MF",Tigre,22,2000,15.9,33.1,0.38,2.08,10.9,20.6,4.21,33.1,3.52,1.13,32.1,2.20,62.5,21.9,123.8,52.9,1.82,1.19,0.63,2.45,1.07,24.9,9.81,https://fbref.com/en/players/c0d97f5c/Blas-Armoa,c0d97f5c,Argentina Liga Profesional
