Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
1,Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,1.96,1.96,1.51,0.05,0.09,0.18,0.09,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6140be7b/Nicolas-Acevedo,6140be7b,Brazilian Serie A
2,Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,1.55,1.56,1.15,0.00,0.00,0.27,0.14,0.00,0.14,0.14,0.07,0.00,0.00,0.07,0.00,0.00,https://fbref.com/en/players/2557c196/Luiz-Adriano,2557c196,Brazilian Serie A
3,Adriel,BRA,GK,Grêmio,22,2001,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/11ad100a/Adriel,11ad100a,Brazilian Serie A
4,Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,0.39,0.39,0.36,0.00,0.00,0.00,0.00,0.03,0.06,0.06,0.03,0.00,0.00,0.00,0.00,0.03,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Brazilian Serie A
5,Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,3.47,3.47,2.63,0.00,0.53,0.11,0.11,0.11,0.32,0.32,0.21,0.00,0.11,0.00,0.00,0.00,https://fbref.com/en/players/eda38706/Adson,eda38706,Brazilian Serie A
6,Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,5.93,5.88,5.19,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/77f8db7c/Adyson,77f8db7c,Brazilian Serie A
7,Washington Aguerre,URU,GK,América (MG),29,1993,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Brazilian Serie A
8,Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,2.73,2.73,1.82,0.00,0.30,0.00,0.61,0.00,0.91,0.91,0.30,0.00,0.30,0.00,0.30,0.00,https://fbref.com/en/players/08f48d96/Carlos-Alberto,08f48d96,Brazilian Serie A
9,Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,1.85,1.85,1.13,0.03,0.10,0.26,0.26,0.07,0.30,0.30,0.13,0.00,0.00,0.10,0.07,0.00,https://fbref.com/en/players/65159211/Yuri-Alberto,65159211,Brazilian Serie A
10,Ale,BRA,MF,América (MG),32,1990,15.8,2.22,2.21,2.15,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b7d9347d/Ale,b7d9347d,Brazilian Serie A
11,Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,3.68,3.70,2.63,0.00,0.00,0.00,1.05,0.00,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao,3ed2a79b,Brazilian Serie A
12,Alerrandro,BRA,"FW,MF",Bragantino,23,2000,4.5,1.56,1.56,1.33,0.00,0.22,0.00,0.00,0.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/3415a44d/Alerrandro,3415a44d,Brazilian Serie A
13,Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,2.47,2.47,1.78,0.00,0.41,0.14,0.14,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/611e984e/Alesson,611e984e,Brazilian Serie A
14,Alex,BRA,DF,Santos,23,1999,5.1,0.98,0.99,0.39,0.00,0.00,0.39,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.20,0.00,0.00,https://fbref.com/en/players/7367baf7/Alex,7367baf7,Brazilian Serie A
15,Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,2.95,2.95,2.60,0.07,0.03,0.03,0.14,0.07,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/08ac23b7/Caio-Alexandre,08ac23b7,Brazilian Serie A
16,Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,1.30,1.30,1.06,0.12,0.00,0.03,0.03,0.06,0.09,0.09,0.06,0.03,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0212e748/Matheus-Alexandre,0212e748,Brazilian Serie A
17,Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,2.56,2.57,2.33,0.00,0.08,0.08,0.08,0.00,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b13e7a78/Alexsander,b13e7a78,Brazilian Serie A
18,Alison,BRA,MF,Santos,29,1993,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d39b373b/Alison,d39b373b,Brazilian Serie A
19,Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,8.00,7.35,6.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/d26ee8de/Alisson,d26ee8de,Brazilian Serie A
20,Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,2.72,2.72,1.76,0.50,0.08,0.08,0.21,0.08,0.29,0.29,0.25,0.00,0.00,0.00,0.04,0.00,https://fbref.com/en/players/99139fa4/Alisson,99139fa4,Brazilian Serie A
21,Allan,BRA,MF,Flamengo,25,1997,5.4,2.41,2.42,2.22,0.00,0.00,0.00,0.19,0.00,0.37,0.37,0.19,0.00,0.00,0.00,0.19,0.00,https://fbref.com/en/players/b15e93aa/Allan,b15e93aa,Brazilian Serie A
22,Allano,BRA,FW,Goiás,27,1995,13.7,2.19,2.18,1.46,0.00,0.07,0.07,0.51,0.07,0.15,0.15,0.15,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9c1245f8/Allano,9c1245f8,Brazilian Serie A
23,Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,4.12,4.04,2.35,0.00,1.18,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8aa2f2e3/Henrique-Almeida,8aa2f2e3,Brazilian Serie A
24,Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/642defee/Rodrigo-Alves,642defee,Brazilian Serie A
