Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Carlos Acevedo,MEX,GK,Santos,26,1996,33.0,1.67,0.12,0.03,0.33,0.06,1.50,0.26,-0.10,-0.10,5.64,14.3,39.3,18.2,3.79,45.8,39.4,10.5,56.9,44.8,16.8,0.70,4.1,0.39,0.39,10.7,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
2,Washington Aguerre,URU,GK,Querétaro,29,1993,9.0,2.33,0.00,0.00,0.33,0.00,1.68,0.32,-0.66,-0.66,5.67,15.8,35.9,19.9,4.00,46.4,39.7,9.67,67.8,53.2,12.2,1.33,10.9,0.78,0.78,11.1,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
3,Gil Alcalá,MEX,GK,UNAM,30,1992,2.0,2.00,0.00,0.50,0.00,0.50,1.60,0.35,0.10,+0.09,7.00,15.5,45.2,14.5,5.00,37.9,33.9,10.5,95.2,65.6,16.5,1.00,6.1,1.50,1.50,11.0,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
4,Gil Alcalá,MEX,GK,Querétaro,30,1992,17.0,1.24,0.12,0.06,0.12,0.00,1.37,0.29,0.14,+0.14,7.29,16.7,43.7,20.9,3.65,42.7,38.2,10.4,75.0,56.4,16.6,0.65,3.9,0.24,0.24,7.8,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
5,Esteban Andrada,ARG,GK,Monterrey,31,1991,25.0,0.64,0.04,0.00,0.00,0.04,0.72,0.20,0.12,+0.13,6.52,15.8,41.4,31.6,4.88,38.0,34.9,6.04,62.3,49.8,15.1,1.36,9.0,0.80,0.80,12.6,https://fbref.com/en/players/775d365e/Esteban-Andrada,775d365e,Liga MX
6,Luis Ángel Malagón,MEX,GK,América,25,1997,7.0,1.00,0.00,0.00,0.14,0.29,1.16,0.32,0.44,+0.44,5.00,16.9,29.7,22.1,2.57,45.2,39.9,9.71,70.6,52.5,15.4,0.29,1.9,0.43,0.43,12.6,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
7,Luis Ángel Malagón,MEX,GK,Necaxa,25,1997,17.0,1.53,0.12,0.06,0.12,0.12,1.41,0.27,-0.01,-0.01,7.29,16.6,43.8,30.4,4.12,37.1,36.9,9.12,58.7,50.2,16.6,0.76,4.6,0.35,0.35,10.9,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
8,José Antonio Rodríguez,MEX,GK,Querétaro,30,1992,8.0,1.75,0.63,0.00,0.25,0.00,1.39,0.22,-0.36,-0.37,8.25,15.0,55.0,20.4,2.25,43.6,37.1,8.38,73.1,55.4,13.1,0.50,3.8,0.50,0.50,10.6,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
9,José Antonio Rodríguez,MEX,GK,Tijuana,30,1992,17.0,1.71,0.24,0.06,0.41,0.06,1.61,0.27,-0.04,-0.04,4.59,11.5,39.8,19.1,3.65,40.4,35.9,8.35,45.8,39.8,15.3,0.71,4.6,0.94,0.94,14.5,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
10,Marcelo Barovero,ARG,GK,Atlético,38,1984,32.6,1.26,0.18,0.03,0.06,0.03,1.40,0.23,0.17,+0.17,5.40,14.7,36.8,16.5,4.39,50.1,40.0,10.4,61.4,45.5,17.5,0.67,3.9,0.71,0.70,13.3,https://fbref.com/en/players/868c0f75/Marcelo-Barovero,868c0f75,Liga MX
