Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Antonio Adán,ESP,GK,Sporting CP,35,1987,31.0,0.94,0.13,0.00,0.03,0.03,0.99,0.29,0.08,+0.08,2.00,6.03,33.2,28.2,4.74,17.7,27.4,4.84,21.3,28.3,7.87,0.87,11.1,0.90,0.90,14.0,https://fbref.com/en/players/65d62814/Antonio-Adan,65d62814,Primeira Liga
2,Jordi Almeida,BRA,GK,Paços,28,1993,6.0,2.33,0.00,0.00,0.17,0.33,1.73,0.30,-0.27,-0.27,2.50,14.3,17.4,21.2,5.67,44.1,39.5,11.0,45.5,40.4,14.3,1.17,8.1,0.83,0.83,11.0,https://fbref.com/en/players/774af19d/Jordi-Almeida,774af19d,Primeira Liga
3,Andrew,BRA,GK,Gil Vicente FC,21,2001,23.7,1.10,0.08,0.00,0.08,0.00,1.36,0.26,0.26,+0.26,3.97,10.8,36.9,31.0,8.14,22.9,29.3,8.95,41.0,38.9,13.6,0.93,6.8,1.94,1.94,16.4,https://fbref.com/en/players/40406a00/Andrew,40406a00,Primeira Liga
4,Paulo Vítor Fagundes dos Anjos,BRA,GK,Chaves,33,1988,30.0,1.10,0.17,0.03,0.10,0.00,1.36,0.25,0.26,+0.26,4.97,13.0,38.1,24.2,6.10,33.7,35.0,9.90,49.2,42.9,20.3,1.93,9.5,1.57,1.57,13.2,https://fbref.com/en/players/077977c0/Paulo-Vitor-Fagundes-dos-Anjos,077977c0,Primeira Liga
5,Gabriel Batista,BRA,GK,Santa Clara,24,1998,26.0,1.88,0.23,0.04,0.23,0.12,1.72,0.31,-0.05,-0.05,8.42,20.5,41.0,25.7,3.69,52.9,41.3,8.54,81.1,56.1,15.3,0.65,4.3,1.08,1.08,14.8,https://fbref.com/en/players/20575487/Gabriel-Batista,20575487,Primeira Liga
6,Ricardo Batista,POR,GK,Casa Pia,35,1986,31.0,1.00,0.13,0.00,0.16,0.00,1.36,0.29,0.36,+0.37,5.10,15.7,32.4,23.1,3.39,39.2,35.3,9.19,72.6,51.8,14.4,1.00,7.0,0.84,0.84,12.0,https://fbref.com/en/players/abef8824/Ricardo-Batista,abef8824,Primeira Liga
7,Celton Biai,POR,GK,Vitória,21,2000,5.0,2.20,0.20,0.20,0.20,0.20,1.52,0.30,-0.48,-0.48,5.60,14.8,37.8,25.4,4.20,44.1,36.5,5.40,66.7,47.9,13.0,0.80,6.2,2.40,2.40,20.5,https://fbref.com/en/players/545599ea/Celton-Biai,545599ea,Primeira Liga
8,Rafael Bracalli,BRA,GK,Boavista,41,1981,28.0,1.57,0.14,0.00,0.11,0.07,1.62,0.34,0.12,+0.12,5.25,13.8,38.1,19.9,4.00,45.1,36.8,8.71,55.3,42.9,15.2,1.29,8.5,0.75,0.75,12.2,https://fbref.com/en/players/5f7d2dfe/Rafael-Bracalli,5f7d2dfe,Primeira Liga
9,Fabijan Buntić,CRO,GK,Vizela,25,1997,33.0,1.12,0.21,0.00,0.12,0.03,1.17,0.23,0.08,+0.08,4.09,11.0,37.2,16.8,5.48,34.4,33.4,10.0,52.3,41.3,19.2,0.61,3.1,1.09,1.09,15.1,https://fbref.com/en/players/f566b29e/Fabijan-Buntic,f566b29e,Primeira Liga
10,José Carlos Marafona,POR,GK,Paços,35,1987,15.8,1.39,0.00,0.06,0.13,0.13,1.44,0.31,0.18,+0.18,6.08,15.0,40.5,22.3,3.35,46.3,38.6,7.59,61.7,44.4,18.2,0.57,3.1,0.82,0.82,13.0,https://fbref.com/en/players/8ac7161e/Jose-Carlos-Marafona,8ac7161e,Primeira Liga
