Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Juninho,br BRA,MF,35.0,32.5,44,26,14,23,7,15,51,29.4,36,32,7,25,31,75,43,0,Matches
Leandro Emmanuel Martínez,ar ARG,MF,28.0,28.2,60,40,20,36,4,25,92,27.2,67,51,11,40,31,91,21,1,Matches
Felipe Azevedo,br BRA,"FW,MF",36.0,19.4,17,10,7,5,5,11,26,42.3,15,16,3,13,10,27,17,0,Matches
Iago Maidana,br BRA,DF,26.0,24.0,32,15,22,9,1,12,22,54.5,10,31,21,10,32,64,107,0,Matches
Danilo Avelar,br BRA,DF,33.0,22.0,35,22,15,18,2,17,31,54.8,14,20,10,10,35,70,72,0,Matches
Gonzalo Mastriani,uy URU,FW,29.0,19.9,11,7,0,6,5,6,20,30.0,14,11,3,8,1,12,11,0,Matches
Marlon,br BRA,DF,28.0,18.6,37,26,20,16,1,22,36,61.1,14,32,6,26,31,68,49,0,Matches
Ricardo Silva,br BRA,DF,30.0,17.9,25,17,19,6,0,18,28,64.3,10,28,17,11,28,53,91,1,Matches
Eder,br BRA,DF,27.0,17.4,23,14,14,7,2,15,21,71.4,6,34,21,13,19,42,99,1,Matches
Lucas Kal,br BRA,MF,26.0,13.7,17,7,13,3,1,10,31,32.3,21,13,5,8,15,32,24,0,Matches
Matheus Cavichioli,br BRA,GK,36.0,15.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,8,2,Matches
Rodriguinho,br BRA,"DF,MF",19.0,13.9,24,16,17,7,0,13,38,34.2,25,18,2,16,9,33,21,0,Matches
Everaldo,br BRA,"FW,MF",28.0,13.7,22,16,12,8,2,12,28,42.9,16,12,0,12,6,28,5,0,Matches
Ale,br BRA,MF,32.0,15.8,38,16,17,19,2,12,37,32.4,25,21,5,16,28,66,24,0,Matches
Martín Benítez,ar ARG,"MF,FW",28.0,12.4,11,7,5,3,3,4,14,28.6,10,7,0,7,6,17,3,0,Matches
Breno Cascardo,br BRA,MF,19.0,12.9,31,19,11,16,4,13,43,30.2,30,20,1,19,10,41,11,0,Matches
Jori,br BRA,GK,26.0,11.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,9,0,Matches
Mateus Pasinato,br BRA,GK,30.0,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,2,Matches
Marcinho,br BRA,DF,26.0,8.9,11,7,7,3,1,6,22,27.3,16,14,5,9,17,28,32,1,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",34.0,8.0,5,4,1,2,2,2,16,12.5,14,5,1,4,2,7,4,0,Matches
Daniel Borges,br BRA,DF,29.0,8.9,18,12,9,7,2,8,14,57.1,6,9,3,6,14,32,30,0,Matches
Nicolas,br BRA,DF,25.0,8.0,12,6,9,3,0,5,14,35.7,9,19,5,14,11,23,28,0,Matches
Mateus Henrique,br BRA,DF,20.0,6.0,12,8,9,3,0,6,15,40.0,9,14,5,9,5,17,22,0,Matches
Júlio César,br BRA,DF,19.0,6.6,9,7,6,3,0,7,9,77.8,2,15,10,5,4,13,41,0,Matches
Wanderson,br BRA,DF,31.0,5.6,5,4,4,0,1,1,7,14.3,6,6,4,2,4,9,28,0,Matches
Rodrigo Varanda,br BRA,"FW,MF",20.0,5.7,8,5,3,2,3,4,15,26.7,11,9,0,9,0,8,5,0,Matches
Renato Marques,br BRA,"FW,MF",19.0,5.7,4,2,3,1,0,2,5,40.0,3,1,0,1,2,6,5,0,Matches
Pedrinho,br BRA,"FW,MF",23.0,4.6,5,1,2,3,0,2,9,22.2,7,1,0,1,6,11,2,0,Matches
Esteban Burgos,ar ARG,DF,31.0,3.3,2,1,1,1,0,2,3,66.7,1,5,2,3,1,3,24,0,Matches
Óscar Méndez,uy URU,MF,28.0,2.9,8,6,0,8,0,4,10,40.0,6,3,1,2,4,12,11,0,Matches
Matheusinho,br BRA,"MF,FW",24.0,2.5,5,3,3,1,1,1,3,33.3,2,4,0,4,1,6,0,0,Matches
Nino Paraíba,br BRA,DF,37.0,2.2,2,2,0,2,0,0,2,0.0,2,2,0,2,4,6,2,0,Matches
Washington Aguerre,uy URU,GK,29.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Henrique Almeida,br BRA,FW,31.0,1.7,2,1,0,0,2,0,2,0.0,2,0,0,0,0,2,1,0,Matches
Paulinho,br BRA,FW,24.0,1.5,2,2,0,2,0,2,3,66.7,1,0,0,0,0,2,0,0,Matches
Juan Cazares,ec ECU,"MF,FW",30.0,3.1,4,2,2,2,0,1,5,20.0,4,3,0,3,0,4,0,0,Matches
Adyson,br BRA,"FW,MF",17.0,2.7,8,5,3,3,2,3,6,50.0,3,1,0,1,5,13,0,0,Matches
Mikael,br BRA,FW,23.0,1.7,2,1,0,2,0,1,5,20.0,4,0,0,0,0,2,0,0,Matches
Arthur,br BRA,DF,19.0,1.0,2,1,0,2,0,0,0,,0,0,0,0,1,3,1,0,Matches
Wellington Paulista,br BRA,FW,38.0,2.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",28.0,0.7,2,2,0,1,1,1,1,100.0,0,1,0,1,0,2,1,0,Matches
Renato Kayser,br BRA,"FW,MF",26.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ighor Gabryel,br BRA,FW,20.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Paulinho,br BRA,DF,18.0,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Jhow,br BRA,DF,19.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Yago Souza,br BRA,MF,16.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
