Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Juninho,br BRA,MF,35.0,32.5,97,2.99,78,1,5,8,3,2,9,0.28,8,0,0,0,1,0,Matches
Leandro Emmanuel Martínez,ar ARG,MF,28.0,28.2,120,4.25,83,22,3,3,5,4,9,0.32,6,2,0,0,1,0,Matches
Felipe Azevedo,br BRA,"FW,MF",36.0,19.4,57,2.9,41,3,2,5,4,2,4,0.2,2,0,1,0,0,1,Matches
Iago Maidana,br BRA,DF,26.0,24.0,10,0.42,8,0,0,1,0,1,1,0.04,1,0,0,0,0,0,Matches
Danilo Avelar,br BRA,DF,33.0,22.0,29,1.32,21,3,0,4,0,1,4,0.18,3,1,0,0,0,0,Matches
Gonzalo Mastriani,uy URU,FW,29.0,19.9,33,1.66,25,0,0,2,6,0,3,0.15,3,0,0,0,0,0,Matches
Marlon,br BRA,DF,28.0,18.6,41,2.21,29,8,1,0,2,1,2,0.11,1,1,0,0,0,0,Matches
Ricardo Silva,br BRA,DF,30.0,17.9,9,0.5,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eder,br BRA,DF,27.0,17.4,11,0.63,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Kal,br BRA,MF,26.0,13.7,29,2.11,29,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Matheus Cavichioli,br BRA,GK,36.0,15.0,4,0.27,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodriguinho,br BRA,"DF,MF",19.0,13.9,30,2.17,22,7,1,0,0,0,3,0.22,3,0,0,0,0,0,Matches
Everaldo,br BRA,"FW,MF",28.0,13.7,50,3.65,35,3,1,4,7,0,6,0.44,6,0,0,0,0,0,Matches
Ale,br BRA,MF,32.0,15.8,35,2.21,34,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Martín Benítez,ar ARG,"MF,FW",28.0,12.4,75,6.03,39,14,9,3,10,0,6,0.48,4,1,0,1,0,0,Matches
Breno Cascardo,br BRA,MF,19.0,12.9,27,2.09,21,0,2,3,0,1,2,0.16,1,0,0,1,0,0,Matches
Jori,br BRA,GK,26.0,11.0,2,0.18,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Pasinato,br BRA,GK,30.0,10.0,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcinho,br BRA,DF,26.0,8.9,18,2.03,14,2,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Aloísio dos Santos Gonçalves,cn CHN,"FW,MF",34.0,8.0,26,3.26,16,0,5,3,2,0,4,0.5,2,0,0,2,0,0,Matches
Daniel Borges,br BRA,DF,29.0,8.9,22,2.48,18,2,2,0,0,0,2,0.23,2,0,0,0,0,0,Matches
Nicolas,br BRA,DF,25.0,8.0,15,1.87,9,5,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches
Mateus Henrique,br BRA,DF,20.0,6.0,12,2.01,11,0,1,0,0,0,3,0.5,2,0,1,0,0,0,Matches
Júlio César,br BRA,DF,19.0,6.6,4,0.61,3,0,1,0,0,0,2,0.3,1,0,1,0,0,0,Matches
Wanderson,br BRA,DF,31.0,5.6,1,0.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Varanda,br BRA,"FW,MF",20.0,5.7,25,4.35,19,0,2,3,0,1,5,0.87,5,0,0,0,0,0,Matches
Renato Marques,br BRA,"FW,MF",19.0,5.7,9,1.57,8,0,1,0,0,0,2,0.35,2,0,0,0,0,0,Matches
Pedrinho,br BRA,"FW,MF",23.0,4.6,12,2.63,10,0,1,0,1,0,1,0.22,0,0,0,0,1,0,Matches
Esteban Burgos,ar ARG,DF,31.0,3.3,1,0.31,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Óscar Méndez,uy URU,MF,28.0,2.9,1,0.35,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheusinho,br BRA,"MF,FW",24.0,2.5,11,4.3,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nino Paraíba,br BRA,DF,37.0,2.2,8,3.64,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Washington Aguerre,uy URU,GK,29.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Henrique Almeida,br BRA,FW,31.0,1.7,7,4.04,4,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulinho,br BRA,FW,24.0,1.5,7,4.63,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Juan Cazares,ec ECU,"MF,FW",30.0,3.1,16,5.07,12,3,0,1,0,0,3,0.95,2,0,0,1,0,0,Matches
Adyson,br BRA,"FW,MF",17.0,2.7,16,5.88,14,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mikael,br BRA,FW,23.0,1.7,6,3.51,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Arthur,br BRA,DF,19.0,1.0,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wellington Paulista,br BRA,FW,38.0,2.5,7,2.78,4,0,1,2,0,0,1,0.4,0,0,0,1,0,0,Matches
Mateus Gonçalves Martins,br BRA,"MF,FW",28.0,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Renato Kayser,br BRA,"FW,MF",26.0,0.4,1,2.31,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Ighor Gabryel,br BRA,FW,20.0,0.3,1,3.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Paulinho,br BRA,DF,18.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jhow,br BRA,DF,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yago Souza,br BRA,MF,16.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.1,38.0,888,23.37,664,77,47,46,41,13,74,1.95,56,5,3,6,3,1,
Opponent Total,,,27.5,38.0,1051,27.66,776,90,60,59,53,13,131,3.45,96,10,7,8,9,1,
