Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Juninho,br BRA,MF,35.0,32.5,699,973,71.8,10503,3674,381,470,81.1,237,332,71.4,44,82,53.7,2,3.5,5.0,-1.5,42,62,27,7,100,Matches
Leandro Emmanuel Martínez,ar ARG,MF,28.0,28.2,1177,1475,79.8,18334,5971,640,706,90.7,402,499,80.6,87,172,50.6,5,4.5,5.6,0.5,65,127,40,14,155,Matches
Felipe Azevedo,br BRA,"FW,MF",36.0,19.4,325,497,65.4,4894,1573,182,243,74.9,89,135,65.9,28,54,51.9,1,2.0,1.0,-1.0,29,34,17,3,52,Matches
Iago Maidana,br BRA,DF,26.0,24.0,578,775,74.6,11891,4920,176,213,82.6,311,375,82.9,85,159,53.5,0,0.1,0.1,-0.1,4,40,1,1,54,Matches
Danilo Avelar,br BRA,DF,33.0,22.0,613,890,68.9,11632,6518,228,272,83.8,308,408,75.5,67,166,40.4,1,0.7,0.7,0.3,12,59,11,7,81,Matches
Gonzalo Mastriani,uy URU,FW,29.0,19.9,198,316,62.7,2522,484,126,179,70.4,42,72,58.3,10,19,52.6,1,1.5,1.1,-0.5,14,15,8,0,23,Matches
Marlon,br BRA,DF,28.0,18.6,674,877,76.9,10871,4449,367,415,88.4,239,297,80.5,51,108,47.2,1,0.8,0.9,0.2,19,54,13,7,71,Matches
Ricardo Silva,br BRA,DF,30.0,17.9,489,634,77.1,9700,3970,160,190,84.2,257,301,85.4,64,114,56.1,0,0.1,0.2,-0.1,2,35,1,0,44,Matches
Eder,br BRA,DF,27.0,17.4,554,692,80.1,11569,5119,173,191,90.6,290,331,87.6,89,160,55.6,0,0.2,0.3,-0.2,3,49,5,1,54,Matches
Lucas Kal,br BRA,MF,26.0,13.7,499,606,82.3,8673,3219,225,252,89.3,208,240,86.7,50,79,63.3,1,1.0,0.9,0.0,11,76,10,2,86,Matches
Matheus Cavichioli,br BRA,GK,36.0,15.0,261,377,69.2,8777,6932,38,38,100.0,91,94,96.8,131,241,54.4,0,0.0,0.0,0.0,0,8,0,0,0,Matches
