Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Juninho,br BRA,MF,35.0,32.5,1274,57,274,589,434,94,1274,38,19,50.0,14,36.8,636,2777,1251,31,19,7,52,22,758,164,Matches
Leandro Emmanuel Martínez,ar ARG,MF,28.0,28.2,1838,58,321,974,583,45,1838,105,49,46.7,47,44.8,1076,6873,2696,70,53,11,55,27,1164,104,Matches
Felipe Azevedo,br BRA,"FW,MF",36.0,19.4,738,20,128,272,358,66,738,67,26,38.8,37,55.2,441,2637,1187,31,39,13,47,31,509,121,Matches
Iago Maidana,br BRA,DF,26.0,24.0,1018,160,526,456,46,29,1018,4,3,75.0,1,25.0,483,3251,2198,17,6,0,9,3,504,7,Matches
Danilo Avelar,br BRA,DF,33.0,22.0,1128,102,432,530,174,56,1127,11,3,27.3,8,72.7,495,2414,1349,11,10,0,14,2,617,42,Matches
Gonzalo Mastriani,uy URU,FW,29.0,19.9,486,15,41,220,232,79,484,19,7,36.8,10,52.6,235,860,355,9,15,4,43,14,328,89,Matches
Marlon,br BRA,DF,28.0,18.6,1108,58,340,505,288,20,1108,43,22,51.2,13,30.2,577,4206,2451,63,38,3,25,11,576,80,Matches
Ricardo Silva,br BRA,DF,30.0,17.9,820,123,429,372,27,12,820,5,5,100.0,0,0.0,361,1581,892,10,4,1,6,2,404,1,Matches
Eder,br BRA,DF,27.0,17.4,893,163,488,386,27,10,893,2,1,50.0,1,50.0,478,2615,1652,9,5,0,5,1,492,4,Matches
Lucas Kal,br BRA,MF,26.0,13.7,711,39,176,440,99,9,711,4,2,50.0,2,50.0,422,2249,1243,21,11,0,8,3,453,13,Matches
Matheus Cavichioli,br BRA,GK,36.0,15.0,412,363,410,4,0,0,412,0,0,,0,,205,1658,1312,0,0,0,0,0,79,0,Matches
Rodriguinho,br BRA,"DF,MF",19.0,13.9,802,26,172,363,275,26,802,38,14,36.8,19,50.0,458,2892,1405,50,42,11,23,13,488,96,Matches
Everaldo,br BRA,"FW,MF",28.0,13.7,572,8,73,212,300,33,572,55,16,29.1,25,45.5,385,3151,1612,54,35,10,31,13,406,101,Matches
Ale,br BRA,MF,32.0,15.8,1075,43,256,653,182,30,1075,25,16,64.0,8,32.0,682,3840,1829,29,21,2,25,19,691,37,Matches
Martín Benítez,ar ARG,"MF,FW",28.0,12.4,696,2,64,378,268,23,696,70,35,50.0,28,40.0,427,2283,1175,26,17,5,14,26,492,56,Matches
Breno Cascardo,br BRA,MF,19.0,12.9,743,18,112,467,172,18,743,41,23,56.1,15,36.6,489,2810,1447,28,27,3,29,22,507,39,Matches
Jori,br BRA,GK,26.0,11.0,313,287,312,1,0,0,313,0,0,,0,,120,724,453,0,0,0,0,0,51,0,Matches
