Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Bento,br BRA,GK,23.0,33.0,886.0,517.0,362.0,72.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,580.0,7.0,1.0,Matches
Thiago Heleno,br BRA,DF,34.0,30.9,1526.0,1439.0,83.0,81.0,1.0,15.0,0,0.0,0.0,0.0,0.0,0.0,1276.0,4.0,7.0,Matches
Erick,br BRA,MF,25.0,27.8,1148.0,1118.0,26.0,20.0,4.0,15.0,4,6.0,0.0,0.0,0.0,0.0,982.0,4.0,12.0,Matches
Vitor Bueno,br BRA,"MF,FW",28.0,23.1,1042.0,907.0,130.0,43.0,12.0,10.0,146,6.0,79.0,34.0,44.0,0.0,769.0,5.0,23.0,Matches
Fernandinho,br BRA,MF,37.0,21.5,1222.0,1154.0,66.0,53.0,8.0,22.0,13,13.0,0.0,0.0,0.0,0.0,1029.0,2.0,15.0,Matches
Agustín Canobbio,uy URU,"FW,MF",24.0,23.5,840.0,768.0,70.0,7.0,7.0,5.0,70,40.0,23.0,4.0,9.0,0.0,639.0,2.0,29.0,Matches
Tomás Cuello,ar ARG,"MF,FW",22.0,22.8,994.0,831.0,159.0,12.0,1.0,6.0,123,123.0,24.0,10.0,10.0,0.0,670.0,4.0,37.0,Matches
Vitor Roque,br BRA,FW,17.0,19.0,267.0,221.0,45.0,2.0,1.0,0.0,6,5.0,0.0,0.0,0.0,0.0,195.0,1.0,18.0,Matches
Cacá,br BRA,DF,23.0,18.8,752.0,727.0,23.0,22.0,0.0,9.0,4,1.0,0.0,0.0,0.0,0.0,612.0,2.0,8.0,Matches
Lucas Esquivel,ar ARG,DF,21.0,18.3,1071.0,815.0,253.0,51.0,1.0,7.0,85,174.0,28.0,8.0,16.0,1.0,793.0,3.0,21.0,Matches
Hugo Moura,br BRA,MF,25.0,14.7,625.0,601.0,22.0,16.0,0.0,18.0,7,6.0,0.0,0.0,0.0,0.0,525.0,2.0,10.0,Matches
Pablo,br BRA,FW,30.0,15.5,442.0,410.0,29.0,8.0,2.0,4.0,10,4.0,0.0,0.0,0.0,0.0,338.0,3.0,15.0,Matches
Christian,br BRA,"MF,FW",22.0,15.1,611.0,581.0,27.0,4.0,2.0,5.0,21,22.0,1.0,0.0,1.0,0.0,488.0,3.0,25.0,Matches
Mádson,br BRA,"DF,MF",31.0,14.8,519.0,390.0,126.0,9.0,0.0,2.0,19,117.0,0.0,0.0,0.0,0.0,356.0,3.0,6.0,Matches
Bruno Zapelli,ar ARG,"MF,FW",20.0,12.7,583.0,523.0,54.0,9.0,9.0,7.0,39,7.0,33.0,9.0,13.0,0.0,438.0,6.0,15.0,Matches
Khellven,br BRA,DF,21.0,11.1,468.0,350.0,113.0,10.0,2.0,3.0,40,91.0,12.0,3.0,7.0,0.0,318.0,5.0,14.0,Matches
Zé Ivaldo,br BRA,DF,25.0,11.3,567.0,527.0,38.0,28.0,0.0,19.0,3,10.0,0.0,0.0,0.0,0.0,457.0,2.0,5.0,Matches
Pedro Henrique,br BRA,DF,27.0,9.5,472.0,455.0,17.0,17.0,0.0,14.0,4,0.0,0.0,0.0,0.0,0.0,399.0,0.0,3.0,Matches
Alex Santana,br BRA,MF,27.0,11.1,434.0,420.0,14.0,13.0,0.0,4.0,3,1.0,0.0,0.0,0.0,0.0,378.0,0.0,7.0,Matches
Kaique Rocha,br BRA,DF,21.0,7.2,304.0,291.0,12.0,7.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,266.0,1.0,5.0,Matches
Matheus Felipe,br BRA,DF,24.0,5.9,245.0,230.0,14.0,11.0,0.0,4.0,0,3.0,0.0,0.0,0.0,0.0,205.0,1.0,1.0,Matches
Willian,br BRA,"FW,MF",36.0,6.4,156.0,143.0,13.0,0.0,0.0,1.0,2,1.0,0.0,0.0,0.0,0.0,128.0,0.0,2.0,Matches
Fernando,br BRA,DF,23.0,5.3,322.0,264.0,57.0,3.0,0.0,2.0,21,54.0,0.0,0.0,0.0,0.0,260.0,1.0,5.0,Matches
Arturo Vidal,cl CHI,MF,35.0,4.2,179.0,162.0,16.0,8.0,0.0,2.0,7,5.0,2.0,1.0,0.0,0.0,143.0,1.0,4.0,Matches
Rômulo,br BRA,"FW,MF",20.0,5.7,192.0,175.0,16.0,2.0,0.0,1.0,10,12.0,0.0,0.0,0.0,0.0,131.0,1.0,10.0,Matches
Leonardo Linck,br BRA,GK,21.0,5.0,132.0,78.0,54.0,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1.0,Matches
David Terans,uy URU,"MF,FW",28.0,4.4,139.0,114.0,23.0,5.0,2.0,4.0,20,4.0,13.0,4.0,8.0,0.0,102.0,2.0,3.0,Matches
Vinicius Kaue,br BRA,"DF,MF",19.0,3.8,222.0,182.0,40.0,4.0,0.0,0.0,9,36.0,0.0,0.0,0.0,0.0,175.0,0.0,9.0,Matches
Pedrinho,br BRA,"DF,MF",20.0,4.0,200.0,167.0,31.0,4.0,0.0,0.0,6,27.0,0.0,0.0,0.0,0.0,155.0,2.0,3.0,Matches
Léo Cittadini,br BRA,"MF,FW",28.0,2.2,79.0,73.0,6.0,4.0,0.0,0.0,6,0.0,1.0,0.0,1.0,0.0,65.0,0.0,3.0,Matches
Thiago,br BRA,"FW,MF",22.0,2.5,82.0,81.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,69.0,0.0,3.0,Matches
Luciano Arriagada,cl CHI,"FW,MF",20.0,2.1,51.0,49.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,39.0,0.0,2.0,Matches
Bruno Peres,br BRA,"DF,MF",32.0,1.7,86.0,71.0,15.0,2.0,0.0,2.0,3,13.0,0.0,0.0,0.0,0.0,71.0,0.0,2.0,Matches
Marcelo Cirino,br BRA,"FW,MF",31.0,1.1,18.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Matches
Lucas Belezi,br BRA,DF,19.0,0.5,20.0,19.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,Matches
Reinaldo,br BRA,FW,21.0,0.2,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Matches
Chiqueti,br BRA,MF,17.0,0.2,,,,,,,0,,,,,,,,,Matches
Danielzinho,br BRA,FW,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Dudu,br BRA,MF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bryan García,ec ECU,MF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,26.1,38.0,16900.0,14875.0,1958.0,552.0,53.0,182.0,685,784.0,216.0,73.0,109.0,1.0,13156.0,67.0,324.0,
Opponent Total,,,27.6,38.0,18020.0,15941.0,2018.0,614.0,39.0,128.0,703,758.0,186.0,83.0,63.0,0.0,14291.0,61.0,356.0,
