Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Bento,br BRA,GK,23.0,33.0,952.0,861.0,951.0,1.0,0.0,0.0,952.0,0.0,0.0,,0.0,,443.0,2440.0,1530.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,Matches
Thiago Heleno,br BRA,DF,34.0,30.9,1835.0,303.0,1011.0,787.0,52.0,40.0,1835.0,3.0,0.0,0.0,1.0,33.3,986.0,3717.0,1620.0,2.0,1.0,0.0,9.0,0.0,1156.0,2.0,Matches
Erick,br BRA,MF,25.0,27.8,1444.0,55.0,303.0,943.0,219.0,78.0,1444.0,46.0,30.0,65.2,15.0,32.6,807.0,3609.0,1830.0,27.0,23.0,4.0,46.0,14.0,972.0,37.0,Matches
Vitor Bueno,br BRA,"MF,FW",28.0,23.1,1260.0,5.0,86.0,597.0,591.0,53.0,1257.0,55.0,34.0,61.8,19.0,34.5,776.0,5006.0,2220.0,74.0,57.0,12.0,46.0,38.0,903.0,114.0,Matches
Fernandinho,br BRA,MF,37.0,21.5,1387.0,52.0,273.0,936.0,196.0,16.0,1386.0,35.0,19.0,54.3,12.0,34.3,854.0,4210.0,2130.0,35.0,39.0,4.0,19.0,19.0,988.0,52.0,Matches
Agustín Canobbio,uy URU,"FW,MF",24.0,23.5,1211.0,25.0,155.0,479.0,594.0,98.0,1211.0,91.0,46.0,50.5,37.0,40.7,736.0,4917.0,2377.0,81.0,47.0,31.0,60.0,40.0,781.0,223.0,Matches
Tomás Cuello,ar ARG,"MF,FW",22.0,22.8,1270.0,38.0,215.0,572.0,501.0,50.0,1270.0,60.0,35.0,58.3,21.0,35.0,649.0,4349.0,2220.0,81.0,49.0,20.0,46.0,18.0,732.0,173.0,Matches
Vitor Roque,br BRA,FW,17.0,19.0,494.0,3.0,25.0,201.0,278.0,95.0,494.0,83.0,33.0,39.8,39.0,47.0,324.0,2074.0,912.0,40.0,27.0,24.0,41.0,33.0,340.0,111.0,Matches
Cacá,br BRA,DF,23.0,18.8,950.0,137.0,479.0,435.0,46.0,18.0,950.0,7.0,3.0,42.9,3.0,42.9,528.0,2827.0,1434.0,12.0,11.0,0.0,14.0,7.0,555.0,8.0,Matches
Lucas Esquivel,ar ARG,DF,21.0,18.3,1271.0,55.0,434.0,569.0,278.0,8.0,1271.0,30.0,9.0,30.0,17.0,56.7,589.0,2913.0,1545.0,28.0,21.0,1.0,15.0,15.0,663.0,47.0,Matches
