Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Bento,br BRA,GK,23.0,33.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Thiago Heleno,br BRA,DF,34.0,30.9,0,19,5,26.3,0.62,0.16,0.0,0.0,10.9,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Erick,br BRA,MF,25.0,27.8,4,56,15,26.8,2.02,0.54,0.07,0.27,13.4,0.0,0,0,5.4,5.4,0.1,-1.4,-1.4,Matches
Vitor Bueno,br BRA,"MF,FW",28.0,23.1,5,63,17,27.0,2.73,0.74,0.03,0.12,26.8,11.0,3,3,5.3,3.1,0.05,-0.3,-1.1,Matches
Fernandinho,br BRA,MF,37.0,21.5,1,15,4,26.7,0.7,0.19,0.0,0.0,27.8,0.0,1,1,1.2,0.4,0.03,-0.2,-0.4,Matches
Agustín Canobbio,uy URU,"FW,MF",24.0,23.5,3,67,29,43.3,2.85,1.23,0.04,0.1,20.1,4.0,0,0,5.5,5.5,0.08,-2.5,-2.5,Matches
Tomás Cuello,ar ARG,"MF,FW",22.0,22.8,0,30,8,26.7,1.31,0.35,0.0,0.0,22.4,0.0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
Vitor Roque,br BRA,FW,17.0,19.0,12,51,23,45.1,2.68,1.21,0.24,0.52,14.0,0.0,0,0,8.8,8.8,0.17,3.2,3.2,Matches
Cacá,br BRA,DF,23.0,18.8,2,9,2,22.2,0.48,0.11,0.22,1.0,11.6,0.0,0,0,1.1,1.1,0.12,0.9,0.9,Matches
Lucas Esquivel,ar ARG,DF,21.0,18.3,0,8,2,25.0,0.44,0.11,0.0,0.0,22.1,3.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
