Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Marcos Felipe,br BRA,GK,26.0,37.0,0,0,0,0,3,0,0,1,3,0,0,0,29,7,0,100.0,Matches
Thaciano,br BRA,"MF,FW",27.0,32.1,4,0,0,36,30,8,21,26,25,0,0,0,151,44,59,42.7,Matches
Kanu,br BRA,DF,25.0,32.3,10,2,1,41,44,3,1,47,25,0,0,1,165,51,46,52.6,Matches
Rezende,br BRA,"MF,DF",28.0,30.1,9,1,1,65,31,0,11,62,60,0,1,0,200,51,32,61.4,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",27.0,28.3,4,0,0,23,25,6,130,13,12,0,0,0,137,9,14,39.1,Matches
Vitor Hugo,br BRA,DF,31.0,23.7,5,0,0,23,13,0,0,32,24,0,1,0,80,69,25,73.4,Matches
Everaldo Stum,br BRA,FW,31.0,24.2,6,0,0,27,31,10,21,2,8,0,0,0,54,84,57,59.6,Matches
Nicolás Acevedo,uy URU,MF,23.0,21.9,7,1,1,39,34,0,11,26,46,0,0,0,174,22,29,43.1,Matches
Gilberto,br BRA,DF,29.0,20.6,4,0,0,19,23,0,50,18,28,1,2,0,138,27,17,61.4,Matches
Ademir Santos,br BRA,"FW,MF",27.0,19.3,6,0,0,27,84,6,93,8,20,1,0,0,97,16,30,34.8,Matches
Yago,br BRA,MF,27.0,15.1,6,0,0,43,27,0,12,16,25,0,0,0,89,3,10,23.1,Matches
Gabriel Teixeira,br BRA,"FW,MF",21.0,15.1,4,0,0,22,53,3,51,14,11,1,0,0,58,4,14,22.2,Matches
Camilo Cándido,uy URU,DF,27.0,13.8,2,1,0,19,7,1,46,23,16,0,1,0,85,5,16,23.8,Matches
Gabriel,br BRA,DF,21.0,10.9,2,0,0,14,8,0,0,30,9,0,0,0,40,35,12,74.5,Matches
David Duarte,br BRA,DF,28.0,9.6,3,0,0,8,4,0,0,11,5,0,0,0,39,26,14,65.0,Matches
Cicinho,bg BUL,DF,34.0,8.4,4,0,0,24,13,1,23,5,16,0,0,0,33,13,7,65.0,Matches
Rafael Ratão,br BRA,"FW,MF",27.0,8.7,2,0,0,12,11,1,8,2,17,0,0,0,52,10,13,43.5,Matches
Vinicius Mingotti,br BRA,FW,23.0,7.3,2,0,0,14,15,6,0,2,5,0,0,0,11,7,25,21.9,Matches
Vítor Jacaré,br BRA,"DF,MF",23.0,9.5,4,0,0,20,16,3,55,11,19,0,0,0,53,10,11,47.6,Matches
Jhoanner Chávez,ec ECU,"DF,MF",20.0,6.5,1,0,0,16,4,2,15,7,9,0,1,0,32,4,7,36.4,Matches
Luciano Juba,br BRA,"DF,MF",23.0,7.2,0,0,0,3,3,0,50,9,9,0,0,0,33,6,4,60.0,Matches
Matheus Bahia,br BRA,"DF,MF",23.0,5.5,2,0,0,10,6,1,19,8,7,0,0,0,33,6,3,66.7,Matches
Kayky Chagas,br BRA,"FW,MF",19.0,4.6,2,0,0,8,3,1,12,2,4,0,0,0,19,1,8,11.1,Matches
Ryan Carlos,br BRA,DF,20.0,6.4,3,0,0,8,3,1,34,8,6,0,0,0,40,10,8,55.6,Matches
Raul Bicalho,br BRA,DF,23.0,3.6,1,0,0,5,4,0,0,1,1,0,0,0,13,6,13,31.6,Matches
Arthur Sales,br BRA,"FW,MF",20.0,3.2,0,0,0,3,8,1,3,0,3,0,0,0,9,6,15,28.6,Matches
Lucas Mugni,ar ARG,"MF,FW",31.0,4.0,2,0,0,7,3,0,20,4,5,0,0,0,24,3,4,42.9,Matches
Léo Cittadini,br BRA,MF,28.0,1.5,1,0,0,5,3,0,1,3,3,0,0,0,15,1,0,100.0,Matches
André,br BRA,DF,19.0,1.4,1,0,0,2,1,0,9,1,1,0,0,0,5,2,0,100.0,Matches
Danilo Fernandes,br BRA,GK,34.0,0.4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Diego Rosa,br BRA,"MF,DF",20.0,2.7,0,0,0,6,1,0,6,5,10,0,0,0,24,2,2,50.0,Matches
Danielzinho,br BRA,"FW,MF",27.0,0.9,0,0,0,0,1,0,3,0,1,0,0,0,5,0,0,,Matches
Mateus Claus,br BRA,GK,28.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Marcos Victor,br BRA,DF,21.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Patrick Verhon,br BRA,FW,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,26.9,38.0,99,5,3,549,512,54,705,397,433,3,6,1,1940,540,495,52.2,
Opponent Total,,,27.4,38.0,94,5,1,536,525,130,612,358,372,4,4,2,1980,495,539,47.9,
