Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Marcos Felipe,br BRA,GK,26.0,37.0,1248,1105,1247,1,0,0,1248,0,0,,0,,639,3268,2140,0,1,0,1,0,498,0,Matches
Thaciano,br BRA,"MF,FW",27.0,32.1,1414,41,238,782,411,96,1412,50,26,52.0,22,44.0,774,3571,1489,31,31,9,44,17,923,125,Matches
Kanu,br BRA,DF,25.0,32.3,1845,203,857,932,73,31,1845,18,15,83.3,2,11.1,1111,6187,3877,28,16,0,9,8,1197,7,Matches
Rezende,br BRA,"MF,DF",28.0,30.1,1725,100,564,994,189,29,1725,30,14,46.7,14,46.7,856,4401,2094,29,20,0,28,15,980,36,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",27.0,28.3,1677,10,75,786,851,78,1677,126,73,57.9,47,37.3,1024,6189,3288,112,98,25,64,53,1225,182,Matches
Vitor Hugo,br BRA,DF,31.0,23.7,1245,138,618,592,36,27,1245,0,0,,0,,720,4433,2555,22,6,0,7,1,803,3,Matches
Everaldo Stum,br BRA,FW,31.0,24.2,703,17,37,347,330,100,701,35,14,40.0,18,51.4,356,1981,872,36,27,19,59,20,514,138,Matches
Nicolás Acevedo,uy URU,MF,23.0,21.9,1476,37,350,945,197,16,1476,31,14,45.2,12,38.7,887,4197,2223,29,23,5,25,18,997,36,Matches
Gilberto,br BRA,DF,29.0,20.6,1425,46,328,707,410,24,1425,52,23,44.2,24,46.2,772,3948,2155,56,52,1,40,31,857,90,Matches
Ademir Santos,br BRA,"FW,MF",27.0,19.3,855,4,79,360,440,57,855,90,39,43.3,38,42.2,558,4485,2495,83,52,17,43,27,616,182,Matches
Yago,br BRA,MF,27.0,15.1,811,22,181,477,162,9,811,8,5,62.5,2,25.0,443,1770,785,11,15,2,14,13,524,32,Matches
Gabriel Teixeira,br BRA,"FW,MF",21.0,15.1,627,6,65,208,366,75,627,69,24,34.8,38,55.1,439,2811,1484,51,48,13,56,13,462,117,Matches
Camilo Cándido,uy URU,DF,27.0,13.8,868,32,208,401,271,17,868,27,11,40.7,14,51.9,463,1831,885,18,18,3,17,6,512,91,Matches
Gabriel,br BRA,DF,21.0,10.9,661,81,350,293,18,10,661,3,1,33.3,1,33.3,330,1790,1027,9,5,0,1,0,382,1,Matches
David Duarte,br BRA,DF,28.0,9.6,552,105,301,237,14,12,552,2,2,100.0,0,0.0,330,2491,1414,5,1,0,1,1,355,0,Matches
Cicinho,bg BUL,DF,34.0,8.4,505,33,138,249,122,8,505,30,14,46.7,10,33.3,243,1328,587,17,9,3,19,11,270,36,Matches
Rafael Ratão,br BRA,"FW,MF",27.0,8.7,437,3,52,189,202,23,437,28,11,39.3,16,57.1,238,1357,542,13,11,1,23,16,314,61,Matches
Vinicius Mingotti,br BRA,FW,23.0,7.3,131,4,11,65,58,22,131,2,1,50.0,1,50.0,65,299,141,2,3,1,10,5,85,25,Matches
