Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Marcos Felipe,br BRA,GK,26.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thaciano,br BRA,"MF,FW",27.0,32.1,6,64,16,25.0,2.0,0.5,0.06,0.25,17.3,0,2,2,9.4,7.8,0.12,-3.4,-3.8,Matches
Kanu,br BRA,DF,25.0,32.3,1,20,5,25.0,0.62,0.15,0.05,0.2,13.0,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
Rezende,br BRA,"MF,DF",28.0,30.1,2,22,4,18.2,0.73,0.13,0.09,0.5,16.5,0,0,0,0.9,0.9,0.04,1.1,1.1,Matches
Cauly Oliveira Souza,br BRA,"MF,FW",27.0,28.3,4,65,18,27.7,2.3,0.64,0.06,0.22,19.9,4,0,0,5.4,5.4,0.08,-1.4,-1.4,Matches
Vitor Hugo,br BRA,DF,31.0,23.7,1,14,3,21.4,0.59,0.13,0.07,0.33,12.5,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches
Everaldo Stum,br BRA,FW,31.0,24.2,9,57,22,38.6,2.36,0.91,0.12,0.32,15.3,0,2,2,6.8,5.2,0.09,2.2,1.8,Matches
Nicolás Acevedo,uy URU,MF,23.0,21.9,0,23,4,17.4,1.05,0.18,0.0,0.0,25.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
Gilberto,br BRA,DF,29.0,20.6,1,18,4,22.2,0.87,0.19,0.06,0.25,26.1,1,0,0,0.6,0.6,0.04,0.4,0.4,Matches
Ademir Santos,br BRA,"FW,MF",27.0,19.3,6,43,16,37.2,2.22,0.83,0.14,0.38,17.1,1,0,0,8.1,8.1,0.19,-2.1,-2.1,Matches
Yago,br BRA,MF,27.0,15.1,0,14,4,28.6,0.92,0.26,0.0,0.0,27.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Gabriel Teixeira,br BRA,"FW,MF",21.0,15.1,5,46,15,32.6,3.04,0.99,0.11,0.33,17.8,1,0,0,5.2,5.2,0.11,-0.2,-0.2,Matches
Camilo Cándido,uy URU,DF,27.0,13.8,1,10,4,40.0,0.72,0.29,0.1,0.25,25.1,1,0,0,0.4,0.4,0.04,0.6,0.6,Matches
Gabriel,br BRA,DF,21.0,10.9,0,7,3,42.9,0.64,0.28,0.0,0.0,13.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
David Duarte,br BRA,DF,28.0,9.6,1,7,2,28.6,0.73,0.21,0.14,0.5,13.2,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
Cicinho,bg BUL,DF,34.0,8.4,0,5,2,40.0,0.6,0.24,0.0,0.0,13.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Rafael Ratão,br BRA,"FW,MF",27.0,8.7,4,24,11,45.8,2.77,1.27,0.17,0.36,17.1,0,0,0,2.9,2.9,0.12,1.1,1.1,Matches
Vinicius Mingotti,br BRA,FW,23.0,7.3,2,12,6,50.0,1.64,0.82,0.17,0.33,13.3,0,0,0,1.9,1.9,0.16,0.1,0.1,Matches
Vítor Jacaré,br BRA,"DF,MF",23.0,9.5,1,23,7,30.4,2.42,0.74,0.04,0.14,22.2,3,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
Jhoanner Chávez,ec ECU,"DF,MF",20.0,6.5,0,4,1,25.0,0.61,0.15,0.0,0.0,24.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Luciano Juba,br BRA,"DF,MF",23.0,7.2,1,14,3,21.4,1.95,0.42,0.07,0.33,24.4,2,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Matheus Bahia,br BRA,"DF,MF",23.0,5.5,0,5,1,20.0,0.91,0.18,0.0,0.0,23.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Kayky Chagas,br BRA,"FW,MF",19.0,4.6,2,10,3,30.0,2.2,0.66,0.2,0.67,13.7,0,0,0,1.5,1.5,0.15,0.5,0.5,Matches
Ryan Carlos,br BRA,DF,20.0,6.4,0,2,1,50.0,0.31,0.16,0.0,0.0,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Raul Bicalho,br BRA,DF,23.0,3.6,0,4,0,0.0,1.12,0.0,0.0,,10.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
