Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Lucas Perri,br BRA,GK,25.0,37.5,1,0,0,0,4,0,0,0,0,0.0,0.0,0,36.0,7.0,2.0,77.8,Matches
Víctor Cuesta,ar ARG,DF,34.0,35.0,9,0,0,33,25,2,30,58,31,0.0,0.0,0,170.0,77.0,41.0,65.3,Matches
Adryelson,br BRA,DF,24.0,33.3,6,1,0,20,19,0,0,61,20,0.0,0.0,0,127.0,92.0,44.0,67.6,Matches
Marlon Freitas,br BRA,MF,27.0,32.3,3,0,0,27,9,0,11,40,30,0.0,0.0,1,208.0,31.0,27.0,53.4,Matches
Carlos Eduardo,br BRA,MF,33.0,29.7,5,1,0,39,50,0,71,13,11,0.0,0.0,0,97.0,29.0,52.0,35.8,Matches
Tchê Tchê,br BRA,"MF,DF",30.0,29.5,8,0,0,39,50,0,57,13,19,0.0,0.0,0,133.0,5.0,13.0,27.8,Matches
Tiquinho Soares,br BRA,FW,32.0,27.1,10,0,0,48,85,15,13,3,10,1.0,0.0,0,89.0,79.0,70.0,53.0,Matches
Júnior Santos,br BRA,FW,28.0,24.0,2,0,0,42,37,5,57,12,24,1.0,0.0,0,109.0,33.0,47.0,41.3,Matches
João Victor Santos Sá,br BRA,FW,28.0,23.6,3,0,0,31,47,4,40,30,37,1.0,0.0,0,99.0,19.0,43.0,30.6,Matches
Leonel Di Plácido,ar ARG,DF,29.0,26.2,5,0,0,28,14,1,86,48,51,0.0,1.0,0,150.0,21.0,39.0,35.0,Matches
Fernando Marçal,br BRA,DF,33.0,18.1,8,1,0,39,17,0,111,38,16,0.0,0.0,0,84.0,29.0,23.0,55.8,Matches
Hugo,br BRA,DF,21.0,15.5,3,0,0,33,13,0,64,24,31,0.0,0.0,0,70.0,15.0,23.0,39.5,Matches
Luis Henrique,br BRA,"FW,MF",21.0,15.3,0,0,0,6,9,3,24,4,3,1.0,0.0,0,101.0,2.0,7.0,22.2,Matches
Danilo Barbosa,br BRA,"MF,DF",26.0,11.2,5,0,0,16,27,1,3,16,9,0.0,0.0,0,77.0,16.0,9.0,64.0,Matches
Gabriel,br BRA,MF,29.0,9.6,2,0,0,19,8,0,22,16,20,0.0,0.0,0,72.0,26.0,13.0,66.7,Matches
Rafael,br BRA,DF,32.0,5.4,3,1,1,12,5,0,21,4,12,0.0,0.0,0,31.0,3.0,3.0,50.0,Matches
Lucas Fernandes,br BRA,MF,25.0,5.3,1,0,0,16,11,0,29,3,1,0.0,0.0,0,20.0,3.0,7.0,30.0,Matches
Philipe Sampaio,br BRA,DF,28.0,5.5,2,0,0,9,5,2,1,6,7,0.0,0.0,0,26.0,22.0,8.0,73.3,Matches
Gustavo Sauer,br BRA,"FW,MF",29.0,2.9,0,0,0,4,4,1,8,3,4,1.0,0.0,0,12.0,2.0,2.0,50.0,Matches
Diego Costa,es ESP,FW,34.0,5.7,6,0,0,15,12,5,8,3,5,0.0,0.0,0,14.0,20.0,28.0,41.7,Matches
Matias Segovia,py PAR,FW,20.0,7.2,2,0,0,5,14,0,20,8,18,0.0,0.0,0,57.0,1.0,5.0,16.7,Matches
Janderson,br BRA,"FW,MF",23.0,4.6,2,0,0,11,5,1,10,2,5,0.0,0.0,0,29.0,11.0,21.0,34.4,Matches
JP Galvão,br BRA,DF,21.0,2.2,0,0,0,3,1,0,6,3,5,0.0,0.0,0,10.0,2.0,5.0,28.6,Matches
Bastos,ao ANG,DF,31.0,1.3,0,0,0,3,2,0,1,0,2,0.0,0.0,0,2.0,2.0,2.0,50.0,Matches
Carlos Alberto,br BRA,"FW,MF",20.0,3.3,0,0,0,5,7,0,5,1,0,1.0,0.0,0,14.0,4.0,7.0,36.4,Matches
Matheus Nascimento,br BRA,"FW,MF",18.0,1.1,2,0,0,6,3,1,0,0,1,0.0,0.0,0,5.0,2.0,6.0,25.0,Matches
Luis Segovia,ec ECU,DF,25.0,1.1,1,0,0,1,1,0,0,0,0,0.0,0.0,0,4.0,1.0,3.0,25.0,Matches
Daniel Borges,br BRA,DF,29.0,0.5,0,0,0,2,1,0,2,1,2,0.0,0.0,0,2.0,0.0,0.0,,Matches
Gatito Fernández,py PAR,GK,34.0,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches
Diego Hernández,uy URU,FW,22.0,0.5,1,0,0,1,3,0,2,0,1,0.0,0.0,0,2.0,0.0,0.0,,Matches
Kayque,br BRA,MF,22.0,0.3,1,0,0,1,0,0,0,1,1,0.0,0.0,0,2.0,0.0,0.0,,Matches
Mateo Ponte,uy URU,DF,19.0,0.2,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches
Lucas Piazon,br BRA,FW,29.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches
Breno,br BRA,MF,22.0,0.1,0,0,0,1,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches
Newton,br BRA,DF,23.0,0.1,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches
Rai,br BRA,MF,20.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
Squad Total,,,28.5,38.0,91,4,1,515,489,41,702,412,376,6.0,1.0,1,1858.0,554.0,551.0,50.1,
Opponent Total,,,27.4,38.0,101,2,0,521,492,91,741,344,414,1.0,7.0,2,1950.0,551.0,553.0,49.9,
