Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-06,20:00,Sudamericana,Group stage,Thu,Away,W,4,1,py Tacuary,,,74,,Aderlan Silva,4-2-3-1,Mathias de Armas,Match Report,
2023-04-15,18:30,Série A,Matchweek 1,Sat,Home,W,2,1,Bahia,2.0,0.7,55,3368.0,Aderlan Silva,4-2-3-1,Maguielson Lima Barbosa,Match Report,
2023-04-18,19:00,Sudamericana,Group stage,Tue,Home,W,5,0,bo Oriente Petrolero,,,71,,Aderlan Silva,4-3-3,Francisco Gilabert,Match Report,
2023-04-22,17:30,Série A,Matchweek 2,Sat,Away,D,1,1,Cuiabá,0.9,1.2,66,9267.0,Aderlan Silva,4-3-3,Caio Max Augusto Vieira,Match Report,
2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,L,0,3,Cruzeiro,1.5,2.0,46,4829.0,Aderlan Silva,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-05-02,21:00,Sudamericana,Group stage,Tue,Home,D,0,0,ar Estudiantes,,,55,3236.0,Cleiton Schwengber,4-2-3-1,Carlos Ortega,Match Report,
2023-05-07,18:30,Série A,Matchweek 4,Sun,Away,D,3,3,Grêmio,1.8,1.7,58,23760.0,Juninho Capixaba,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,
2023-05-10,19:00,Série A,Matchweek 5,Wed,Home,D,2,2,América (MG),1.7,2.0,62,2909.0,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Match Report,
2023-05-13,18:30,Série A,Matchweek 6,Sat,Away,D,1,1,Palmeiras,1.0,1.6,42,39488.0,Cleiton Schwengber,4-3-3,Savio Pereira,Match Report,
2023-05-20,18:30,Série A,Matchweek 7,Sat,Home,W,2,0,Ath Paranaense,1.7,1.1,60,3769.0,Cleiton Schwengber,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2023-05-25,20:00,Sudamericana,Group stage,Thu,Away,W,4,0,bo Oriente Petrolero,,,60,,Cleiton Schwengber,4-4-2,Bismark Santiago,Match Report,
2023-05-28,18:30,Série A,Matchweek 8,Sun,Home,W,2,0,Santos,1.5,0.3,59,5988.0,Cleiton Schwengber,4-3-3,Anderson Daronco,Match Report,
2023-06-04,16:00,Série A,Matchweek 9,Sun,Away,L,1,2,Fluminense,0.6,1.1,49,27228.0,Cleiton Schwengber,4-3-3,Rodrigo José Pereira de Lima,Match Report,
2023-06-07,21:00,Sudamericana,Group stage,Wed,Away,D,1,1,ar Estudiantes,,,43,,Cleiton Schwengber,3-5-2,Kevin Ortega,Match Report,
2023-06-10,18:30,Série A,Matchweek 10,Sat,Away,D,1,1,Atlético Mineiro,0.5,1.7,39,28786.0,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Match Report,
2023-06-22,21:30,Série A,Matchweek 11,Thu,Home,W,4,0,Flamengo,3.3,0.8,59,10103.0,Lucas Evangelista,3-2-4-1,Anderson Daronco,Match Report,
2023-06-25,18:30,Série A,Matchweek 12,Sun,Home,W,2,0,Goiás,1.7,0.2,59,3798.0,Cleiton Schwengber,3-2-4-1,Bruno Mota Correia,Match Report,
2023-06-28,19:00,Sudamericana,Group stage,Wed,Home,W,7,1,py Tacuary,,,79,4115.0,Cleiton Schwengber,4-1-4-1,Fernando Vejar,Match Report,
2023-07-02,11:00,Série A,Matchweek 13,Sun,Away,W,1,0,Corinthians,0.9,0.6,58,42404.0,Cleiton Schwengber,4-1-2-1-2◆,Edina Alves Batista,Match Report,
2023-07-09,16:00,Série A,Matchweek 14,Sun,Home,D,0,0,São Paulo,1.6,0.5,58,9411.0,Cleiton Schwengber,4-3-3,Raphael Claus,Match Report,
2023-07-15,21:00,Série A,Matchweek 15,Sat,Away,L,0,2,Botafogo (RJ),1.4,1.0,62,37036.0,Cleiton Schwengber,4-2-2-2,Anderson Daronco,Match Report,
2023-07-23,16:00,Série A,Matchweek 16,Sun,Home,D,0,0,Internacional,1.0,0.9,54,6446.0,Cleiton Schwengber,4-3-3,Maguielson Lima Barbosa,Match Report,
2023-07-29,18:30,Série A,Matchweek 17,Sat,Away,W,3,0,Fortaleza,2.1,1.0,53,26124.0,Leo Ortiz,3-5-2,André Luiz Skettino Policarpo Bento,Match Report,
2023-08-03,21:00,Sudamericana,Round of 16,Thu,Away,D,1,1,br América (MG),,,65,2546.0,Leo Ortiz,3-5-2,Gery Vargas,Match Report,Leg 1 of 2
2023-08-06,18:30,Série A,Matchweek 18,Sun,Away,W,1,0,Coritiba,1.0,0.5,50,34010.0,Cleiton Schwengber,4-3-3,Yuri Elino Ferreira da Cruz,Match Report,
2023-08-10,21:00,Sudamericana,Round of 16,Thu,Home,D,3 (3),3 (4),br América (MG),,,52,,Leo Ortiz,4-3-3,John J. Ospina,Match Report,Leg 2 of 2; América (MG) won; América (MG) won on penalty kicks following extra time
2023-08-14,21:00,Série A,Matchweek 19,Mon,Home,D,1,1,Vasco da Gama,1.6,1.5,64,5553.0,Leo Ortiz,4-3-3,Anderson Daronco,Match Report,
2023-08-20,16:00,Série A,Matchweek 20,Sun,Away,L,0,4,Bahia,0.7,1.8,53,38452.0,Leo Ortiz,4-2-3-1,Arthur Gomes Rabelo,Match Report,
2023-08-27,11:00,Série A,Matchweek 21,Sun,Home,W,2,0,Cuiabá,1.5,0.5,63,3683.0,Leo Ortiz,4-2-3-1,Bruno Mota Correia,Match Report,
2023-09-03,18:30,Série A,Matchweek 22,Sun,Away,D,0,0,Cruzeiro,1.2,1.2,50,29417.0,Leo Ortiz,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
