Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Cleiton Schwengber,br BRA,GK,25.0,33.0,7,1,1,1,7,0,0,2,0,0,0,0,50,8,2,80.0,Matches
Juninho Capixaba,br BRA,DF,25.0,31.9,12,0,0,68,61,3,100,79,54,0,0,0,229,57,50,53.3,Matches
Lucas Evangelista,br BRA,MF,27.0,30.2,6,0,0,40,70,2,172,26,28,0,0,0,167,66,79,45.5,Matches
Matheus Fernandes,br BRA,MF,24.0,26.0,8,0,0,51,29,0,11,32,63,0,1,0,228,25,19,56.8,Matches
Eduardo Sasha,br BRA,"FW,MF",30.0,24.8,3,0,0,22,40,10,10,10,5,0,0,0,84,45,66,40.5,Matches
Vitinho,br BRA,"FW,MF",23.0,22.8,8,0,0,43,53,5,85,11,21,0,0,0,99,21,35,37.5,Matches
Jadsom,br BRA,MF,21.0,21.1,8,0,0,45,17,1,22,27,21,0,3,0,161,15,19,44.1,Matches
Helinho,br BRA,FW,22.0,15.4,8,0,0,25,26,3,120,8,16,0,0,0,88,11,10,52.4,Matches
Leonardo Realpe,ec ECU,DF,21.0,18.7,3,1,0,24,6,0,3,25,10,0,0,0,100,46,42,52.3,Matches
Leo Ortiz,br BRA,DF,27.0,17.8,3,0,0,12,6,0,5,30,11,0,1,1,115,56,19,74.7,Matches
José Hurtado,ec ECU,DF,21.0,18.0,3,0,0,15,4,2,88,21,26,0,0,0,113,24,29,45.3,Matches
Aderlan Silva,br BRA,DF,32.0,15.8,6,1,0,35,9,0,57,26,31,0,1,0,109,25,19,56.8,Matches
Eric Ramires,br BRA,MF,22.0,15.3,1,1,0,21,16,1,18,12,10,0,0,0,102,10,13,43.5,Matches
Luan Patrick,br BRA,DF,21.0,12.4,3,0,0,11,3,0,1,17,6,0,0,0,79,8,18,30.8,Matches
Luan Cândido,br BRA,DF,21.0,12.0,3,0,0,20,6,1,14,13,12,0,0,0,43,47,24,66.2,Matches
Eduardo Santos,br BRA,DF,25.0,11.3,2,0,0,14,8,0,1,14,9,0,0,0,71,26,21,55.3,Matches
Thiago Borbas,uy URU,FW,20.0,15.9,7,1,0,41,13,3,15,2,9,0,0,0,47,44,58,43.1,Matches
Henry Mosquera,co COL,"FW,MF",21.0,11.8,1,0,0,29,20,3,32,1,11,0,0,0,52,4,12,25.0,Matches
Natan,br BRA,DF,21.0,9.3,1,0,0,14,6,1,2,9,5,0,0,0,50,19,13,59.4,Matches
Bruno,br BRA,"FW,MF",19.0,7.9,0,0,0,2,8,1,17,2,4,0,1,0,30,0,5,0.0,Matches
Marcos Vinicios Sorriso,br BRA,"FW,DF",21.0,10.4,2,0,0,10,25,4,102,8,15,0,0,0,68,11,29,27.5,Matches
Lucão,br BRA,GK,21.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
Gustavinho,br BRA,"MF,FW",18.0,7.4,2,0,0,14,5,0,11,7,5,0,0,0,50,10,16,38.5,Matches
Matheus Gonçalves,br BRA,"FW,MF",17.0,5.1,3,0,0,6,10,2,11,0,3,2,0,0,39,2,6,25.0,Matches
Alerrandro,br BRA,"FW,MF",23.0,4.5,3,1,0,9,9,5,1,0,2,0,0,0,6,4,20,16.7,Matches
Lucão,br BRA,DF,24.0,2.2,1,0,0,4,2,1,0,5,1,0,0,0,16,6,11,35.3,Matches
Guilherme,br BRA,"DF,MF",20.0,2.9,0,0,0,5,0,1,10,3,4,0,0,0,15,2,3,40.0,Matches
Ignacio Laquintana,uy URU,FW,23.0,2.0,0,0,0,3,4,2,6,1,3,0,0,0,11,1,0,100.0,Matches
Talisson,br BRA,FW,20.0,1.7,0,0,0,8,4,0,3,2,1,0,1,0,8,1,3,25.0,Matches
Raul,br BRA,"MF,DF",26.0,1.2,1,0,0,1,1,0,0,1,0,0,0,0,11,1,2,33.3,Matches
Yani Quintero,co COL,MF,20.0,1.1,1,0,0,5,1,0,0,1,4,0,0,0,7,3,0,100.0,Matches
Cipriano,br BRA,DF,20.0,0.8,1,0,0,4,0,0,0,2,1,0,0,0,2,0,0,,Matches
Lucas Cunha,br BRA,DF,26.0,0.8,0,0,0,1,0,0,0,1,0,0,0,0,1,3,2,60.0,Matches
Nathan Camargo,br BRA,MF,17.0,0.1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,,Matches
Bruno Praxedes,br BRA,MF,20.0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,Matches
Squad Total,,,24.2,38.0,108,6,1,603,470,52,917,398,392,2,8,1,2257,602,646,48.2,
Opponent Total,,,27.5,38.0,95,0,0,498,579,99,545,377,465,4,3,1,2035,645,602,51.7,
