Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Cássio,br BRA,GK,35.0,36.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,11.0,1.0,Matches
Gil,br BRA,DF,35.0,32.0,46.0,30,34.0,12.0,0.0,26.0,41.0,63.4,15.0,53.0,36.0,17.0,27,73.0,126.0,0.0,Matches
Yuri Alberto,br BRA,FW,21.0,30.2,23.0,14,6.0,8.0,9.0,9.0,22.0,40.9,13.0,23.0,2.0,21.0,3,26.0,17.0,0.0,Matches
Maycon,br BRA,MF,25.0,26.7,43.0,26,20.0,17.0,6.0,22.0,57.0,38.6,35.0,39.0,5.0,34.0,33,76.0,36.0,0.0,Matches
Fagner,br BRA,DF,33.0,23.3,43.0,27,29.0,8.0,6.0,24.0,44.0,54.5,20.0,23.0,11.0,12.0,17,60.0,66.0,0.0,Matches
Fábio Santos,br BRA,DF,37.0,18.6,24.0,15,13.0,9.0,2.0,17.0,31.0,54.8,14.0,24.0,12.0,12.0,19,43.0,57.0,0.0,Matches
Bruno Méndez,uy URU,DF,23.0,18.3,39.0,22,22.0,15.0,2.0,23.0,40.0,57.5,17.0,23.0,11.0,12.0,22,61.0,72.0,0.0,Matches
Matheus Bidu,br BRA,DF,23.0,18.4,27.0,20,18.0,6.0,3.0,13.0,22.0,59.1,9.0,24.0,6.0,18.0,31,58.0,56.0,0.0,Matches
Giuliano de Paula,br BRA,"MF,FW",32.0,18.1,34.0,16,9.0,20.0,5.0,14.0,44.0,31.8,30.0,15.0,3.0,12.0,13,47.0,20.0,0.0,Matches
Fausto Vera,ar ARG,MF,22.0,15.3,26.0,12,13.0,10.0,3.0,14.0,46.0,30.4,32.0,28.0,10.0,18.0,16,42.0,30.0,0.0,Matches
Renato Augusto,br BRA,MF,34.0,14.2,17.0,8,5.0,10.0,2.0,3.0,11.0,27.3,8.0,7.0,2.0,5.0,8,25.0,10.0,0.0,Matches
Roger Guedes,br BRA,"FW,MF",26.0,15.0,6.0,3,1.0,2.0,3.0,1.0,2.0,50.0,1.0,11.0,1.0,10.0,1,7.0,11.0,0.0,Matches
Lucas Veríssimo,br BRA,DF,27.0,14.5,19.0,11,11.0,6.0,2.0,11.0,14.0,78.6,3.0,17.0,11.0,6.0,10,29.0,76.0,0.0,Matches
Gabriel Moscardo,br BRA,MF,17.0,12.6,37.0,22,20.0,15.0,2.0,18.0,40.0,45.0,22.0,29.0,9.0,20.0,20,57.0,28.0,0.0,Matches
Caetano,br BRA,DF,23.0,13.4,12.0,8,10.0,2.0,0.0,5.0,8.0,62.5,3.0,19.0,14.0,5.0,19,31.0,61.0,1.0,Matches
Ángel Romero,py PAR,FW,30.0,13.3,26.0,14,13.0,11.0,2.0,16.0,40.0,40.0,24.0,14.0,0.0,14.0,5,31.0,17.0,0.0,Matches
