Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Cássio,br BRA,GK,35.0,36.8,883.0,1104.0,80.0,24076.0,15860.0,179.0,179.0,100.0,391.0,399.0,98.0,305.0,518.0,58.9,0,0.1,0.0,-0.1,2.0,10.0,0.0,0.0,0.0,Matches
Gil,br BRA,DF,35.0,32.0,1284.0,1458.0,88.1,24897.0,9602.0,400.0,434.0,92.2,762.0,810.0,94.1,113.0,193.0,58.5,2,1.4,1.1,0.6,3.0,38.0,3.0,0.0,44.0,Matches
Yuri Alberto,br BRA,FW,21.0,30.2,417.0,581.0,71.8,5451.0,801.0,260.0,327.0,79.5,119.0,158.0,75.3,12.0,21.0,57.1,3,2.7,1.5,0.3,22.0,20.0,6.0,0.0,28.0,Matches
Maycon,br BRA,MF,25.0,26.7,1239.0,1482.0,83.6,21970.0,6030.0,533.0,590.0,90.3,566.0,627.0,90.3,116.0,200.0,58.0,3,1.7,1.6,1.3,21.0,155.0,18.0,2.0,163.0,Matches
Fagner,br BRA,DF,33.0,23.3,1209.0,1573.0,76.9,21565.0,9894.0,546.0,600.0,91.0,519.0,667.0,77.8,128.0,254.0,50.4,1,2.3,3.3,-1.3,41.0,135.0,34.0,17.0,138.0,Matches
Fábio Santos,br BRA,DF,37.0,18.6,935.0,1124.0,83.2,14698.0,5984.0,497.0,547.0,90.9,372.0,431.0,86.3,51.0,97.0,52.6,1,0.4,0.5,0.6,9.0,64.0,11.0,3.0,81.0,Matches
Bruno Méndez,uy URU,DF,23.0,18.3,786.0,984.0,79.9,14923.0,6083.0,296.0,335.0,88.4,392.0,464.0,84.5,89.0,154.0,57.8,0,0.2,0.4,-0.2,7.0,60.0,6.0,3.0,62.0,Matches
Matheus Bidu,br BRA,DF,23.0,18.4,897.0,1129.0,79.5,14172.0,4790.0,500.0,537.0,93.1,312.0,386.0,80.8,63.0,146.0,43.2,0,1.4,1.5,-1.4,26.0,73.0,17.0,11.0,88.0,Matches
Giuliano de Paula,br BRA,"MF,FW",32.0,18.1,789.0,908.0,86.9,11971.0,3040.0,413.0,442.0,93.4,296.0,341.0,86.8,48.0,65.0,73.8,1,0.8,0.9,0.2,15.0,69.0,9.0,0.0,97.0,Matches
Fausto Vera,ar ARG,MF,22.0,15.3,694.0,824.0,84.2,11960.0,3062.0,332.0,367.0,90.5,286.0,325.0,88.0,63.0,93.0,67.7,2,1.4,1.0,0.6,8.0,76.0,6.0,1.0,70.0,Matches
Renato Augusto,br BRA,MF,34.0,14.2,618.0,757.0,81.6,10447.0,3025.0,313.0,343.0,91.3,220.0,251.0,87.6,64.0,117.0,54.7,4,2.1,2.5,1.9,44.0,73.0,20.0,4.0,98.0,Matches
Roger Guedes,br BRA,"FW,MF",26.0,15.0,374.0,494.0,75.7,5623.0,1280.0,241.0,280.0,86.1,93.0,124.0,75.0,30.0,53.0,56.6,1,0.8,0.8,0.2,16.0,31.0,8.0,1.0,50.0,Matches
Lucas Veríssimo,br BRA,DF,27.0,14.5,704.0,786.0,89.6,13264.0,5281.0,244.0,269.0,90.7,396.0,428.0,92.5,61.0,80.0,76.3,2,0.6,0.6,1.4,4.0,31.0,0.0,0.0,32.0,Matches
Gabriel Moscardo,br BRA,MF,17.0,12.6,456.0,542.0,84.1,7977.0,1722.0,200.0,229.0,87.3,206.0,230.0,89.6,42.0,57.0,73.7,1,0.9,0.7,0.1,2.0,44.0,4.0,1.0,28.0,Matches
