Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Cássio,br BRA,GK,35.0,36.8,1172.0,1037.0,1167.0,5.0,0.0,0.0,1172.0,0.0,0.0,,0.0,,551.0,3507.0,2435.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,Matches
Gil,br BRA,DF,35.0,32.0,1761.0,353.0,1013.0,706.0,52.0,41.0,1761.0,5.0,1.0,20.0,4.0,80.0,1036.0,3768.0,1671.0,4.0,6.0,0.0,4.0,2.0,1196.0,5.0,Matches
Yuri Alberto,br BRA,FW,21.0,30.2,911.0,23.0,63.0,420.0,436.0,138.0,911.0,51.0,23.0,45.1,20.0,39.2,522.0,2572.0,959.0,41.0,30.0,20.0,93.0,35.0,702.0,204.0,Matches
Maycon,br BRA,MF,25.0,26.7,1721.0,65.0,333.0,1119.0,278.0,25.0,1721.0,19.0,11.0,57.9,8.0,42.1,972.0,3695.0,2005.0,30.0,16.0,5.0,25.0,14.0,1230.0,33.0,Matches
Fagner,br BRA,DF,33.0,23.3,1790.0,98.0,552.0,861.0,394.0,18.0,1790.0,29.0,13.0,44.8,14.0,48.3,948.0,4083.0,2277.0,45.0,35.0,4.0,27.0,11.0,1076.0,83.0,Matches
Fábio Santos,br BRA,DF,37.0,18.6,1286.0,87.0,431.0,584.0,285.0,14.0,1281.0,8.0,4.0,50.0,1.0,12.5,675.0,3020.0,1639.0,24.0,20.0,1.0,13.0,3.0,810.0,59.0,Matches
Bruno Méndez,uy URU,DF,23.0,18.3,1162.0,105.0,498.0,532.0,138.0,5.0,1162.0,4.0,1.0,25.0,2.0,50.0,593.0,2264.0,1201.0,16.0,13.0,1.0,8.0,5.0,719.0,23.0,Matches
Matheus Bidu,br BRA,DF,23.0,18.4,1356.0,88.0,396.0,601.0,375.0,16.0,1356.0,36.0,13.0,36.1,17.0,47.2,738.0,4062.0,2383.0,58.0,31.0,2.0,24.0,9.0,773.0,100.0,Matches
Giuliano de Paula,br BRA,"MF,FW",32.0,18.1,1068.0,28.0,188.0,667.0,219.0,25.0,1068.0,25.0,12.0,48.0,9.0,36.0,600.0,2259.0,1068.0,15.0,9.0,4.0,26.0,12.0,753.0,34.0,Matches
Fausto Vera,ar ARG,MF,22.0,15.3,1002.0,48.0,300.0,598.0,114.0,8.0,1002.0,20.0,10.0,50.0,8.0,40.0,603.0,3053.0,1538.0,15.0,17.0,1.0,16.0,16.0,701.0,16.0,Matches
Renato Augusto,br BRA,MF,34.0,14.2,881.0,13.0,79.0,467.0,341.0,22.0,881.0,34.0,20.0,58.8,11.0,32.4,545.0,2757.0,1258.0,38.0,21.0,7.0,21.0,12.0,689.0,98.0,Matches
Roger Guedes,br BRA,"FW,MF",26.0,15.0,646.0,14.0,64.0,293.0,298.0,66.0,644.0,41.0,16.0,39.0,20.0,48.8,436.0,2811.0,1295.0,38.0,28.0,17.0,25.0,13.0,517.0,100.0,Matches
Lucas Veríssimo,br BRA,DF,27.0,14.5,934.0,145.0,488.0,411.0,36.0,23.0,934.0,4.0,2.0,50.0,2.0,50.0,525.0,2459.0,1328.0,4.0,2.0,0.0,6.0,0.0,634.0,3.0,Matches
Gabriel Moscardo,br BRA,MF,17.0,12.6,726.0,56.0,205.0,463.0,72.0,5.0,726.0,36.0,23.0,63.9,12.0,33.3,398.0,2069.0,1175.0,17.0,11.0,2.0,27.0,10.0,458.0,16.0,Matches
Caetano,br BRA,DF,23.0,13.4,924.0,136.0,489.0,418.0,21.0,6.0,924.0,2.0,1.0,50.0,1.0,50.0,551.0,2014.0,1170.0,2.0,5.0,1.0,3.0,0.0,679.0,0.0,Matches
Ángel Romero,py PAR,FW,30.0,13.3,688.0,19.0,104.0,269.0,321.0,33.0,688.0,60.0,14.0,23.3,42.0,70.0,437.0,2524.0,1202.0,41.0,34.0,4.0,25.0,12.0,512.0,131.0,Matches
Murillo,br BRA,DF,20.0,12.9,853.0,146.0,437.0,396.0,28.0,9.0,853.0,14.0,9.0,64.3,3.0,21.4,494.0,2162.0,1144.0,10.0,7.0,0.0,5.0,3.0,551.0,2.0,Matches
Ruan Oliveira Ferreira,br BRA,"MF,FW",22.0,9.8,472.0,11.0,72.0,253.0,152.0,10.0,472.0,28.0,16.0,57.1,9.0,32.1,248.0,1570.0,786.0,23.0,15.0,1.0,19.0,10.0,291.0,44.0,Matches
Adson,br BRA,"FW,MF",22.0,9.5,497.0,7.0,78.0,232.0,198.0,22.0,497.0,42.0,25.0,59.5,14.0,33.3,336.0,2594.0,1468.0,49.0,33.0,7.0,17.0,5.0,357.0,68.0,Matches
Wesley Ribeiro,br BRA,"FW,MF",17.0,9.6,449.0,9.0,52.0,195.0,216.0,27.0,449.0,102.0,46.0,45.1,37.0,36.3,338.0,3425.0,1690.0,60.0,49.0,14.0,38.0,17.0,339.0,97.0,Matches
Budiga Roni,br BRA,MF,23.0,7.5,489.0,22.0,135.0,315.0,40.0,2.0,489.0,3.0,2.0,66.7,1.0,33.3,288.0,1093.0,447.0,4.0,1.0,0.0,7.0,3.0,330.0,1.0,Matches
Matías Rojas,py PAR,"MF,FW",27.0,7.0,420.0,5.0,48.0,230.0,145.0,11.0,420.0,14.0,5.0,35.7,9.0,64.3,232.0,1124.0,469.0,13.0,5.0,3.0,13.0,11.0,307.0,27.0,Matches
Pedrinho Santos,br BRA,"FW,MF",16.0,6.9,310.0,3.0,43.0,129.0,143.0,20.0,310.0,40.0,18.0,45.0,18.0,45.0,204.0,1721.0,795.0,26.0,15.0,5.0,20.0,4.0,226.0,52.0,Matches
