Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Cássio,br BRA,GK,35.0,37,37,3310.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gil,br BRA,DF,35.0,32,32,2880.0,32.0,2.0,2.0,4.0,2.0,0.0,0.0,10.0,0.0,2.2,2.2,1.4,3.6,4.0,44.0,5.0,0.06,0.06,0.12,0.06,0.12,0.07,0.04,0.11,0.07,0.11,Matches
Yuri Alberto,br BRA,FW,21.0,34,32,2722.0,30.2,8.0,3.0,11.0,8.0,0.0,0.0,6.0,0.0,10.0,10.0,2.7,12.7,41.0,28.0,204.0,0.26,0.1,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,Matches
Maycon,br BRA,MF,25.0,32,27,2403.0,26.7,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,1.4,1.4,1.7,3.1,30.0,163.0,33.0,0.07,0.11,0.19,0.07,0.19,0.05,0.06,0.12,0.05,0.12,Matches
Fagner,br BRA,DF,33.0,30,22,2095.0,23.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.3,0.3,2.3,2.6,45.0,138.0,83.0,0.0,0.04,0.04,0.0,0.04,0.01,0.1,0.11,0.01,0.11,Matches
Fábio Santos,br BRA,DF,37.0,25,20,1673.0,18.6,4.0,1.0,5.0,0.0,4.0,5.0,7.0,0.0,4.0,0.1,0.4,0.5,24.0,81.0,59.0,0.22,0.05,0.27,0.0,0.05,0.22,0.02,0.24,0.01,0.03,Matches
Bruno Méndez,uy URU,DF,23.0,27,20,1650.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.2,0.4,16.0,62.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Matheus Bidu,br BRA,DF,23.0,24,19,1659.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.4,1.8,58.0,88.0,100.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Matches
Giuliano de Paula,br BRA,"MF,FW",32.0,30,19,1633.0,18.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.8,2.3,15.0,97.0,34.0,0.11,0.06,0.17,0.11,0.17,0.08,0.04,0.13,0.08,0.13,Matches
Fausto Vera,ar ARG,MF,22.0,21,17,1381.0,15.3,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,2.1,15.0,70.0,16.0,0.07,0.13,0.2,0.07,0.2,0.05,0.09,0.14,0.05,0.14,Matches
Renato Augusto,br BRA,MF,34.0,24,16,1282.0,14.2,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.1,1.1,2.1,3.2,38.0,98.0,98.0,0.14,0.28,0.42,0.14,0.42,0.08,0.15,0.22,0.08,0.22,Matches
Roger Guedes,br BRA,"FW,MF",26.0,15,15,1349.0,15.0,7.0,1.0,8.0,5.0,2.0,2.0,3.0,0.0,6.6,5.1,0.8,5.8,38.0,50.0,100.0,0.47,0.07,0.53,0.33,0.4,0.44,0.05,0.49,0.34,0.39,Matches
Lucas Veríssimo,br BRA,DF,27.0,15,15,1304.0,14.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.7,0.7,0.6,1.3,4.0,32.0,3.0,0.07,0.14,0.21,0.07,0.21,0.05,0.04,0.09,0.05,0.09,Matches
Gabriel Moscardo,br BRA,MF,17.0,18,15,1132.0,12.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.3,0.3,0.9,1.2,17.0,28.0,16.0,0.08,0.08,0.16,0.08,0.16,0.02,0.07,0.1,0.02,0.1,Matches
Caetano,br BRA,DF,23.0,16,13,1204.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Ángel Romero,py PAR,FW,30.0,22,13,1196.0,13.3,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,3.8,3.8,2.6,6.4,41.0,49.0,131.0,0.6,0.08,0.68,0.6,0.68,0.29,0.2,0.48,0.29,0.48,Matches
Murillo,br BRA,DF,20.0,13,13,1165.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.6,0.8,10.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
