Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Gabriel,br BRA,GK,30.0,30.7,1002,649,349,93,0,2,0,0,0,0,0,0,663,4,0,Matches
Robson,br BRA,"MF,FW",31.0,26.1,722,685,31,8,9,3,53,12,5,2,1,0,457,6,21,Matches
Natanael,br BRA,DF,21.0,27.8,1224,913,311,17,1,0,77,288,6,2,4,0,944,0,37,Matches
Marcelino Moreno,ar ARG,MF,28.0,25.6,971,787,172,61,12,6,157,27,79,46,23,0,712,12,21,Matches
Bruno Gomes,br BRA,MF,21.0,24.4,901,824,68,39,3,4,30,6,19,8,7,0,682,9,18,Matches
Benjamín Kuscevic,cl CHI,DF,26.0,22.5,952,894,55,50,0,13,2,4,0,0,0,0,782,3,6,Matches
Henrique,br BRA,DF,36.0,22.5,726,685,39,35,1,1,0,1,0,0,0,0,643,2,0,Matches
Jamerson,br BRA,"DF,FW",24.0,21.0,923,723,200,12,0,3,61,182,6,5,1,0,706,0,25,Matches
Sebastián Gómez,co COL,MF,26.0,15.9,544,516,24,12,0,2,14,7,5,5,0,0,454,4,8,Matches
Victor Luis,br BRA,DF,29.0,17.4,867,667,196,42,0,7,68,137,17,14,3,0,646,4,15,Matches
Matheus Bianqui,br BRA,MF,25.0,15.8,466,448,17,10,2,9,9,6,0,0,0,0,329,1,18,Matches
Andrey Ramos do Nascimento,br BRA,MF,24.0,12.5,705,661,43,28,2,6,27,3,12,7,3,0,607,1,10,Matches
Willian Farias,br BRA,MF,33.0,10.7,452,438,14,12,2,3,1,2,0,0,0,0,384,0,8,Matches
Thalisson Gabriel,br BRA,DF,21.0,10.5,464,446,17,15,0,3,1,2,0,0,0,0,380,1,5,Matches
Islam Slimani,dz ALG,FW,34.0,9.1,216,188,26,0,0,1,2,0,0,0,0,0,157,2,6,Matches
Kaio,br BRA,"MF,FW",18.0,9.8,246,235,8,3,3,2,17,3,2,2,0,0,173,3,7,Matches
Bruno Viana,br BRA,DF,27.0,9.0,427,401,26,24,1,9,2,0,0,0,0,0,356,0,3,Matches
Alef Manga,br BRA,"FW,MF",28.0,8.9,248,228,18,0,0,2,11,3,2,0,1,0,190,2,7,Matches
Diogo,br BRA,"FW,MF",26.0,8.4,175,151,23,0,0,0,7,2,0,0,0,0,120,1,4,Matches
Liziero,br BRA,MF,24.0,6.5,309,298,10,6,0,4,5,4,0,0,0,0,246,1,5,Matches
Zé Roberto,br BRA,"FW,MF",29.0,5.8,134,120,13,1,0,1,2,0,0,0,0,0,86,1,3,Matches
Thiago Dombroski,br BRA,DF,20.0,5.6,260,253,7,7,0,10,0,0,0,0,0,0,197,0,1,Matches
Jean Pedroso,br BRA,DF,19.0,6.5,284,268,16,15,0,1,0,1,0,0,0,0,234,0,3,Matches
Diogo Batista,br BRA,"DF,MF",19.0,5.9,277,222,54,8,0,3,14,44,2,1,1,0,201,1,6,Matches
Rodrigo Pinho,br BRA,FW,31.0,4.3,71,61,10,0,1,0,1,0,0,0,0,0,46,0,5,Matches
Maurício Garcez,br BRA,"MF,FW",25.0,6.6,137,130,6,1,0,0,9,2,0,0,0,0,92,1,9,Matches
Fransérgio,br BRA,MF,32.0,5.9,298,284,14,14,1,3,3,0,0,0,0,0,234,0,10,Matches
Luan Polli,br BRA,GK,29.0,4.3,108,67,41,11,0,0,0,0,0,0,0,0,72,0,0,Matches
Andreas Samaris,gr GRE,MF,33.0,2.0,92,83,9,9,0,1,0,0,0,0,0,0,83,0,1,Matches
Gabriel Boschilia,br BRA,"MF,FW",26.0,3.8,182,162,19,5,2,3,15,4,9,4,3,0,145,1,2,Matches
Hayner,br BRA,"DF,MF",27.0,3.4,142,114,28,1,0,2,12,26,1,0,1,0,96,0,3,Matches
Jhon Chancellor,ve VEN,DF,31.0,3.4,101,99,2,2,0,0,0,0,0,0,0,0,80,0,0,Matches
Pedro Luccas,br BRA,GK,19.0,3.0,99,63,36,4,0,1,0,0,0,0,0,0,65,0,0,Matches
Edu,br BRA,"FW,MF",29.0,3.6,84,74,10,1,0,0,5,1,0,0,0,0,54,0,5,Matches
