Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Gabriel,br BRA,GK,30.0,31,2765.0,89.0,80.8,30.7,31,89.0,30,0,,0,0.84,32.0,60.0,-28.0,-0.91,-0.36,30.8,47.5,-16.8,-0.55,0.11,Matches
Robson,br BRA,"MF,FW",31.0,32,2351.0,73.0,68.7,26.1,30,76.0,11,2,37.0,1,0.84,31.0,46.0,-15.0,-0.57,0.86,29.0,39.4,-10.4,-0.4,0.54,Matches
Natanael,br BRA,DF,21.0,33,2506.0,76.0,73.3,27.8,29,83.0,20,4,28.0,3,0.82,30.0,45.0,-15.0,-0.54,1.14,27.1,38.8,-11.7,-0.42,0.55,Matches
Marcelino Moreno,ar ARG,MF,28.0,31,2306.0,74.0,67.4,25.6,27,81.0,14,4,29.0,4,0.81,29.0,43.0,-14.0,-0.55,0.91,26.8,38.4,-11.6,-0.45,0.36,Matches
Bruno Gomes,br BRA,MF,21.0,29,2194.0,76.0,64.2,24.4,26,80.0,13,3,38.0,0,0.72,27.0,44.0,-17.0,-0.7,0.4,25.8,37.6,-11.7,-0.48,0.24,Matches
Benjamín Kuscevic,cl CHI,DF,26.0,23,2025.0,88.0,59.2,22.5,23,88.0,22,0,,0,0.83,23.0,46.0,-23.0,-1.02,-0.44,24.3,40.3,-16.0,-0.71,-0.35,Matches
Henrique,br BRA,DF,36.0,24,2024.0,84.0,59.2,22.5,23,88.0,21,1,9.0,5,1.13,30.0,38.0,-8.0,-0.36,1.19,23.5,31.5,-7.9,-0.35,0.53,Matches
Jamerson,br BRA,"DF,FW",24.0,29,1893.0,65.0,55.4,21.0,22,80.0,15,7,19.0,6,0.9,23.0,46.0,-23.0,-1.09,-0.56,25.1,35.4,-10.3,-0.49,0.18,Matches
Sebastián Gómez,co COL,MF,26.0,20,1427.0,71.0,41.7,15.9,18,75.0,6,2,39.0,0,0.75,19.0,33.0,-14.0,-0.88,-0.07,14.6,28.1,-13.5,-0.85,-0.48,Matches
Victor Luis,br BRA,DF,29.0,24,1568.0,65.0,45.8,17.4,17,81.0,9,7,27.0,11,1.08,19.0,27.0,-8.0,-0.46,0.71,15.4,23.6,-8.2,-0.47,0.18,Matches
Matheus Bianqui,br BRA,MF,25.0,28,1420.0,51.0,41.5,15.8,17,67.0,3,11,25.0,6,0.79,16.0,25.0,-9.0,-0.57,0.46,15.2,21.5,-6.3,-0.4,0.29,Matches
