Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-16,16:00,Série A,Matchweek 1,Sun,Away,L,1,2,Corinthians,0.5,1.5,60,41304.0,Rafael Cabral,4-2-3-1,Anderson Daronco,Match Report,
2023-04-22,21:00,Série A,Matchweek 2,Sat,Home,W,1,0,Grêmio,1.5,0.8,49,21605.0,Rafael Cabral,4-2-3-1,Flavio Rodrigues de Souza,Match Report,
2023-04-29,18:30,Série A,Matchweek 3,Sat,Away,W,3,0,Bragantino,2.0,1.5,54,4829.0,Rafael Cabral,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-05-06,16:00,Série A,Matchweek 4,Sat,Home,W,2,1,Santos,1.6,1.0,55,21191.0,Rafael Cabral,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2023-05-10,21:30,Série A,Matchweek 5,Wed,Home,L,0,2,Fluminense,2.1,1.2,48,51846.0,Rafael Cabral,4-2-3-1,Flavio de Souza,Match Report,
2023-05-14,18:30,Série A,Matchweek 6,Sun,Away,W,4,0,América (MG),2.6,1.3,52,4295.0,Rafael Cabral,4-3-3,Wilton Sampaio,Match Report,
2023-05-22,20:00,Série A,Matchweek 7,Mon,Home,L,0,1,Cuiabá,1.2,1.2,65,15722.0,Rafael Cabral,4-3-3,Savio Pereira,Match Report,
2023-05-27,18:30,Série A,Matchweek 8,Sat,Away,D,1,1,Flamengo,1.2,2.0,38,65270.0,Rafael Cabral,4-3-3,Luiz Flávio de Oliveira,Match Report,
2023-06-03,18:30,Série A,Matchweek 9,Sat,Home,L,0,1,Atlético Mineiro,1.8,0.6,64,34344.0,Rafael Cabral,4-3-3,Savio Pereira,Match Report,
2023-06-10,18:30,Série A,Matchweek 10,Sat,Away,D,2,2,Bahia,2.4,1.4,52,34019.0,Rafael Cabral,4-3-3,Rodrigo José Pereira de Lima,Match Report,
2023-06-21,19:00,Série A,Matchweek 11,Wed,Home,L,0,1,Fortaleza,1.1,1.8,67,28494.0,Rafael Cabral,4-3-3,Bruno Arleu de Araujo,Match Report,
