Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Marllon Borges,br BRA,DF,30.0,36.0,10,0.28,8,0,0,2,0,0,1,0.03,0,0,0,1,0,0,Matches
Walter,br BRA,GK,35.0,35.0,3,0.09,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Deyverson,br BRA,FW,31.0,32.3,57,1.77,43,0,2,8,2,2,8,0.25,6,0,0,1,1,0,Matches
Raniele,br BRA,"MF,DF",26.0,32.1,41,1.28,27,0,0,4,6,4,5,0.16,1,0,0,2,2,0,Matches
Matheus Alexandre,br BRA,DF,23.0,33.1,43,1.3,35,4,0,1,1,2,3,0.09,2,1,0,0,0,0,Matches
Alan Empereur,br BRA,DF,28.0,32.8,25,0.76,23,2,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Rikelme,br BRA,DF,19.0,26.0,47,1.81,35,5,0,6,1,0,5,0.19,4,0,0,1,0,0,Matches
Denilson,br BRA,MF,21.0,21.2,89,4.2,59,12,9,4,3,2,6,0.28,5,1,0,0,0,0,Matches
Jonathan Cafu,br BRA,"FW,MF",31.0,19.0,55,2.9,45,1,4,2,3,0,6,0.32,4,0,0,0,2,0,Matches
Clayson,br BRA,"FW,MF",27.0,18.2,62,3.41,29,15,4,4,8,2,5,0.27,2,1,0,0,1,1,Matches
Fernando Sobral,br BRA,MF,28.0,21.1,58,2.74,35,6,7,1,6,3,4,0.19,3,0,1,0,0,0,Matches
Allyson Aires dos Santos,br BRA,DF,32.0,12.6,3,0.24,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wellington Silva,br BRA,FW,30.0,14.8,64,4.31,47,0,6,3,8,0,4,0.27,2,0,1,0,1,0,Matches
Pablo Ceppelini,uy URU,MF,31.0,11.1,51,4.62,19,27,1,3,1,0,3,0.27,0,3,0,0,0,0,Matches
Filipe Augusto,br BRA,MF,29.0,11.8,23,1.94,14,7,1,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Isidro Pitta,py PAR,FW,23.0,9.1,26,2.84,18,0,2,1,5,0,3,0.33,3,0,0,0,0,0,Matches
Lucas Mineiro,br BRA,MF,26.0,6.8,14,2.06,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Derik Lacerda,br BRA,"FW,MF",23.0,7.3,25,3.41,13,0,5,2,4,1,5,0.68,2,0,1,0,2,0,Matches
Patric Calmon,br BRA,DF,28.0,5.8,16,2.77,14,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emerson Negueba,br BRA,FW,22.0,5.4,10,1.86,6,0,2,1,1,0,1,0.19,1,0,0,0,0,0,Matches
Matheusinho,br BRA,DF,24.0,4.8,11,2.29,7,1,0,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Ronald,br BRA,MF,25.0,6.5,19,2.92,14,2,1,0,1,1,2,0.31,2,0,0,0,0,0,Matches
Iury de Castilho,br BRA,FW,27.0,4.4,8,1.81,5,0,2,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Uendel,br BRA,DF,34.0,4.0,3,0.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Carlos,br BRA,GK,34.0,3.0,1,0.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Quagliata,uy URU,"FW,MF",23.0,2.6,13,4.98,8,2,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablinho,br BRA,FW,19.0,0.4,1,2.65,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Rafael Gava,br BRA,MF,29.0,0.2,2,10.0,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitão,br BRA,DF,22.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ricardo,br BRA,MF,20.0,0.1,1,11.25,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,38.0,781,20.55,525,89,47,47,56,17,63,1.66,39,6,3,5,9,1,
Opponent Total,,,27.6,38.0,837,22.03,622,66,71,42,31,5,67,1.76,49,2,6,6,4,0,
