Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Marllon Borges,br BRA,DF,30.0,36.0,7,0,0,28,18,1,1,27,34,0,1,0,174,62,35,63.9,Matches
Walter,br BRA,GK,35.0,35.0,3,0,0,1,4,0,0,2,0,0,1,0,21,10,0,100.0,Matches
Deyverson,br BRA,FW,31.0,32.3,6,0,0,33,72,35,16,8,9,1,0,0,90,136,108,55.7,Matches
Raniele,br BRA,"MF,DF",26.0,32.1,10,0,0,36,67,1,15,37,41,0,1,0,145,86,44,66.2,Matches
Matheus Alexandre,br BRA,DF,23.0,33.1,5,0,0,36,12,4,72,42,58,0,1,0,177,39,31,55.7,Matches
Alan Empereur,br BRA,DF,28.0,32.8,9,0,0,20,17,0,13,27,15,0,0,1,139,46,40,53.5,Matches
Rikelme,br BRA,DF,19.0,26.0,3,0,0,24,18,3,84,40,46,0,0,1,109,40,23,63.5,Matches
Denilson,br BRA,MF,21.0,21.2,8,0,0,37,33,0,80,13,30,0,0,0,151,6,10,37.5,Matches
Jonathan Cafu,br BRA,"FW,MF",31.0,19.0,5,0,0,34,43,6,49,10,21,2,0,0,92,20,31,39.2,Matches
Clayson,br BRA,"FW,MF",27.0,18.2,3,1,1,18,44,4,102,8,10,1,0,0,79,8,10,44.4,Matches
Fernando Sobral,br BRA,MF,28.0,21.1,7,0,0,36,41,1,48,15,45,1,0,0,123,15,12,55.6,Matches
Allyson Aires dos Santos,br BRA,DF,32.0,12.6,1,0,0,9,15,0,1,8,14,0,0,0,55,28,15,65.1,Matches
Wellington Silva,br BRA,FW,30.0,14.8,1,0,0,13,39,3,30,6,15,0,0,0,71,7,11,38.9,Matches
Pablo Ceppelini,uy URU,MF,31.0,11.1,3,0,0,15,14,1,120,9,6,0,0,0,54,5,9,35.7,Matches
Filipe Augusto,br BRA,MF,29.0,11.8,6,1,1,26,15,0,35,7,15,0,0,0,73,14,15,48.3,Matches
Isidro Pitta,py PAR,FW,23.0,9.1,0,0,0,22,18,6,18,2,1,0,0,0,30,23,24,48.9,Matches
Lucas Mineiro,br BRA,MF,26.0,6.8,4,0,0,15,10,1,5,4,3,0,0,0,26,11,12,47.8,Matches
Derik Lacerda,br BRA,"FW,MF",23.0,7.3,0,0,0,20,26,2,8,3,10,2,0,0,24,10,9,52.6,Matches
Patric Calmon,br BRA,DF,28.0,5.8,3,1,1,11,4,1,29,9,9,0,0,0,22,13,7,65.0,Matches
Emerson Negueba,br BRA,FW,22.0,5.4,0,0,0,5,14,1,9,3,4,0,0,0,26,7,14,33.3,Matches
Matheusinho,br BRA,DF,24.0,4.8,2,0,0,6,10,0,23,5,8,0,0,0,34,8,6,57.1,Matches
Ronald,br BRA,MF,25.0,6.5,2,0,0,12,11,0,24,9,9,0,0,0,56,5,4,55.6,Matches
Iury de Castilho,br BRA,FW,27.0,4.4,1,0,0,8,11,6,10,1,3,0,0,0,20,9,17,34.6,Matches
Uendel,br BRA,DF,34.0,4.0,1,0,0,3,1,0,17,0,1,0,0,0,12,4,3,57.1,Matches
João Carlos,br BRA,GK,34.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Nicolás Quagliata,uy URU,"FW,MF",23.0,2.6,0,0,0,4,3,1,18,0,2,0,0,0,18,0,1,0.0,Matches
Pablinho,br BRA,FW,19.0,0.4,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,100.0,Matches
Rafael Gava,br BRA,MF,29.0,0.2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,Matches
Vitão,br BRA,DF,22.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Ricardo,br BRA,MF,20.0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,28.1,38.0,90,3,3,473,564,77,828,295,411,7,4,2,1824,613,493,55.4,
Opponent Total,,,27.6,38.0,109,7,3,583,444,64,754,297,324,4,8,1,1859,493,611,44.7,
