Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Marllon Borges,br BRA,DF,30.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,1.39,39.0,36.0,3.0,0.08,1.08,36.8,40.1,-3.3,-0.09,0.03,Matches
Walter,br BRA,GK,35.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,0,1.37,36.0,35.0,1.0,0.03,0.03,34.8,38.3,-3.5,-0.1,-0.09,Matches
Deyverson,br BRA,FW,31.0,36,2906.0,81.0,85.0,32.3,34,84.0,19,2,27.0,0,1.39,30.0,33.0,-3.0,-0.09,-0.79,31.3,34.1,-2.8,-0.09,0.04,Matches
Raniele,br BRA,"MF,DF",26.0,35,2885.0,82.0,84.4,32.1,34,83.0,19,1,48.0,0,1.4,33.0,31.0,2.0,0.06,0.23,31.9,34.3,-2.3,-0.07,0.13,Matches
Matheus Alexandre,br BRA,DF,23.0,35,2980.0,85.0,87.1,33.1,33,89.0,31,2,17.0,2,1.43,37.0,30.0,7.0,0.21,1.44,33.8,33.8,0.0,0.0,0.73,Matches
Alan Empereur,br BRA,DF,28.0,33,2950.0,89.0,86.3,32.8,33,89.0,32,0,,2,1.3,32.0,36.0,-4.0,-0.12,-1.08,31.9,36.6,-4.7,-0.14,-0.36,Matches
Rikelme,br BRA,DF,19.0,31,2338.0,75.0,68.4,26.0,27,82.0,12,4,34.0,3,1.42,29.0,22.0,7.0,0.27,0.77,24.0,26.1,-2.1,-0.08,0.05,Matches
Denilson,br BRA,MF,21.0,33,1908.0,58.0,55.8,21.2,23,72.0,4,10,25.0,3,1.24,18.0,18.0,0.0,0.0,-0.06,23.1,19.8,3.2,0.15,0.56,Matches
Jonathan Cafu,br BRA,"FW,MF",31.0,32,1708.0,53.0,49.9,19.0,23,66.0,0,9,20.0,2,1.44,19.0,18.0,1.0,0.05,0.05,17.5,19.8,-2.3,-0.12,-0.06,Matches
Clayson,br BRA,"FW,MF",27.0,23,1639.0,71.0,47.9,18.2,22,73.0,3,1,32.0,0,1.57,20.0,14.0,6.0,0.33,0.58,17.6,16.5,1.1,0.06,0.3,Matches
Fernando Sobral,br BRA,MF,28.0,33,1903.0,58.0,55.6,21.1,21,74.0,6,12,29.0,3,1.27,21.0,20.0,1.0,0.05,0.05,20.2,23.0,-2.8,-0.13,-0.09,Matches
Allyson Aires dos Santos,br BRA,DF,32.0,16,1133.0,71.0,33.1,12.6,14,80.0,10,2,9.0,21,1.44,14.0,12.0,2.0,0.16,0.2,12.7,12.8,-0.1,-0.01,0.13,Matches
Wellington Silva,br BRA,FW,30.0,29,1336.0,46.0,39.1,14.8,13,75.0,3,16,22.0,5,1.38,17.0,20.0,-3.0,-0.2,-0.37,14.7,18.3,-3.6,-0.24,-0.25,Matches
Pablo Ceppelini,uy URU,MF,31.0,21,997.0,47.0,29.2,11.1,12,73.0,3,9,13.0,1,1.1,10.0,13.0,-3.0,-0.27,-0.42,10.5,11.7,-1.2,-0.11,-0.02,Matches
Filipe Augusto,br BRA,MF,29.0,27,1065.0,39.0,31.1,11.8,9,73.0,2,18,23.0,5,1.3,17.0,15.0,2.0,0.17,0.21,14.1,14.7,-0.6,-0.05,0.06,Matches
Isidro Pitta,py PAR,FW,23.0,29,823.0,28.0,24.1,9.1,7,69.0,1,22,15.0,9,1.45,14.0,8.0,6.0,0.66,0.83,11.0,11.8,-0.8,-0.09,0.01,Matches
Lucas Mineiro,br BRA,MF,26.0,16,612.0,38.0,17.9,6.8,7,60.0,0,9,21.0,3,1.44,6.0,7.0,-1.0,-0.15,-0.21,7.7,9.3,-1.6,-0.23,-0.17,Matches
Derik Lacerda,br BRA,"FW,MF",23.0,19,658.0,35.0,19.2,7.3,5,60.0,0,14,26.0,1,1.37,9.0,4.0,5.0,0.68,0.81,10.4,7.1,3.3,0.45,0.67,Matches
Patric Calmon,br BRA,DF,28.0,15,520.0,35.0,15.2,5.8,5,77.0,2,10,13.0,19,0.87,4.0,11.0,-7.0,-1.21,-1.46,6.0,10.3,-4.3,-0.74,-0.77,Matches
Emerson Negueba,br BRA,FW,22.0,10,484.0,48.0,14.2,5.4,5,71.0,1,5,25.0,26,1.2,6.0,10.0,-4.0,-0.74,-0.9,4.2,8.4,-4.1,-0.77,-0.79,Matches
Matheusinho,br BRA,DF,24.0,5,433.0,87.0,12.7,4.8,5,87.0,4,0,,1,0.8,5.0,8.0,-3.0,-0.62,-0.74,4.4,7.7,-3.3,-0.68,-0.68,Matches
Ronald,br BRA,MF,25.0,21,585.0,28.0,17.1,6.5,4,76.0,1,17,17.0,13,1.24,9.0,10.0,-1.0,-0.15,-0.22,7.4,10.1,-2.8,-0.43,-0.41,Matches
Iury de Castilho,br BRA,FW,27.0,10,398.0,40.0,11.6,4.4,4,72.0,0,6,18.0,5,1.8,4.0,3.0,1.0,0.23,0.23,4.9,4.2,0.8,0.17,0.3,Matches
Uendel,br BRA,DF,34.0,9,358.0,40.0,10.5,4.0,4,57.0,0,5,26.0,12,1.56,5.0,3.0,2.0,0.5,0.53,7.0,3.0,4.0,1.02,1.24,Matches
João Carlos,br BRA,GK,34.0,3,270.0,90.0,7.9,3.0,3,90.0,3,0,,35,1.0,4.0,4.0,0.0,0.0,-0.03,3.8,3.9,0.0,-0.02,0.09,Matches
Nicolás Quagliata,uy URU,"FW,MF",23.0,9,233.0,26.0,6.8,2.6,0,,0,9,26.0,4,0.89,2.0,6.0,-4.0,-1.55,-1.69,2.1,5.6,-3.5,-1.34,-1.34,Matches
Pablinho,br BRA,FW,19.0,2,34.0,17.0,1.0,0.4,0,,0,2,17.0,4,0.5,0.0,0.0,0.0,0.0,-0.03,0.3,0.3,0.1,0.21,0.31,Matches
Rafael Gava,br BRA,MF,29.0,1,18.0,18.0,0.5,0.2,0,,0,1,18.0,0,0.0,0.0,0.0,0.0,0.0,-0.03,0.2,0.5,-0.3,-1.55,-1.47,Matches
Vitão,br BRA,DF,22.0,1,12.0,12.0,0.4,0.1,0,,0,1,12.0,20,1.0,0.0,1.0,-1.0,-7.5,-7.55,0.2,0.5,-0.3,-2.03,-1.94,Matches
Ricardo,br BRA,MF,20.0,1,8.0,8.0,0.2,0.1,0,,0,1,8.0,11,1.0,0.0,0.0,0.0,0.0,-0.03,0.1,0.0,0.0,0.27,0.37,Matches
Calebe,br BRA,MF,19.0,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
Luiz Felipe,br BRA,MF,18.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
João Maraninir,br BRA,DF,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Vinicius Melo,br BRA,GK,23.0,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Juan Pablo,br BRA,DF,20.0,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Victor Yan,br BRA,MF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.1,38,3420.0,90.0,100.0,38.0,418,80.0,227,188,21.0,261,1.34,40.0,39.0,1.0,0.03,,38.6,42.2,-3.6,-0.09,,
Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,80.0,227,187,23.0,260,1.42,39.0,40.0,-1.0,-0.03,,42.2,38.6,3.6,0.09,,
