Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Fabrício Bruno,br BRA,DF,26.0,34.0,2551,247,1040,1429,97,26,2551,5,4,80.0,1,20.0,1634,8234,4962,32,22,0,7,2,1786,7,Matches
Léo Pereira,br BRA,DF,27.0,29.4,2369,214,913,1319,148,30,2369,14,9,64.3,3,21.4,1518,8533,5253,43,26,0,26,6,1700,16,Matches
Gerson,br BRA,MF,25.0,29.9,1821,44,230,913,701,106,1821,87,48,55.2,31,35.6,1182,5673,2873,82,59,16,53,33,1377,198,Matches
Ayrton Lucas,br BRA,DF,25.0,28.8,2149,76,527,1071,575,50,2149,89,49,55.1,28,31.5,1299,7260,3666,67,73,11,33,31,1487,133,Matches
Wesley,br BRA,DF,19.0,27.9,1875,75,396,836,664,59,1875,79,31,39.2,41,51.9,1099,5194,2343,49,45,13,65,41,1209,291,Matches
Pedro,br BRA,FW,25.0,23.9,634,17,45,282,319,99,630,43,19,44.2,22,51.2,366,1440,536,16,12,6,55,23,455,108,Matches
Thiago Maia,br BRA,MF,25.0,23.3,1644,63,354,1041,264,8,1644,20,13,65.0,7,35.0,869,3283,1419,16,19,0,23,17,1173,51,Matches
Erick Pulgar,cl CHI,MF,29.0,22.2,1583,67,334,1027,233,18,1583,11,5,45.5,6,54.5,876,3741,1669,16,23,2,23,13,1119,31,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",28.0,20.5,1290,23,105,556,651,83,1290,58,34,58.6,17,29.3,831,3701,1645,38,38,15,55,41,951,170,Matches
Everton Soares,br BRA,"FW,MF",26.0,19.3,967,13,80,271,632,83,967,126,54,42.9,61,48.4,630,4573,2395,85,53,34,24,25,658,217,Matches
Matheus Cunha,br BRA,GK,21.0,17.6,787,510,753,34,0,0,787,0,0,,0,,486,2302,1489,0,0,0,1,0,471,0,Matches
Gabriel Barbosa,br BRA,FW,26.0,17.1,633,0,25,261,350,60,628,14,5,35.7,8,57.1,356,1842,894,26,26,4,17,8,485,112,Matches
Everton Ribeiro,br BRA,"FW,MF",33.0,16.4,1087,12,117,448,532,31,1087,39,16,41.0,20,51.3,693,3788,1997,36,43,6,23,25,828,97,Matches
Agustín Rossi,ar ARG,GK,27.0,15.0,537,384,527,10,0,0,537,0,0,,0,,335,1877,1286,0,0,0,0,0,262,0,Matches
