Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Fábio,br BRA,GK,42.0,35.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,15,2,Matches
André,br BRA,"MF,DF",21.0,29.4,57,37,28,26,3,27,50,54.0,23,27,14,13,31,88,36,2,Matches
Germán Cano,ar ARG,FW,34.0,27.4,14,9,1,12,1,7,24,29.2,17,15,6,9,6,20,11,2,Matches
Lima,br BRA,"MF,FW",26.0,28.1,38,20,9,24,5,16,50,32.0,34,31,9,22,21,59,22,0,Matches
Jhon Arias,co COL,"FW,MF",25.0,26.5,54,31,25,21,8,25,60,41.7,35,47,2,45,9,63,18,1,Matches
Nino,br BRA,DF,25.0,23.9,11,6,10,1,0,5,8,62.5,3,18,14,4,22,33,96,2,Matches
Samuel Xavier,br BRA,DF,32.0,23.4,29,18,12,11,6,20,30,66.7,10,27,12,15,16,45,32,0,Matches
Ganso,br BRA,MF,33.0,19.3,22,17,9,8,5,11,28,39.3,17,13,3,10,6,28,5,0,Matches
Martinelli,br BRA,"MF,DF",21.0,20.9,31,24,12,12,7,15,26,57.7,11,35,18,17,13,44,27,0,Matches
Keno,br BRA,"FW,MF",33.0,17.9,31,15,11,14,6,16,31,51.6,15,11,1,10,10,41,18,0,Matches
Marcelo,br BRA,DF,34.0,14.7,26,19,7,12,7,15,29,51.7,14,13,4,9,12,38,17,1,Matches
Felipe Melo,br BRA,DF,39.0,11.0,12,10,4,7,1,5,11,45.5,6,12,7,5,8,20,44,0,Matches
Guga,br BRA,DF,24.0,16.8,36,21,21,13,2,22,40,55.0,18,16,8,8,14,50,38,0,Matches
John Kennedy,br BRA,"FW,MF",20.0,15.2,15,9,5,7,3,9,19,47.4,10,12,1,11,3,18,10,0,Matches
Alexsander,br BRA,"MF,DF",19.0,13.3,34,19,15,15,4,16,34,47.1,18,20,3,17,10,44,12,0,Matches
Marlon,br BRA,DF,27.0,10.4,11,5,7,3,1,8,10,80.0,2,12,9,3,9,20,30,0,Matches
Diogo Barbosa,br BRA,DF,30.0,12.4,16,11,7,7,2,8,20,40.0,12,5,1,4,10,26,28,0,Matches
David Braz,br BRA,DF,35.0,9.6,11,8,5,4,2,6,10,60.0,4,11,6,5,8,19,50,1,Matches
Thiago dos Santos,br BRA,"DF,MF",33.0,9.1,17,14,12,5,0,10,19,52.6,9,14,8,6,16,33,34,0,Matches
Lelê,br BRA,"FW,MF",25.0,12.7,16,11,7,6,3,3,8,37.5,5,14,1,13,3,19,8,0,Matches
Leonardo Fernández,uy URU,"MF,FW",24.0,7.3,11,5,3,5,3,4,15,26.7,11,10,1,9,4,15,3,0,Matches
Danielzinho,br BRA,MF,27.0,6.8,17,9,9,6,2,11,17,64.7,6,9,4,5,9,26,6,0,Matches
Yony González,co COL,"FW,MF",28.0,6.4,9,5,5,2,2,6,7,85.7,1,8,4,4,2,11,12,0,Matches
Gabriel Pirani,br BRA,"MF,FW",20.0,4.4,8,5,4,1,3,2,6,33.3,4,6,2,4,2,10,5,0,Matches
Manoel,br BRA,DF,32.0,3.2,4,3,2,2,0,4,5,80.0,1,5,4,1,2,6,14,0,Matches
Pedro Rangel,br BRA,GK,22.0,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Felipe Vieira,,DF,,2.3,3,1,2,1,0,2,2,100.0,0,2,1,1,4,7,7,0,Matches
Vitor Mendes,br BRA,DF,23.0,1.2,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,13,0,Matches
Giovanni,br BRA,"MF,DF",21.0,1.1,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,0,0,Matches
Vitor Eudes,br BRA,GK,24.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Justen,br BRA,DF,19.0,0.6,2,1,2,0,0,1,2,50.0,1,1,0,1,2,4,4,0,Matches
Alan Carvalho,cn CHN,MF,33.0,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,Matches
Isaac,br BRA,"MF,DF",18.0,1.5,8,4,4,0,4,3,5,60.0,2,2,0,2,3,11,2,0,Matches
João Neto,br BRA,"MF,DF",19.0,0.6,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Arthur,br BRA,"DF,FW",18.0,0.2,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,Matches
Alexandre Jesus,br BRA,DF,21.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches
Rafael Monteiro,br BRA,MF,18.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.2,38.0,546,339,239,225,82,280,575,48.7,295,400,145,255,258,804,621,11,
Opponent Total,,,27.6,38.0,705,429,342,241,122,349,833,41.9,484,476,127,349,345,1050,759,6,
