Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
João Ricardo Riedi,br BRA,GK,34.0,31.9,5,0,0,1,11,0,0,1,0,0,1,0,19,6,0,100.0,Matches
Titi,br BRA,DF,34.0,31.6,11,0,0,43,29,1,7,34,35,0,3,0,146,61,52,54.0,Matches
Caio Alexandre,br BRA,MF,23.0,29.2,4,0,0,56,42,4,27,24,42,0,0,0,188,8,20,28.6,Matches
Emanuel Brítez,ar ARG,DF,30.0,30.7,11,1,1,44,26,6,11,31,25,0,1,1,155,81,49,62.3,Matches
Bruno Pacheco,br BRA,DF,31.0,29.7,5,0,0,54,53,1,55,39,45,0,0,0,131,52,35,59.8,Matches
Guilherme Tinga,br BRA,DF,29.0,28.7,0,0,0,12,10,3,86,41,31,0,0,0,162,91,47,65.9,Matches
Tomas Pochettino,ar ARG,"MF,FW",26.0,22.1,2,0,0,22,19,2,113,17,22,0,0,0,93,12,26,31.6,Matches
Juan Martín Lucero,ar ARG,FW,31.0,23.0,2,0,0,32,32,20,10,4,7,2,0,0,45,24,50,32.4,Matches
Thiago Galhardo,br BRA,"FW,MF",33.0,20.8,6,0,0,14,30,10,9,8,11,0,0,0,63,33,56,37.1,Matches
José Welison,br BRA,MF,27.0,18.6,9,0,0,42,20,1,33,23,30,0,0,0,131,42,18,70.0,Matches
Yago Pikachu,br BRA,"FW,MF",30.0,19.5,5,0,0,11,29,4,61,13,14,0,0,0,85,5,23,17.9,Matches
Calebe,br BRA,"MF,FW",22.0,16.4,2,0,0,11,52,3,67,6,10,0,0,0,83,2,15,11.8,Matches
Guilherme,br BRA,"FW,MF",27.0,15.7,3,0,0,12,31,5,71,16,13,0,0,0,76,24,35,40.7,Matches
Marinho,br BRA,"FW,MF",32.0,12.7,5,0,0,19,67,7,69,3,8,3,0,0,52,4,14,22.2,Matches
Marcelo,br BRA,DF,27.0,12.0,3,0,0,14,8,1,0,17,12,0,1,0,60,33,15,68.8,Matches
Lucas Sasha,br BRA,MF,32.0,11.3,3,0,0,32,14,1,8,27,40,0,0,0,82,6,12,33.3,Matches
Hércules,br BRA,MF,22.0,8.6,1,0,0,15,7,2,14,5,18,0,0,0,44,5,11,31.3,Matches
Imanol Machuca,ar ARG,FW,23.0,7.5,4,0,0,13,6,4,49,3,10,0,0,0,24,5,5,50.0,Matches
Gonzalo Escobar,ar ARG,DF,25.0,6.4,4,0,0,17,7,0,22,15,14,0,1,0,38,12,4,75.0,Matches
Pedro Borges,br BRA,"MF,FW",25.0,6.3,2,0,0,21,14,0,1,4,12,0,0,0,40,11,13,45.8,Matches
Lucas Crispim,br BRA,"MF,DF",28.0,5.4,0,0,0,6,7,1,12,3,5,0,0,0,27,8,5,61.5,Matches
Fernando Miguel,br BRA,GK,37.0,5.1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,100.0,Matches
Moises,br BRA,"MF,FW",26.0,4.1,1,0,0,2,3,2,9,3,3,0,0,0,18,6,5,54.5,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,25.0,4.3,1,0,0,4,0,0,19,6,7,0,0,0,29,0,3,0.0,Matches
Tobias Figueiredo,pt POR,DF,28.0,3.8,0,0,0,4,2,0,0,2,1,0,0,1,16,13,6,68.4,Matches
Silvio Romero,ar ARG,FW,34.0,4.4,2,0,0,8,4,6,6,0,2,0,0,0,13,6,9,40.0,Matches
Romarinho,br BRA,"FW,MF",28.0,3.2,0,0,0,2,6,0,8,1,1,0,0,0,20,1,1,50.0,Matches
Brayan Ceballos,co COL,DF,21.0,2.3,2,0,0,2,1,0,0,2,2,0,0,0,17,9,1,90.0,Matches
Maurício Kozlinski,br BRA,GK,31.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Vinícius Zanocelo,br BRA,"MF,FW",22.0,0.9,1,0,0,3,0,0,1,3,1,0,0,0,14,3,2,60.0,Matches
Pedro Rocha Neves,br BRA,FW,28.0,0.4,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,,Matches
Kauan,br BRA,FW,17.0,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Squad Total,,,29.7,38.0,95,1,1,519,533,84,769,352,421,5,7,2,1876,567,532,51.6,
Opponent Total,,,27.1,38.0,100,5,1,553,488,51,674,308,360,5,7,1,1832,532,568,48.4,
