Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
João Ricardo Riedi,br BRA,GK,34.0,32,2868.0,90.0,83.9,31.9,32,90.0,31,0,,1,1.38,35.0,39.0,-4.0,-0.13,-0.94,38.6,36.7,1.9,0.06,-0.89,Matches
Titi,br BRA,DF,34.0,32,2846.0,89.0,83.2,31.6,32,89.0,28,0,,1,1.52,40.0,34.0,6.0,0.19,0.97,43.4,34.9,8.5,0.27,0.39,Matches
Caio Alexandre,br BRA,MF,23.0,34,2624.0,77.0,76.7,29.2,32,81.0,15,2,21.0,3,1.47,38.0,31.0,7.0,0.24,0.92,40.3,32.8,7.5,0.26,0.23,Matches
Emanuel Brítez,ar ARG,DF,30.0,31,2761.0,89.0,80.7,30.7,31,89.0,30,0,,3,1.48,39.0,34.0,5.0,0.16,0.71,44.7,32.6,12.1,0.39,0.99,Matches
Bruno Pacheco,br BRA,DF,31.0,31,2669.0,86.0,78.0,29.7,30,89.0,25,1,14.0,4,1.52,37.0,34.0,3.0,0.1,0.34,41.6,33.1,8.5,0.29,0.39,Matches
Guilherme Tinga,br BRA,DF,29.0,31,2583.0,83.0,75.5,28.7,29,89.0,27,2,8.0,3,1.52,39.0,33.0,6.0,0.21,0.75,40.8,33.1,7.7,0.27,0.27,Matches
Tomas Pochettino,ar ARG,"MF,FW",26.0,35,1991.0,57.0,58.2,22.1,26,70.0,1,9,18.0,3,1.43,24.0,29.0,-5.0,-0.23,-0.6,29.3,25.8,3.5,0.16,-0.11,Matches
Juan Martín Lucero,ar ARG,FW,31.0,31,2069.0,67.0,60.5,23.0,23,81.0,10,8,25.0,1,1.32,22.0,31.0,-9.0,-0.39,-1.06,26.8,28.1,-1.2,-0.05,-0.65,Matches
Thiago Galhardo,br BRA,"FW,MF",33.0,33,1876.0,57.0,54.9,20.8,20,77.0,6,13,25.0,0,1.42,23.0,21.0,2.0,0.1,0.15,27.7,26.2,1.5,0.07,-0.29,Matches
José Welison,br BRA,MF,27.0,26,1671.0,64.0,48.9,18.6,20,78.0,10,6,17.0,9,1.54,23.0,22.0,1.0,0.05,0.05,24.4,20.8,3.6,0.19,-0.02,Matches
Yago Pikachu,br BRA,"FW,MF",30.0,37,1751.0,47.0,51.2,19.5,16,80.0,6,21,23.0,0,1.46,29.0,25.0,4.0,0.21,0.37,27.4,22.3,5.1,0.26,0.12,Matches
Calebe,br BRA,"MF,FW",22.0,29,1479.0,51.0,43.2,16.4,16,72.0,0,13,25.0,1,1.34,17.0,19.0,-2.0,-0.12,-0.26,22.6,20.2,2.4,0.14,-0.1,Matches
Guilherme,br BRA,"FW,MF",27.0,30,1414.0,47.0,41.3,15.7,16,73.0,3,14,18.0,4,1.7,25.0,20.0,5.0,0.32,0.5,22.6,16.7,5.9,0.38,0.3,Matches
Marinho,br BRA,"FW,MF",32.0,21,1145.0,55.0,33.5,12.7,15,71.0,2,6,15.0,0,1.29,11.0,13.0,-2.0,-0.16,-0.28,15.5,13.5,1.9,0.15,-0.08,Matches
Marcelo,br BRA,DF,27.0,12,1080.0,90.0,31.6,12.0,12,90.0,12,0,,20,1.33,12.0,17.0,-5.0,-0.42,-0.65,15.0,16.4,-1.4,-0.11,-0.46,Matches
Lucas Sasha,br BRA,MF,32.0,19,1016.0,53.0,29.7,11.3,10,86.0,7,9,17.0,18,1.68,10.0,16.0,-6.0,-0.53,-0.79,14.2,12.1,2.1,0.19,-0.03,Matches
Hércules,br BRA,MF,22.0,13,771.0,59.0,22.5,8.6,9,72.0,1,4,30.0,1,1.69,9.0,5.0,4.0,0.47,0.57,13.0,10.5,2.5,0.29,0.12,Matches
