Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
João Ricardo Riedi,br BRA,GK,34.0,31.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Titi,br BRA,DF,34.0,31.6,0,7,0,0.0,0.22,0.0,0.0,,18.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Caio Alexandre,br BRA,MF,23.0,29.2,2,19,5,26.3,0.65,0.17,0.11,0.4,21.9,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
Emanuel Brítez,ar ARG,DF,30.0,30.7,0,20,3,15.0,0.65,0.1,0.0,0.0,17.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Bruno Pacheco,br BRA,DF,31.0,29.7,2,16,6,37.5,0.54,0.2,0.13,0.33,16.6,0,0,0,0.9,0.9,0.06,1.1,1.1,Matches
Guilherme Tinga,br BRA,DF,29.0,28.7,1,24,6,25.0,0.84,0.21,0.04,0.17,11.9,0,0,0,2.0,2.0,0.08,-1.0,-1.0,Matches
Tomas Pochettino,ar ARG,"MF,FW",26.0,22.1,2,51,20,39.2,2.31,0.9,0.04,0.1,22.3,4,0,0,2.9,2.9,0.06,-0.9,-0.9,Matches
Juan Martín Lucero,ar ARG,FW,31.0,23.0,9,52,21,40.4,2.26,0.91,0.12,0.29,16.2,0,3,3,9.2,6.8,0.13,-0.2,-0.8,Matches
Thiago Galhardo,br BRA,"FW,MF",33.0,20.8,5,60,19,31.7,2.88,0.91,0.05,0.16,16.9,0,2,2,7.2,5.6,0.09,-2.2,-2.6,Matches
José Welison,br BRA,MF,27.0,18.6,1,30,5,16.7,1.62,0.27,0.03,0.2,27.4,4,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches
Yago Pikachu,br BRA,"FW,MF",30.0,19.5,7,44,16,36.4,2.26,0.82,0.16,0.44,17.1,3,0,1,5.5,4.7,0.11,1.5,2.3,Matches
Calebe,br BRA,"MF,FW",22.0,16.4,2,39,15,38.5,2.37,0.91,0.05,0.13,21.0,7,0,0,3.0,3.0,0.08,-1.0,-1.0,Matches
Guilherme,br BRA,"FW,MF",27.0,15.7,3,37,14,37.8,2.36,0.89,0.08,0.21,17.0,2,0,0,4.4,4.4,0.12,-1.4,-1.4,Matches
Marinho,br BRA,"FW,MF",32.0,12.7,2,37,12,32.4,2.91,0.94,0.05,0.17,23.9,6,0,1,3.3,2.5,0.07,-1.3,-0.5,Matches
Marcelo,br BRA,DF,27.0,12.0,0,3,0,0.0,0.25,0.0,0.0,,11.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Lucas Sasha,br BRA,MF,32.0,11.3,0,8,1,12.5,0.71,0.09,0.0,0.0,18.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Hércules,br BRA,MF,22.0,8.6,1,15,5,33.3,1.75,0.58,0.07,0.2,27.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Imanol Machuca,ar ARG,FW,23.0,7.5,2,14,8,57.1,1.86,1.06,0.14,0.25,19.7,1,0,0,1.3,1.3,0.09,0.7,0.7,Matches
Gonzalo Escobar,ar ARG,DF,25.0,6.4,0,7,1,14.3,1.09,0.16,0.0,0.0,17.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Pedro Borges,br BRA,"MF,FW",25.0,6.3,0,5,1,20.0,0.8,0.16,0.0,0.0,16.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Lucas Crispim,br BRA,"MF,DF",28.0,5.4,0,8,1,12.5,1.48,0.18,0.0,0.0,27.7,3,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Fernando Miguel,br BRA,GK,37.0,5.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Moises,br BRA,"MF,FW",26.0,4.1,3,17,12,70.6,4.17,2.94,0.18,0.25,15.3,0,0,0,2.5,2.5,0.15,0.5,0.5,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,25.0,4.3,0,2,1,50.0,0.47,0.23,0.0,0.0,26.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Tobias Figueiredo,pt POR,DF,28.0,3.8,0,2,0,0.0,0.52,0.0,0.0,,18.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
