Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Tadeu,br BRA,GK,30.0,35.0,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,17.0,2.0,Matches
Maguinho,br BRA,DF,30.0,31.7,50.0,32,28.0,16.0,6.0,25.0,52.0,48.1,27.0,42.0,21.0,21.0,39,89.0,86.0,1.0,Matches
Bruno Melo,br BRA,DF,30.0,32.1,21.0,13,15.0,5.0,1.0,8.0,18.0,44.4,10.0,24.0,15.0,9.0,17,38.0,132.0,2.0,Matches
Everton Morelli,br BRA,MF,25.0,28.7,69.0,48,37.0,27.0,5.0,32.0,58.0,55.2,26.0,28.0,6.0,22.0,28,97.0,43.0,1.0,Matches
Lucas Halter,br BRA,DF,22.0,28.7,39.0,31,32.0,5.0,2.0,26.0,41.0,63.4,15.0,38.0,24.0,14.0,38,77.0,134.0,2.0,Matches
Willian,br BRA,MF,29.0,24.4,54.0,31,21.0,29.0,4.0,24.0,50.0,48.0,26.0,30.0,15.0,15.0,50,104.0,61.0,1.0,Matches
Guilherme,br BRA,MF,31.0,20.6,27.0,16,12.0,10.0,5.0,13.0,28.0,46.4,15.0,21.0,7.0,14.0,12,39.0,14.0,1.0,Matches
Julián Palacios,ar ARG,"FW,MF",23.0,18.1,27.0,16,4.0,13.0,10.0,9.0,45.0,20.0,36.0,13.0,0.0,13.0,12,39.0,6.0,0.0,Matches
Anderson,br BRA,"FW,MF",24.0,14.3,24.0,16,11.0,10.0,3.0,15.0,26.0,57.7,11.0,8.0,0.0,8.0,3,27.0,5.0,0.0,Matches
Sander,br BRA,DF,32.0,17.1,38.0,24,19.0,18.0,1.0,25.0,42.0,59.5,17.0,19.0,5.0,14.0,23,61.0,47.0,0.0,Matches
Hugo,br BRA,DF,25.0,15.8,32.0,18,17.0,11.0,4.0,16.0,22.0,72.7,6.0,20.0,4.0,16.0,21,53.0,63.0,0.0,Matches
Allano,br BRA,FW,27.0,13.7,38.0,20,25.0,10.0,3.0,26.0,49.0,53.1,23.0,17.0,1.0,16.0,12,50.0,14.0,0.0,Matches
Vinícius,br BRA,FW,29.0,13.0,18.0,13,7.0,8.0,3.0,8.0,20.0,40.0,12.0,8.0,1.0,7.0,12,30.0,24.0,0.0,Matches
Zé Ricardo,br BRA,MF,23.0,11.9,25.0,14,12.0,10.0,3.0,9.0,28.0,32.1,19.0,20.0,9.0,11.0,15,40.0,13.0,1.0,Matches
João Magno,br BRA,FW,25.0,10.9,5.0,4,1.0,3.0,1.0,1.0,5.0,20.0,4.0,9.0,1.0,8.0,2,7.0,18.0,0.0,Matches
Dieguinho,br BRA,"DF,FW",27.0,12.0,24.0,18,12.0,9.0,3.0,8.0,25.0,32.0,17.0,6.0,1.0,5.0,12,36.0,20.0,0.0,Matches
Sidimar,br BRA,DF,30.0,11.2,14.0,6,10.0,3.0,1.0,3.0,7.0,42.9,4.0,13.0,11.0,2.0,11,25.0,80.0,0.0,Matches
Matheus Peixoto,br BRA,FW,27.0,9.8,9.0,5,3.0,3.0,3.0,4.0,6.0,66.7,2.0,7.0,2.0,5.0,4,13.0,13.0,0.0,Matches
Matheus Babi,br BRA,FW,25.0,9.8,7.0,4,1.0,4.0,2.0,4.0,11.0,36.4,7.0,6.0,1.0,5.0,1,8.0,10.0,0.0,Matches
Raphael Guzzo,pt POR,MF,28.0,6.4,7.0,3,1.0,3.0,3.0,2.0,8.0,25.0,6.0,9.0,4.0,5.0,2,9.0,10.0,0.0,Matches
Luis Oyama,br BRA,MF,26.0,6.2,7.0,5,1.0,6.0,0.0,1.0,10.0,10.0,9.0,8.0,2.0,6.0,8,15.0,4.0,0.0,Matches
