Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Tadeu,br BRA,GK,30.0,35.0,10.0,0.29,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Maguinho,br BRA,DF,30.0,31.7,47.0,1.48,35.0,1.0,2.0,1.0,6.0,2.0,4.0,0.13,2.0,0.0,0.0,0.0,2.0,0.0,Matches
Bruno Melo,br BRA,DF,30.0,32.1,31.0,0.97,23.0,1.0,0.0,5.0,2.0,0.0,4.0,0.12,3.0,0.0,0.0,0.0,1.0,0.0,Matches
Everton Morelli,br BRA,MF,25.0,28.7,48.0,1.67,37.0,1.0,1.0,3.0,6.0,0.0,3.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,Matches
Lucas Halter,br BRA,DF,22.0,28.7,28.0,0.98,23.0,2.0,0.0,2.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Willian,br BRA,MF,29.0,24.4,38.0,1.56,34.0,0.0,0.0,1.0,2.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme,br BRA,MF,31.0,20.6,99.0,4.81,41.0,49.0,2.0,4.0,2.0,1.0,8.0,0.39,1.0,6.0,0.0,1.0,0.0,0.0,Matches
Julián Palacios,ar ARG,"FW,MF",23.0,18.1,95.0,5.24,58.0,18.0,5.0,4.0,10.0,0.0,8.0,0.44,4.0,1.0,0.0,1.0,2.0,0.0,Matches
Anderson,br BRA,"FW,MF",24.0,14.3,37.0,2.58,24.0,2.0,5.0,3.0,3.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Sander,br BRA,DF,32.0,17.1,43.0,2.51,28.0,13.0,1.0,1.0,0.0,0.0,4.0,0.23,2.0,2.0,0.0,0.0,0.0,0.0,Matches
Hugo,br BRA,DF,25.0,15.8,33.0,2.09,25.0,7.0,1.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Allano,br BRA,FW,27.0,13.7,30.0,2.18,20.0,0.0,1.0,1.0,7.0,1.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Vinícius,br BRA,FW,29.0,13.0,48.0,3.69,36.0,1.0,6.0,5.0,0.0,0.0,3.0,0.23,2.0,0.0,1.0,0.0,0.0,0.0,Matches
