Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Luis Suárez,uy URU,FW,36.0,33,2877.0,87.0,84.1,32.0,33,87.0,19,0,,0,1.79,53.0,46.0,7.0,0.22,0.22,43.9,44.6,-0.6,-0.02,0.77,Matches
Gabriel Chapecó,br BRA,GK,22.0,31,2790.0,90.0,81.6,31.0,31,90.0,31,0,,5,1.52,49.0,51.0,-2.0,-0.06,-1.35,40.3,47.1,-6.8,-0.22,-0.43,Matches
Franco Cristaldo,ar ARG,"MF,FW",26.0,34,2131.0,63.0,62.3,23.7,31,66.0,1,3,29.0,1,1.79,43.0,32.0,11.0,0.46,0.74,31.5,32.9,-1.4,-0.06,0.22,Matches
Reinaldo,br BRA,DF,33.0,30,2681.0,89.0,78.4,29.8,30,89.0,27,0,,1,1.9,52.0,44.0,8.0,0.27,0.39,39.6,42.6,-3.0,-0.1,0.18,Matches
Mathías Villasanti,py PAR,MF,26.0,30,2645.0,88.0,77.3,29.4,30,88.0,27,0,,0,2.0,54.0,43.0,11.0,0.37,0.84,38.8,42.4,-3.6,-0.12,0.08,Matches
Walter Kannemann,ar ARG,DF,31.0,28,2359.0,84.0,69.0,26.2,28,84.0,20,0,,0,1.71,41.0,37.0,4.0,0.15,-0.1,35.3,38.1,-2.8,-0.11,0.11,Matches
Bruno Fabiano Alves,br BRA,DF,31.0,29,2450.0,84.0,71.6,27.2,27,88.0,25,2,38.0,6,1.86,41.0,36.0,5.0,0.18,0.0,32.0,37.4,-5.4,-0.2,-0.2,Matches
João Pedro,br BRA,DF,26.0,29,2076.0,72.0,60.7,23.1,23,83.0,17,6,29.0,1,1.83,36.0,31.0,5.0,0.22,0.08,30.0,34.6,-4.6,-0.2,-0.15,Matches
Felipe Carballo,uy URU,MF,26.0,22,1540.0,70.0,45.0,17.1,21,71.0,5,1,57.0,1,1.68,23.0,22.0,1.0,0.06,-0.23,24.1,23.0,1.1,0.06,0.37,Matches
Bitelo,br BRA,"MF,FW",23.0,19,1550.0,82.0,45.3,17.2,18,85.0,10,1,28.0,0,1.74,27.0,21.0,6.0,0.35,0.3,25.7,22.6,3.2,0.18,0.6,Matches
